,ကျေးဇူးတင်ရှိသည်,ချီးမြှင့်မှု,ကျေးဇူးတင်သော,ကျေးဇူးတင်မှု,ကျေးဇူးတင်မှု,ကျေးဇူးတင်ပါတယ်,ကျေးဇူးတင်သော,ကျေးဇူးတင်မှု,အကြွေးရှိသော,အကြွေးရှိမှု,တာဝန်,တာဝန်ရှိသည်,ကတိပြုခြင်း,အကြွေးတင်သည်,ပေးရန်ကျန်ရှိသည်,တောင်းပန်လိုစိတ်ရှိသော,တောင်းပန်ချက်များ,တောင်းပန်တယ်,တောင်းပန်ချက်,တဆိတ်လောက်,ဝမ်းနည်းခြင်း,ဆောင်းပါးတယ်,ကျေးဇူးပြုပြီး‌ အားမလို
တာဝန်,0.9853045023170628,0.986013639163827,0.9853766706589513,0.9867580694462351,0.9867580694462351,0.9784665355597166,0.9853766706589513,0.9867580694462351,0.9851864912049573,0.9893401588611421,0.9999999999999991,0.9937068222342873,0.9911903856661224,0.9886097620985977,0.9888565715924262,0.9857573933620057,0.9916005478672424,0.9808890708465132,0.9904001993680122,0.9900108646346635,0.9900344222919406,0.9886591874374757,0.9887245257995367
တာဝန်ရှိသည်,0.9923895575190828,0.98593837822466,0.9896566643100154,0.9890445718000231,0.9890445718000231,0.9808165725599131,0.9896566643100154,0.9890445718000231,0.9897542882077667,0.9909182058486122,0.9937068222342873,0.9999999999999996,0.9912811115586904,0.9919479794288766,0.9941618564030198,0.9900851971970337,0.991085461167539,0.980035483419347,0.988698755132671,0.990500044786991,0.9908977048302544,0.9894446208203312,0.9897811271117762
ကတိပြုခြင်း,0.9893891091122177,0.9869896768195814,0.9923212425055783,0.9923272405775359,0.9923272405775359,0.98307214681201,0.9923212425055783,0.9923272405775359,0.9934083393668163,0.9966357775100514,0.9911903856661224,0.9912811115586904,0.9999999999999994,0.9947585696175764,0.9933869819280866,0.9932227128966056,0.9952883565104464,0.9843467345725827,0.9925387301611551,0.9958224536119482,0.9985787772849695,0.9941792486495814,0.9947160819985044
အကြွေးတင်သည်,0.9930340915444908,0.9853440220474057,0.9948775283525,0.9944628728686697,0.9944628728686697,0.9833463956779249,0.9948775283525,0.9944628728686697,0.9969876547563113,0.9968021089126753,0.9886097620985977,0.9919479794288766,0.9947585696175764,0.9999999999999996,0.9949573648971648,0.9955232548390882,0.9923191321703762,0.9821011844231421,0.9897918183308724,0.9948611366421929,0.9950294711460961,0.9925341514113685,0.9939480404219571
ပေးရန်ကျန်ရှိသည်,0.9947585482272039,0.9871714244809504,0.9942959290573175,0.9935436718844941,0.9935436718844941,0.9849845284932851,0.9942959290573175,0.9935436718844941,0.9938526912670226,0.9945511726917313,0.9888565715924262,0.9941618564030198,0.9933869819280866,0.9949573648971648,1.0,0.9948598916318158,0.9926881557484315,0.9832739893252164,0.9908838077210347,0.9939977450884372,0.9930987207276597,0.9928602637109999,0.993689810798218
တောင်းပန်လိုစိတ်ရှိသော,0.9927007747639629,0.9843398837375987,0.9959315438141315,0.9943904525785489,0.9943904525785489,0.9839696524333825,0.9959315438141315,0.9943904525785489,0.9970250111420769,0.9958269610561391,0.9857573933620057,0.9900851971970337,0.9932227128966056,0.9955232548390882,0.9948598916318158,0.9999999999999996,0.9918325009715002,0.9840126679374809,0.990024799465678,0.9944185207668974,0.9935355597617638,0.9920423694921283,0.993837543286449
တောင်းပန်ချက်များ,0.9891761159351179,0.9871686864438785,0.9913739874259424,0.9909265640121395,0.9909265640121395,0.9827842497850005,0.9913739874259424,0.9909265640121395,0.990615556284155,0.9945228934308078,0.9916005478672424,0.991085461167539,0.9952883565104464,0.9923191321703762,0.9926881557484315,0.9918325009715002,0.9999999999999994,0.9825346473010145,0.996704735533242,0.9940431179579295,0.9940982765395305,0.9932937158347527,0.9936873064913975
တောင်းပန်တယ်,0.9802471593818726,0.9776187657657832,0.9807651245135803,0.9834792840546528,0.9834792840546528,0.9913087420578299,0.9807651245135803,0.9834792840546528,0.9808626799527587,0.9852525026265008,0.9808890708465132,0.980035483419347,0.9843467345725827,0.9821011844231421,0.9832739893252164,0.9840126679374809,0.9825346473010145,0.9999999999999992,0.9844561513754196,0.9863032360759137,0.9827000724176322,0.9920950912868578,0.9880764053790305
တောင်းပန်ချက်,0.9876595443451192,0.9872593588081019,0.989206393313416,0.9900005564169755,0.9900005564169755,0.9840066973905501,0.989206393313416,0.9900005564169755,0.9878905428217533,0.9924125807024393,0.9904001993680122,0.988698755132671,0.9925387301611551,0.9897918183308724,0.9908838077210347,0.990024799465678,0.996704735533242,0.9844561513754196,0.9999999999999993,0.9925782571385466,0.9912698733420489,0.9913974547596536,0.9920523791614797
တဆိတ်လောက်,0.990492376476954,0.9865039755039223,0.9930924280059327,0.9934648276332327,0.9934648276332327,0.984746701489215,0.9930924280059327,0.9934648276332327,0.9934422607163641,0.996180826312188,0.9900108646346635,0.990500044786991,0.9958224536119482,0.9948611366421929,0.9939977450884372,0.9944185207668974,0.9940431179579295,0.9863032360759137,0.9925782571385466,0.9999999999999996,0.9950438693900545,0.9953967260934319,0.996427336077368
ဝမ်းနည်းခြင်း,0.9893166935518093,0.9855416168587176,0.9922434017371153,0.9917197070239335,0.9917197070239335,0.9811846883599571,0.9922434017371153,0.9917197070239335,0.993967998252064,0.9961046790960645,0.9900344222919406,0.9908977048302544,0.9985787772849695,0.9950294711460961,0.9930987207276597,0.9935355597617638,0.9940982765395305,0.9827000724176322,0.9912698733420489,0.9950438693900545,0.999999999999999,0.9929550933801691,0.9937562612109402
ဆောင်းပါးတယ်,0.9891450677898512,0.9854599090842137,0.9918573735671757,0.991807072237879,0.991807072237879,0.9911808252536538,0.9918573735671757,0.991807072237879,0.9912136347939354,0.9943922356658168,0.9886591874374757,0.9894446208203312,0.9941792486495814,0.9925341514113685,0.9928602637109999,0.9920423694921283,0.9932937158347527,0.9920950912868578,0.9913974547596536,0.9953967260934319,0.9929550933801691,0.9999999999999991,0.9961013250849053
ကျေးဇူးပြုပြီး‌ အားမလို,0.9910749123245636,0.9873927901589417,0.9935991821620186,0.9941166664340758,0.9941166664340758,0.9868783899879214,0.9935991821620186,0.9941166664340758,0.9929122534996048,0.9959788812414894,0.9887245257995367,0.9897811271117762,0.9947160819985044,0.9939480404219571,0.993689810798218,0.993837543286449,0.9936873064913975,0.9880764053790305,0.9920523791614797,0.996427336077368,0.9937562612109402,0.9961013250849053,1.0000000000000004
