,waardeer,waardering,dankbaar,dankbaarheid,dankbaarheid,dankie,dankbaar,dankbaarheid,verplig,skuldgevoel,verpligting,verplig,skuld,verskuldig,verskonend,verskonings,verskoon,verskoning,jammerte,jammer,vergewe my,verskoon my
verpligting,0.9939526633949854,0.9943632662485604,0.9933194715002315,0.9922262976062544,0.9922262976062544,0.9912850309764497,0.9933194715002315,0.9922262976062544,0.9939269544617624,0.9894409513301515,0.9999999999999994,0.9939269544617624,0.9922861623253401,0.9951323855299009,0.9911385275630721,0.9943421115289315,0.9895892560550129,0.9954382092078083,0.9909169749064402,0.9908733409504485,0.990936772582395,0.989819164942708
verplig,0.9943991927753895,0.9898905292417467,0.9951867829963152,0.9890099968933769,0.9890099968933769,0.9933580699779562,0.9951867829963152,0.9890099968933769,1.0000000000000007,0.9905108394403283,0.9939269544617624,1.0000000000000007,0.9945244574202469,0.9965046522151864,0.9942321305191149,0.994634878990674,0.9928920139112136,0.9923574329607777,0.9918199527006616,0.9925645134989295,0.9929795175721512,0.9929300254976982
skuld,0.9950545006087702,0.9915972786744204,0.9949404587281797,0.9887644715149402,0.9887644715149402,0.9951859338498884,0.9949404587281797,0.9887644715149402,0.9945244574202469,0.9936839656702332,0.9922861623253401,0.9945244574202469,0.9999999999999987,0.99528052449728,0.9952201079471492,0.9940107141152568,0.9951122247203152,0.9916009148265971,0.9931383738898301,0.9947543855290518,0.9943030715413967,0.9950805783121128
verskuldig,0.9955895591830367,0.9928763639593392,0.9961414753855723,0.9910244798290503,0.9910244798290503,0.9940215508836855,0.9961414753855723,0.9910244798290503,0.9965046522151864,0.9916273156889962,0.9951323855299009,0.9965046522151864,0.99528052449728,0.9999999999999991,0.9947199016584364,0.9964249892098157,0.9932207460669565,0.9956903102209884,0.9924938099516858,0.9933036033744872,0.9936218412672719,0.9939468469545807
verskonend,0.9939220127263055,0.9894754114234315,0.9941927565715734,0.9873673242371696,0.9873673242371696,0.9942381381299473,0.9941927565715734,0.9873673242371696,0.9942321305191149,0.9923306097707649,0.9911385275630721,0.9942321305191149,0.9952201079471492,0.9947199016584364,0.9999999999999998,0.9954372386995874,0.9946868418328243,0.99308959470634,0.9941964742716703,0.995085539798249,0.9937024472944146,0.9955294642541795
verskonings,0.9950162995862605,0.9927390010531038,0.995144256376129,0.9907991111093367,0.9907991111093367,0.993950738065362,0.995144256376129,0.9907991111093367,0.994634878990674,0.9916713417645227,0.9943421115289315,0.994634878990674,0.9940107141152568,0.9964249892098157,0.9954372386995874,0.9999999999999992,0.9930051413977496,0.9975329714437948,0.9944515412611798,0.9938225777350628,0.9938291259766435,0.9942214277637054
verskoon,0.9932274401309799,0.9889685357565842,0.9934889666936806,0.9865660378550438,0.9865660378550438,0.9936808348670504,0.9934889666936806,0.9865660378550438,0.9928920139112136,0.9904361124465695,0.9895892560550129,0.9928920139112136,0.9951122247203152,0.9932207460669565,0.9946868418328243,0.9930051413977496,0.9999999999999989,0.99032914030914,0.9927228023058958,0.9935733794799188,0.9941226046805832,0.9968927960096033
verskoning,0.9939540241844746,0.9926533497489715,0.9936403778834483,0.990320564315399,0.990320564315399,0.992149509948812,0.9936403778834483,0.990320564315399,0.9923574329607777,0.9893848894674113,0.9954382092078083,0.9923574329607777,0.9916009148265971,0.9956903102209884,0.99308959470634,0.9975329714437948,0.99032914030914,0.9999999999999992,0.9923361833506334,0.9920657013606937,0.9915428555660196,0.992099191882053
jammerte,0.9942794437940884,0.9908203061711308,0.9924826198258971,0.9872218886063443,0.9872218886063443,0.994798946033684,0.9924826198258971,0.9872218886063443,0.9918199527006616,0.9923648591300744,0.9909169749064402,0.9918199527006616,0.9931383738898301,0.9924938099516858,0.9941964742716703,0.9944515412611798,0.9927228023058958,0.9923361833506334,0.9999999999999994,0.9960877199189514,0.99567230579816,0.9937501401362111
jammer,0.9945538457129807,0.9904120608373267,0.9937167724612279,0.9866487394758937,0.9866487394758937,0.9966369772763031,0.9937167724612279,0.9866487394758937,0.9925645134989295,0.9903643401453038,0.9908733409504485,0.9925645134989295,0.9947543855290518,0.9933036033744872,0.995085539798249,0.9938225777350628,0.9935733794799188,0.9920657013606937,0.9960877199189514,0.9999999999999994,0.9952705740993869,0.9943359951364387
vergewe my,0.9948758369949032,0.9907499576041592,0.9939548804813165,0.9879031222092095,0.9879031222092095,0.9950200485798931,0.9939548804813165,0.9879031222092095,0.9929795175721512,0.993244367508498,0.990936772582395,0.9929795175721512,0.9943030715413967,0.9936218412672719,0.9937024472944146,0.9938291259766435,0.9941226046805832,0.9915428555660196,0.99567230579816,0.9952705740993869,0.9999999999999996,0.9960994661880952
verskoon my,0.9937818499132097,0.98966247934363,0.9948123080127492,0.9881232349620704,0.9881232349620704,0.9949423134296213,0.9948123080127492,0.9881232349620704,0.9929300254976982,0.9913660248257055,0.989819164942708,0.9929300254976982,0.9950805783121128,0.9939468469545807,0.9955294642541795,0.9942214277637054,0.9968927960096033,0.992099191882053,0.9937501401362111,0.9943359951364387,0.9960994661880952,1.0000000000000002
