,apresié,apreciassion,grato,gratitudin,gratitudin,mersì,grato,gratitudin,endevità,endevitàa,endevitament,obligassion,obligà,obligàa,obligassion,deuv,deuvende,dovè,scusandse,scuse,scuseme,scusa,scuseme,perdònm,malincònt,chèrsme
endevitament,0.9952372688212594,0.9950223243785213,0.9936710362231909,0.9885366259493628,0.9885366259493628,0.9933077866837882,0.9936710362231909,0.9885366259493628,0.9952823600709683,0.9950538230746109,0.9999999999999998,0.9952315796515698,0.9872552278290538,0.9924054747963164,0.9952315796515698,0.9893288125848012,0.9920761752473402,0.986669837559671,0.9948785081401952,0.9943037541098778,0.9952820962532338,0.9935794432050545,0.9952820962532338,0.9905433133156367,0.9956052132555233,0.9906275581705611
obligassion,0.9948972186588051,0.9946702584108436,0.9932517019223365,0.9900726203286471,0.9900726203286471,0.9935112916284111,0.9932517019223365,0.9900726203286471,0.99460598207812,0.9938597913553955,0.9952315796515698,0.9999999999999996,0.9913710511683367,0.9944673485897124,0.9999999999999996,0.9889028313504008,0.993259397932266,0.9875664137523696,0.9946770543736949,0.9944922655770002,0.9947604770551062,0.9934050972065147,0.9947604770551062,0.9895745202576841,0.993905289998705,0.9896294397929216
obligà,0.990597495196574,0.9892165728786925,0.9906923816271673,0.9812401980926236,0.9812401980926236,0.9874585799127324,0.9906923816271673,0.9812401980926236,0.9900214000698889,0.9875978922883268,0.9872552278290538,0.9913710511683367,0.9999999999999989,0.9941782694764809,0.9913710511683367,0.9879593970701158,0.9885887008570307,0.9843507905665468,0.9904843827220279,0.9889363584273385,0.9901728921460098,0.987787270231567,0.9901728921460098,0.985835305663251,0.9864688319011548,0.9791466562626396
obligàa,0.9935038105855942,0.9922940335315867,0.9925722708092136,0.9869201674693316,0.9869201674693316,0.9912447878415103,0.9925722708092136,0.9869201674693316,0.9925884647103693,0.9926589777595376,0.9924054747963164,0.9944673485897124,0.9941782694764809,0.9999999999999996,0.9944673485897124,0.9884615236656205,0.9907180178159646,0.9848405300998913,0.9934296510196778,0.9925468021991367,0.9931305633327996,0.9914739493676951,0.9931305633327996,0.9881070911184789,0.9908589738335316,0.9850444590536228
obligassion,0.9948972186588051,0.9946702584108436,0.9932517019223365,0.9900726203286471,0.9900726203286471,0.9935112916284111,0.9932517019223365,0.9900726203286471,0.99460598207812,0.9938597913553955,0.9952315796515698,0.9999999999999996,0.9913710511683367,0.9944673485897124,0.9999999999999996,0.9889028313504008,0.993259397932266,0.9875664137523696,0.9946770543736949,0.9944922655770002,0.9947604770551062,0.9934050972065147,0.9947604770551062,0.9895745202576841,0.993905289998705,0.9896294397929216
deuv,0.9934194720911492,0.9904698039522579,0.9928054691665719,0.9806876198794076,0.9806876198794076,0.9886958288156291,0.9928054691665719,0.9806876198794076,0.9907400704324066,0.988711495742443,0.9893288125848012,0.9889028313504008,0.9879593970701158,0.9884615236656205,0.9889028313504008,0.9999999999999999,0.9927739812002833,0.9860119171020999,0.9908436712516183,0.9889643725963421,0.9921259879787797,0.9880452367049196,0.9921259879787797,0.9935578023545293,0.9875444270495244,0.9813252677335026
deuvende,0.9951451626480318,0.9929849610314875,0.9932378659540647,0.9863316731677795,0.9863316731677795,0.9926769027045725,0.9932378659540647,0.9863316731677795,0.9931440722467099,0.9918419996639968,0.9920761752473402,0.993259397932266,0.9885887008570307,0.9907180178159646,0.993259397932266,0.9927739812002833,0.999999999999999,0.9883588828172932,0.9938814627011806,0.9927823247348595,0.9943657420339236,0.9909393940869957,0.9943657420339236,0.9913910298988183,0.9913215395481887,0.9861167460676834
dovè,0.9899907714214148,0.9884077595016961,0.988303873135743,0.9798719590510713,0.9798719590510713,0.9869152924911048,0.988303873135743,0.9798719590510713,0.9888748223307585,0.9863626679781909,0.986669837559671,0.9875664137523696,0.9843507905665468,0.9848405300998913,0.9875664137523696,0.9860119171020999,0.9883588828172932,0.9999999999999993,0.989136608156612,0.9873450473714476,0.9897400016062892,0.9868806746139418,0.9897400016062892,0.9863200948420694,0.9852815667357739,0.9802760332515102
scusandse,0.9970862008010408,0.9939637368238011,0.9959977969901278,0.9871775028455727,0.9871775028455727,0.9949905395728392,0.9959977969901278,0.9871775028455727,0.9956574634086327,0.994533696927257,0.9948785081401952,0.9946770543736949,0.9904843827220279,0.9934296510196778,0.9946770543736949,0.9908436712516183,0.9938814627011806,0.989136608156612,0.9999999999999998,0.9975171445580586,0.9978359837555173,0.9964824797256617,0.9978359837555173,0.9915379269558311,0.9945132569218464,0.9872108612696958
scuse,0.9959448451716648,0.992793066897591,0.9953530731947449,0.9875125750118592,0.9875125750118592,0.9948354852523174,0.9953530731947449,0.9875125750118592,0.995750422505639,0.9941194481659532,0.9943037541098778,0.9944922655770002,0.9889363584273385,0.9925468021991367,0.9944922655770002,0.9889643725963421,0.9927823247348595,0.9873450473714476,0.9975171445580586,0.9999999999999996,0.9979833298300503,0.9975942774893084,0.9979833298300503,0.9898137879571376,0.9950229524627932,0.9884167578009223
scuseme,0.9980144406142958,0.9950711864771576,0.9967140045765741,0.9877055121424618,0.9877055121424618,0.9951837731457517,0.9967140045765741,0.9877055121424618,0.9963109854965065,0.994410993389885,0.9952820962532338,0.9947604770551062,0.9901728921460098,0.9931305633327996,0.9947604770551062,0.9921259879787797,0.9943657420339236,0.9897400016062892,0.9978359837555173,0.9979833298300503,0.9999999999999996,0.9966170153951033,0.9999999999999996,0.9926605275757437,0.995411525677075,0.9891958406116335
scusa,0.9946616891022267,0.991719859884805,0.9952159443735744,0.9859133627552827,0.9859133627552827,0.9937759766636354,0.9952159443735744,0.9859133627552827,0.9956991013083722,0.9939572807458831,0.9935794432050545,0.9934050972065147,0.987787270231567,0.9914739493676951,0.9934050972065147,0.9880452367049196,0.9909393940869957,0.9868806746139418,0.9964824797256617,0.9975942774893084,0.9966170153951033,1.0,0.9966170153951033,0.9895511113203694,0.9941438942043508,0.9873514433578878
scuseme,0.9980144406142958,0.9950711864771576,0.9967140045765741,0.9877055121424618,0.9877055121424618,0.9951837731457517,0.9967140045765741,0.9877055121424618,0.9963109854965065,0.994410993389885,0.9952820962532338,0.9947604770551062,0.9901728921460098,0.9931305633327996,0.9947604770551062,0.9921259879787797,0.9943657420339236,0.9897400016062892,0.9978359837555173,0.9979833298300503,0.9999999999999996,0.9966170153951033,0.9999999999999996,0.9926605275757437,0.995411525677075,0.9891958406116335
perdònm,0.9938207498556632,0.9915386558805404,0.9930410018233112,0.9828181740778481,0.9828181740778481,0.9877556050285136,0.9930410018233112,0.9828181740778481,0.9913816500366653,0.9900560631629955,0.9905433133156367,0.9895745202576841,0.985835305663251,0.9881070911184789,0.9895745202576841,0.9935578023545293,0.9913910298988183,0.9863200948420694,0.9915379269558311,0.9898137879571376,0.9926605275757437,0.9895511113203694,0.9926605275757437,0.9999999999999998,0.9888587638808995,0.9835731142331873
malincònt,0.9944555365380477,0.9922170389630613,0.9937306639805327,0.9878969364899711,0.9878969364899711,0.9940011201869321,0.9937306639805327,0.9878969364899711,0.9946820596949124,0.9944655627200631,0.9956052132555233,0.993905289998705,0.9864688319011548,0.9908589738335316,0.993905289998705,0.9875444270495244,0.9913215395481887,0.9852815667357739,0.9945132569218464,0.9950229524627932,0.995411525677075,0.9941438942043508,0.995411525677075,0.9888587638808995,0.9999999999999998,0.9928574601867979
chèrsme,0.9878618886585531,0.9878684312260116,0.9863218744580827,0.9852453437261335,0.9852453437261335,0.9890770601126833,0.9863218744580827,0.9852453437261335,0.9885969298115768,0.9888043148274174,0.9906275581705611,0.9896294397929216,0.9791466562626396,0.9850444590536228,0.9896294397929216,0.9813252677335026,0.9861167460676834,0.9802760332515102,0.9872108612696958,0.9884167578009223,0.9891958406116335,0.9873514433578878,0.9891958406116335,0.9835731142331873,0.9928574601867979,0.9999999999999991
