,vlerësoj,vlerësim,mirënjohës,mirënjohje,mirënjohje,faleminderit,mirënjohës,mirënjohje,mirënjohës,mirënjohje,detyrim,angazhim,ia kam borxh,në borxh ​,i detyruar,penduar,keqardhje,më fal,më falni,kërkim falje,kërkime faljesh,kërkoj falje,më ndjeni
detyrim,0.9937108565308677,0.9933732987731545,0.9940385123588853,0.9932190950671174,0.9932190950671174,0.9937179316251131,0.9940385123588853,0.9932190950671174,0.9940385123588846,0.9932190950671184,0.9999999999999998,0.9868067027491643,0.983140530119136,0.9864746249781,0.9713474100074296,0.9935033914261007,0.9927707224808464,0.9934787026398119,0.9940129593713993,0.9934266875401105,0.9931808609412567,0.9937827784601545,0.9914924792532799
angazhim,0.9846188907327508,0.9863599167983917,0.9874887808075419,0.9856391366158871,0.9856391366158871,0.986845086971017,0.9874887808075419,0.9856391366158871,0.9874887808075412,0.9856391366158873,0.9868067027491643,0.9999999999999993,0.9770670378198743,0.9803756431284822,0.9653854503832994,0.9890618251767564,0.9852473978804317,0.9863815118329081,0.9872375493670665,0.9862490347636408,0.9870895600071733,0.9845308992039039,0.9845092693512756
ia kam borxh,0.9809217144365309,0.9810150122066463,0.9828085615098214,0.9809973405445362,0.9809973405445362,0.9805543013540671,0.9828085615098214,0.9809973405445362,0.9828085615098213,0.9809973405445356,0.983140530119136,0.9770670378198743,0.9999999999999994,0.9788691494683006,0.965148401311001,0.9849693103608019,0.9832039750508923,0.9837457813005362,0.9842806340805422,0.9833219130054616,0.981164757738971,0.9833815890718607,0.9823009474061505
në borxh ​,0.9901642834002303,0.989627335438283,0.9908025627739697,0.9863739355903969,0.9863739355903969,0.9892204818038335,0.9908025627739697,0.9863739355903969,0.9908025627739693,0.9863739355903962,0.9864746249781,0.9803756431284822,0.9788691494683006,0.9999999999999996,0.9818437389551361,0.9862232851620987,0.9858803319145083,0.9909931747729308,0.9907618597093205,0.9899035014111408,0.9873598911232655,0.9894072331060227,0.9918632559370577
i detyruar,0.9750223913753638,0.9774807460404437,0.9764063849129074,0.9703867627514322,0.9703867627514322,0.9753790951888638,0.9764063849129074,0.9703867627514322,0.9764063849129071,0.9703867627514322,0.9713474100074296,0.9653854503832994,0.965148401311001,0.9818437389551361,1.0000000000000002,0.9746502230944651,0.9692241431677949,0.9762269500155323,0.9764925418144046,0.9759542765148458,0.9722994708123188,0.9751089732581902,0.9774074224585688
penduar,0.9911303482706814,0.9940473044646061,0.9945452581142371,0.990773209738065,0.990773209738065,0.9944157779882623,0.9945452581142371,0.990773209738065,0.9945452581142367,0.9907732097380656,0.9935033914261007,0.9890618251767564,0.9849693103608019,0.9862232851620987,0.9746502230944651,0.9999999999999994,0.9904829903647882,0.9920348982663475,0.9931959652669852,0.9923090739592539,0.9924467548774544,0.9917195166674118,0.9901272479984389
keqardhje,0.9928868547285175,0.9898991895285881,0.9911041612145431,0.9914173924938591,0.9914173924938591,0.9891584714454625,0.9911041612145431,0.9914173924938591,0.9911041612145431,0.9914173924938591,0.9927707224808464,0.9852473978804317,0.9832039750508923,0.9858803319145083,0.9692241431677949,0.9904829903647882,1.0,0.9920952368328644,0.9923563814353689,0.9896496461128736,0.9894131511048517,0.9914486603307047,0.9908934219353525
më fal,0.9936659347664085,0.992568303104633,0.9928069242669021,0.9916501803644163,0.9916501803644163,0.9922480363163829,0.9928069242669021,0.9916501803644163,0.9928069242669021,0.9916501803644163,0.9934787026398119,0.9863815118329081,0.9837457813005362,0.9909931747729308,0.9762269500155323,0.9920348982663475,0.9920952368328644,0.9999999999999997,0.9989741886130507,0.9946254951401188,0.9927695061712148,0.9956411813180454,0.9980243108837701
më falni,0.9936266080085795,0.9931658834902504,0.9933709999983543,0.9919286960764704,0.9919286960764704,0.9932332490348655,0.9933709999983543,0.9919286960764704,0.9933709999983543,0.9919286960764704,0.9940129593713993,0.9872375493670665,0.9842806340805422,0.9907618597093205,0.9764925418144046,0.9931959652669852,0.9923563814353689,0.9989741886130507,1.0,0.995161269225733,0.9931370845152961,0.9958122002843757,0.9977785135671902
kërkim falje,0.9928383279856449,0.9932356566433049,0.993853890096996,0.9905703708925785,0.9905703708925785,0.9932886295262844,0.993853890096996,0.9905703708925785,0.993853890096996,0.9905703708925785,0.9934266875401105,0.9862490347636408,0.9833219130054616,0.9899035014111408,0.9759542765148458,0.9923090739592539,0.9896496461128736,0.9946254951401188,0.995161269225733,0.9999999999999993,0.9963918087316002,0.9973490219365958,0.9933798591619583
kërkime faljesh,0.9920068955235889,0.9928810938976483,0.9937198292388775,0.9909463976612751,0.9909463976612751,0.9929081781770469,0.9937198292388775,0.9909463976612751,0.9937198292388775,0.9909463976612751,0.9931808609412567,0.9870895600071733,0.981164757738971,0.9873598911232655,0.9722994708123188,0.9924467548774544,0.9894131511048517,0.9927695061712148,0.9931370845152961,0.9963918087316002,0.9999999999999996,0.9947832853080982,0.990748677772697
kërkoj falje,0.9946829190166486,0.9929306587400634,0.9934765737052516,0.9921942275607214,0.9921942275607214,0.9920598831183685,0.9934765737052516,0.9921942275607214,0.9934765737052516,0.9921942275607214,0.9937827784601545,0.9845308992039039,0.9833815890718607,0.9894072331060227,0.9751089732581902,0.9917195166674118,0.9914486603307047,0.9956411813180454,0.9958122002843757,0.9973490219365958,0.9947832853080982,1.0000000000000002,0.9947440971225973
më ndjeni,0.9932829042358312,0.9918232540589452,0.991460810564241,0.9910013387340421,0.9910013387340421,0.9904898216059309,0.991460810564241,0.9910013387340421,0.991460810564241,0.9910013387340421,0.9914924792532799,0.9845092693512756,0.9823009474061505,0.9918632559370577,0.9774074224585688,0.9901272479984389,0.9908934219353525,0.9980243108837701,0.9977785135671902,0.9933798591619583,0.990748677772697,0.9947440971225973,1.0
