,waarderen,waardering,dankbaar,dankbaarheid,dankbaarheid,bedankt,danku,dankbaar,dankbaarheid,schuldig,schuldigheid,verplichting,verplicht,verbintenis,te betalen,verschuldigd zyn,nog verschuldigd,excuusachtig,excuusen,excuus,spiet,excuseer,sorry,excuseer me,excuus vrage,vergeef me
verbintenis,0.9945936790986776,0.9923157820764695,0.9940430148774093,0.9886805956359477,0.9886805956359477,0.9924345322613373,0.9953324768070895,0.9940430148774093,0.9886805956359481,0.9938454375639731,0.9918165307750171,0.9936518899853249,0.9936828737091946,0.9999999999999999,0.9924257150034276,0.9921244684715946,0.990180051088504,0.9953242447110484,0.9954532446752672,0.9934842489287833,0.9954896668376612,0.9933528087213181,0.9893103495311573,0.9920599369215126,0.9956398855337938,0.9929089116132364
te betalen,0.9920271314906874,0.9883980379066447,0.9911263404189932,0.9851746879367024,0.9851746879367024,0.9880475657479592,0.9922957196716513,0.9911263404189932,0.9851746879367017,0.9917045923199452,0.9869163851356337,0.9900597365858792,0.9924963154087746,0.9924257150034276,0.9999999999999998,0.9911037362259609,0.9874696295277354,0.9916356146192916,0.9913796449056042,0.9892018281778133,0.9926462751209589,0.9902430454911191,0.9870730272384054,0.9935741743115656,0.990672284835037,0.9951292897440707
verschuldigd zyn,0.9915601913646088,0.9905060018546679,0.9941312474336055,0.9891816217541227,0.9891816217541227,0.9910112513946941,0.9922598468162778,0.9941312474336055,0.9891816217541229,0.9958627669737381,0.987380986954451,0.9944893207005963,0.995983690739374,0.9921244684715946,0.9911037362259609,0.9999999999999998,0.9938999836433545,0.9950758257557072,0.9924325307266192,0.9899097020017368,0.9937992297252993,0.9908823414284053,0.9879253671642374,0.9891599062486718,0.9931222373186113,0.9929823801685905
nog verschuldigd,0.9905147429109997,0.9892520889056609,0.9920654025027853,0.9864109898975517,0.9864109898975517,0.9899167703945021,0.9890756050342141,0.9920654025027853,0.9864109898975517,0.9920728802256262,0.9872845200875336,0.9924793405047763,0.9929669292743935,0.990180051088504,0.9874696295277354,0.9938999836433545,0.9999999999999992,0.9928580817866727,0.9901810273686723,0.9881503919006082,0.9914246532261557,0.9897370287000011,0.9847607266816294,0.9864735848293328,0.9914296056777189,0.9886363057274052
excuusachtig,0.9944680477442585,0.9923319786013606,0.9966684961348274,0.9903789119011357,0.9903789119011357,0.9920512683931397,0.994662649760178,0.9966684961348274,0.9903789119011357,0.9961314108558451,0.9902701768841735,0.9956318151001424,0.9965954287708235,0.9953242447110484,0.9916356146192916,0.9950758257557072,0.9928580817866727,0.9999999999999998,0.996152471513138,0.9937092323121323,0.9960462466205947,0.9932616232869019,0.9903498423858708,0.99140901456416,0.9959696383425383,0.9942297114497739
excuusen,0.9927119007703012,0.9901271772667208,0.9940939649698927,0.986861156531723,0.986861156531723,0.991966996688082,0.99426471292377,0.9940939649698927,0.986861156531723,0.9945758238099448,0.9893194669258775,0.9927757758908458,0.9938088370335768,0.9954532446752672,0.9913796449056042,0.9924325307266192,0.9901810273686723,0.996152471513138,0.9999999999999994,0.9976898094939081,0.9949477446407502,0.9943813702632203,0.991189170255522,0.9922796301575024,0.995446585104094,0.9930548650307542
excuus,0.9896163804221296,0.9871927532104827,0.9919882912280067,0.9845311277477244,0.9845311277477244,0.990293914211607,0.9916862557412288,0.9919882912280067,0.9845311277477244,0.99214796272328,0.9866256952158484,0.989909165797284,0.9916348460839649,0.9934842489287833,0.9892018281778133,0.9899097020017368,0.9881503919006082,0.9937092323121323,0.9976898094939081,0.9999999999999992,0.9922675097605357,0.9934045038418459,0.9890618272235128,0.9899120660749163,0.9929357756202043,0.9904926040155309
spiet,0.9939836565561168,0.9913019303596428,0.9955567776456602,0.9890210866476309,0.9890210866476309,0.9927362737367157,0.9952031834911932,0.9955567776456602,0.9890210866476309,0.9954831112069814,0.9903215108446959,0.9935257752722523,0.9953086055664075,0.9954896668376612,0.9926462751209589,0.9937992297252993,0.9914246532261557,0.9960462466205947,0.9949477446407502,0.9922675097605357,0.9999999999999996,0.9924920593265555,0.9897341066885044,0.9914251274196431,0.9951594166427057,0.9942443294421216
excuseer,0.9918384204506601,0.9894491908202714,0.9926688476193009,0.9864150344794641,0.9864150344794641,0.9893826114128166,0.9929183584818732,0.9926688476193009,0.9864150344794641,0.9928096736221508,0.9871702687202184,0.9915270515578016,0.992214605947078,0.9933528087213181,0.9902430454911191,0.9908823414284053,0.9897370287000011,0.9932616232869019,0.9943813702632203,0.9934045038418459,0.9924920593265555,1.0,0.989806399058784,0.9928266896448925,0.9940657294826125,0.9912983755788212
sorry,0.9860998086485971,0.9828399025120247,0.9910865563374363,0.9828112074523565,0.9828112074523565,0.9872191812064088,0.9914311133064506,0.9910865563374363,0.9828112074523565,0.991498851527247,0.9830057864170427,0.9860322003262121,0.990102568386932,0.9893103495311573,0.9870730272384054,0.9879253671642374,0.9847607266816294,0.9903498423858708,0.991189170255522,0.9890618272235128,0.9897341066885044,0.989806399058784,0.9999999999999996,0.9897429030972696,0.9876721349046473,0.9889593219608618
excuseer me,0.9899107640205465,0.9861788066035232,0.990377849529172,0.9830559271875993,0.9830559271875993,0.9871245709947439,0.9926304963326668,0.990377849529172,0.9830559271875993,0.991570116731012,0.9878758742490491,0.9889981305445771,0.9901948084855569,0.9920599369215126,0.9935741743115656,0.9891599062486718,0.9864735848293328,0.99140901456416,0.9922796301575024,0.9899120660749163,0.9914251274196431,0.9928266896448925,0.9897429030972696,0.9999999999999998,0.990771743724543,0.994453336073009
excuus vrage,0.9951865237335771,0.9928526993027753,0.9943625202455687,0.9892773053282321,0.9892773053282321,0.9909623014797299,0.9949488954327451,0.9943625202455687,0.9892773053282321,0.9939800299531422,0.991046379763571,0.9939498062861658,0.9929652297578239,0.9956398855337938,0.990672284835037,0.9931222373186113,0.9914296056777189,0.9959696383425383,0.995446585104094,0.9929357756202043,0.9951594166427057,0.9940657294826125,0.9876721349046473,0.990771743724543,1.0000000000000007,0.9929088247774348
vergeef me,0.9926580101634962,0.9894233532425909,0.993795279194845,0.9883574519143905,0.9883574519143905,0.9884820615920422,0.9942317754707379,0.993795279194845,0.9883574519143905,0.9934236928749008,0.9881395920179596,0.9919315903398411,0.9941256050758237,0.9929089116132364,0.9951292897440707,0.9929823801685905,0.9886363057274052,0.9942297114497739,0.9930548650307542,0.9904926040155309,0.9942443294421216,0.9912983755788212,0.9889593219608618,0.994453336073009,0.9929088247774348,0.9999999999999993
