,apprezza’,apprezzamento,grata,grato,gratitudine,gratitudine,grazie,grata,grato,gratitudine,indebbitata,indebbitato,indebbitamento,obligazione,obligata,obligato,obligazione,duvé,duvuto,ave’ a dà,ave’ a dà,dispiaciuto,scuse,scusarse,scusa,permettete,scusate,perdunatemi,dispiacere,scusame
indebbitata,0.9900765831608944,0.9907071733238769,0.9907636562595167,0.9916332754328973,0.992667822434354,0.992667822434354,0.9759160341097867,0.9907636562595167,0.9916332754328973,0.9926678224343545,0.9999999999999997,0.9952061147308945,0.9939015073092787,0.9899384954493485,0.9915362593191377,0.990180520208737,0.9899384954493484,0.9918896118122811,0.991736224649853,0.9904116150214443,0.9904116150214443,0.9885067976041819,0.9931007350435052,0.9923419082354022,0.9931626140697498,0.9908185306605162,0.9922771265418004,0.9909536940322305,0.9928791499301943,0.9927392533051544
indebbitato,0.9912605185922712,0.9921151180335515,0.9887922842440703,0.9925766141153461,0.9922335857795933,0.9922335857795933,0.9790949152169568,0.9887922842440703,0.992576614115347,0.9922335857795932,0.9952061147308945,0.9999999999999998,0.9947386124206343,0.9929377460120277,0.9923875901979197,0.9937067506613472,0.9929377460120273,0.9921834366423972,0.9932870112311649,0.9902864184698137,0.9902864184698137,0.9900606094014343,0.9930918145968711,0.9926948408470395,0.9939960399258283,0.9932548587633443,0.9941610417114978,0.9933347014387668,0.9928093132717651,0.9936933457962772
indebbitamento,0.9928063078205349,0.9947371812518179,0.9894954096238644,0.9935721624502961,0.9926827245010944,0.9926827245010944,0.9819052515174552,0.9894954096238644,0.9935721624502962,0.9926827245010937,0.9939015073092787,0.9947386124206343,0.9999999999999999,0.993581916629203,0.9941929429144858,0.9938073497612265,0.9935819166292028,0.9931480633397078,0.9935486651894683,0.9929178546802888,0.9929178546802888,0.9909377782044564,0.9938558133158889,0.9947320632085895,0.9935642992131124,0.9937962001118222,0.9946083508055887,0.9922720039418681,0.9932579984100345,0.9952829167046056
obligazione,0.9915653397968435,0.9924436567704773,0.9882865734155253,0.992263594095474,0.9919005130500904,0.9919005130500904,0.9819372683013203,0.9882865734155253,0.9922635940954758,0.9919005130500909,0.9899384954493485,0.9929377460120277,0.993581916629203,0.9999999999999991,0.9940806146631753,0.9957456308108774,0.999999999999999,0.9916576321981456,0.9918051765388524,0.9908315883897849,0.9908315883897849,0.989471509016261,0.9923963345765491,0.9921223594423267,0.9934711213487669,0.9935447110408884,0.9940454432194309,0.9910817518063944,0.9924963428552057,0.9937537744390099
obligata,0.9920054608786623,0.9931581851814892,0.9917702141109618,0.9943716513895786,0.9916264862380592,0.9916264862380592,0.9806438555270106,0.9917702141109618,0.9943716513895781,0.991626486238059,0.9915362593191377,0.9923875901979197,0.9941929429144858,0.9940806146631753,0.9999999999999993,0.9963415500301867,0.9940806146631751,0.9930940411129534,0.9929450400895935,0.9914861430767982,0.9914861430767982,0.9906002151144413,0.9939257381797003,0.9938145761933642,0.9937922735791631,0.9933342720446758,0.9942828491835217,0.9924359171780957,0.9926748004124646,0.993873479885095
obligato,0.9917695024345619,0.9921595883599393,0.9897936638481397,0.9944026039227775,0.9905653413487328,0.9905653413487328,0.9825888364953226,0.9897936638481397,0.9944026039227785,0.9905653413487322,0.990180520208737,0.9937067506613472,0.9938073497612265,0.9957456308108774,0.9963415500301867,0.9999999999999992,0.9957456308108766,0.99226031292517,0.9933894894773175,0.9906804026359628,0.9906804026359628,0.990456915559565,0.9927435061199597,0.9927349623156388,0.9936368216622113,0.9942463149450633,0.9944451821740994,0.9929387585461746,0.9923338196198014,0.9935150485311935
obligazione,0.9915653397968435,0.9924436567704773,0.9882865734155253,0.992263594095474,0.9919005130500904,0.9919005130500904,0.9819372683013203,0.9882865734155253,0.992263594095474,0.9919005130500904,0.9899384954493484,0.9929377460120273,0.9935819166292028,0.999999999999999,0.9940806146631751,0.9957456308108766,0.9999999999999991,0.9916576321981464,0.9918051765388531,0.9908315883897841,0.9908315883897841,0.9894715090162609,0.9923963345765489,0.9921223594423263,0.9934711213487669,0.9935447110408884,0.9940454432194309,0.9910817518063944,0.9924963428552057,0.9937537744390099
duvé,0.9925496371901085,0.993328006139107,0.9920971133383427,0.9949797741017465,0.9926618853984349,0.9926618853984349,0.9821487268065856,0.9920971133383427,0.9949797741017465,0.9926618853984349,0.9918896118122811,0.9921834366423972,0.9931480633397078,0.9916576321981456,0.9930940411129534,0.99226031292517,0.9916576321981464,0.9999999999999992,0.9941439624064713,0.9913123844787516,0.9913123844787516,0.9916932282265988,0.9956849391601368,0.9941548161600415,0.9938646399600467,0.9937728603540997,0.9945150920408892,0.9919665859464614,0.992358421304439,0.9949775826273567
duvuto,0.9913557557636103,0.9921655856903996,0.9922478141321132,0.9951802512508678,0.9913392961525601,0.9913392961525601,0.9827991445667714,0.9922478141321132,0.9951802512508678,0.9913392961525601,0.991736224649853,0.9932870112311649,0.9935486651894683,0.9918051765388524,0.9929450400895935,0.9933894894773175,0.9918051765388531,0.9941439624064713,0.9999999999999983,0.9913555644425411,0.9913555644425411,0.9937507375399939,0.9957798275798376,0.9951124254560424,0.9953505832094871,0.9929730982824282,0.9956678395560025,0.9951361087975353,0.9923425108282722,0.9951181195778597
ave’ a dà,0.9956892887049381,0.9931402464173285,0.9907601352892464,0.9942060733697375,0.9896529718085038,0.9896529718085038,0.9827844522762132,0.9907601352892464,0.9942060733697375,0.9896529718085038,0.9904116150214443,0.9902864184698137,0.9929178546802888,0.9908315883897849,0.9914861430767982,0.9906804026359628,0.9908315883897841,0.9913123844787516,0.9913555644425411,0.9999999999999993,0.9999999999999993,0.9903046843794703,0.9920984831624206,0.9928296708773471,0.9911955550448563,0.9926686099667477,0.9930798887262635,0.9902062510400599,0.9910074162764768,0.9947777694123234
ave’ a dà,0.9956892887049381,0.9931402464173285,0.9907601352892464,0.9942060733697375,0.9896529718085038,0.9896529718085038,0.9827844522762132,0.9907601352892464,0.9942060733697375,0.9896529718085038,0.9904116150214443,0.9902864184698137,0.9929178546802888,0.9908315883897849,0.9914861430767982,0.9906804026359628,0.9908315883897841,0.9913123844787516,0.9913555644425411,0.9999999999999993,0.9999999999999993,0.9903046843794703,0.9920984831624206,0.9928296708773471,0.9911955550448563,0.9926686099667477,0.9930798887262635,0.9902062510400599,0.9910074162764768,0.9947777694123234
dispiaciuto,0.9910841102963038,0.9914425496022987,0.9884515354766364,0.992814663105709,0.9900895835568083,0.9900895835568083,0.9819916116974493,0.9884515354766364,0.992814663105709,0.9900895835568083,0.9885067976041819,0.9900606094014343,0.9909377782044564,0.989471509016261,0.9906002151144413,0.990456915559565,0.9894715090162609,0.9916932282265988,0.9937507375399939,0.9903046843794703,0.9903046843794703,0.9999999999999997,0.9934397774996853,0.9924119736138131,0.9924784072911824,0.9918634854677834,0.9941534988604421,0.9920472753150147,0.9906768738957643,0.9940809478442099
scuse,0.9928847922072569,0.9941430919757221,0.9927532110627718,0.9953530731947449,0.9930020593808796,0.9930020593808796,0.9817954875505939,0.9927532110627718,0.9953530731947449,0.9930020593808796,0.9931007350435052,0.9930918145968711,0.9938558133158889,0.9923963345765491,0.9939257381797003,0.9927435061199597,0.9923963345765489,0.9956849391601368,0.9957798275798376,0.9920984831624206,0.9920984831624206,0.9934397774996853,0.9999999999999996,0.9973527296990058,0.9975942774893074,0.9936327940552121,0.9971632171363012,0.9936146302032293,0.9942559296088939,0.9970471520429797
scusarse,0.9927408327570505,0.994139734557261,0.9924677120961495,0.9950673965444773,0.9919637449618623,0.9919637449618623,0.9821154751245317,0.9924677120961495,0.9950673965444773,0.9919637449618623,0.9923419082354022,0.9926948408470395,0.9947320632085895,0.9921223594423267,0.9938145761933642,0.9927349623156388,0.9921223594423263,0.9941548161600415,0.9951124254560424,0.9928296708773471,0.9928296708773471,0.9924119736138131,0.9973527296990058,0.999999999999999,0.996724193299477,0.9937327822539848,0.9972120351915622,0.9936971271555007,0.9937759304992156,0.9971071054543023
scusa,0.9919738908285658,0.9931313438922408,0.9936362809893291,0.9952159443735744,0.9920397823932391,0.9920397823932391,0.9825612366063565,0.9936362809893291,0.9952159443735744,0.9920397823932391,0.9931626140697498,0.9939960399258283,0.9935642992131124,0.9934711213487669,0.9937922735791631,0.9936368216622113,0.9934711213487669,0.9938646399600467,0.9953505832094871,0.9911955550448563,0.9911955550448563,0.9924784072911824,0.9975942774893074,0.996724193299477,1.0,0.9936503604460807,0.997115422294148,0.9934259102918146,0.9949482486846859,0.9962791183490494
permettete,0.9949480252209542,0.9936376778413638,0.9902046030093308,0.9949109485933905,0.9911418536637041,0.9911418536637041,0.9865303098530549,0.9902046030093308,0.9949109485933905,0.9911418536637041,0.9908185306605162,0.9932548587633443,0.9937962001118222,0.9935447110408884,0.9933342720446758,0.9942463149450633,0.9935447110408884,0.9937728603540997,0.9929730982824282,0.9926686099667477,0.9926686099667477,0.9918634854677834,0.9936327940552121,0.9937327822539848,0.9936503604460807,0.9999999999999998,0.9964555801089728,0.992203613591045,0.9931439204335462,0.996068935013092
scusate,0.9944602446633675,0.9946663118318271,0.9921818298633769,0.9959763645651458,0.9926210089022302,0.9926210089022302,0.9851767210055101,0.9921818298633769,0.9959763645651458,0.9926210089022302,0.9922771265418004,0.9941610417114978,0.9946083508055887,0.9940454432194309,0.9942828491835217,0.9944451821740994,0.9940454432194309,0.9945150920408892,0.9956678395560025,0.9930798887262635,0.9930798887262635,0.9941534988604421,0.9971632171363012,0.9972120351915622,0.997115422294148,0.9964555801089728,0.9999999999999993,0.993987678770188,0.995509083762124,0.9982813479905619
perdunatemi,0.9902592733392234,0.9915510857877409,0.9908456913196922,0.9930487870698979,0.9908897692142148,0.9908897692142148,0.9824710772329924,0.9908456913196922,0.9930487870698979,0.9908897692142148,0.9909536940322305,0.9933347014387668,0.9922720039418681,0.9910817518063944,0.9924359171780957,0.9929387585461746,0.9910817518063944,0.9919665859464614,0.9951361087975353,0.9902062510400599,0.9902062510400599,0.9920472753150147,0.9936146302032293,0.9936971271555007,0.9934259102918146,0.992203613591045,0.993987678770188,0.9999999999999994,0.9921554406706926,0.9935940650901439
dispiacere,0.9916653138200607,0.9920681740882917,0.9922349923621682,0.9935941730510702,0.991415953856205,0.991415953856205,0.9821352128650679,0.9922349923621682,0.9935941730510702,0.991415953856205,0.9928791499301943,0.9928093132717651,0.9932579984100345,0.9924963428552057,0.9926748004124646,0.9923338196198014,0.9924963428552057,0.992358421304439,0.9923425108282722,0.9910074162764768,0.9910074162764768,0.9906768738957643,0.9942559296088939,0.9937759304992156,0.9949482486846859,0.9931439204335462,0.995509083762124,0.9921554406706926,1.0000000000000002,0.9953651798107631
scusame,0.9961145917649206,0.9953366955177686,0.9921648966550314,0.9966287075883561,0.993563429606407,0.993563429606407,0.9849184247060352,0.9921648966550314,0.9966287075883561,0.993563429606407,0.9927392533051544,0.9936933457962772,0.9952829167046056,0.9937537744390099,0.993873479885095,0.9935150485311935,0.9937537744390099,0.9949775826273567,0.9951181195778597,0.9947777694123234,0.9947777694123234,0.9940809478442099,0.9970471520429797,0.9971071054543023,0.9962791183490494,0.996068935013092,0.9982813479905619,0.9935940650901439,0.9953651798107631,0.9999999999999999
