,ipagyaman,panagyaman,agyaman,kapagyam,kapagyam,agyamanak,agyaman,kapagyam,nautang,utang,obligasion,pammilin,naobliga,napilitan,obligasion,agutang,utangon,agpakpakaasi,agpakawan,pakawan,pakawanennak,pakawanennak,panagayat,pakawanen,dagiti pakawan
obligasion,0.9939597343265162,0.9926836825458135,0.9915132051457111,0.9929119454832497,0.9929119454832497,0.9894181772622099,0.9915132051457111,0.9929119454832497,0.9915438250242061,0.9912712376988483,0.9999999999999998,0.9900481422036218,0.9919885615958638,0.9943900733782081,0.9999999999999998,0.989646689115129,0.9917954029328855,0.992328484416277,0.9922548459119019,0.992777514734135,0.9820600779064332,0.9820600779064332,0.9841755003544121,0.9822461198639144,0.9905433856229895
pammilin,0.995529060526311,0.9953688193724355,0.995107493637711,0.9941307825413601,0.9941307825413601,0.9942671786973437,0.995107493637711,0.9941307825413601,0.993835752321886,0.9894902871641011,0.9900481422036218,0.9999999999999996,0.9917505843241274,0.9933097811409535,0.9900481422036218,0.994727423114346,0.9894985741187746,0.9956777008316567,0.9960309877291404,0.9922565406405688,0.9780754394874817,0.9780754394874817,0.9906914964763559,0.9770902504085519,0.9954300143802329
naobliga,0.9940804603334913,0.9932845305490456,0.9926296963417339,0.9931285671788392,0.9931285671788392,0.9917793857588284,0.9926296963417339,0.9931285671788392,0.9914926141831113,0.9913737018403255,0.9919885615958638,0.9917505843241274,1.0000000000000002,0.9921147628735375,0.9919885615958638,0.992590740353519,0.9922866656565297,0.9938741898610589,0.9930083459560208,0.9910414094160603,0.9781199370506075,0.9781199370506075,0.9873819004401458,0.9768386006468724,0.9919454750300678
napilitan,0.9956627453952852,0.9945924796844218,0.9936331450653014,0.9943073080373358,0.9943073080373358,0.9919129007575664,0.9936331450653014,0.9943073080373358,0.9934365190244143,0.9913308400181129,0.9943900733782081,0.9933097811409535,0.9921147628735375,0.9999999999999993,0.9943900733782081,0.9930033738468464,0.9918934775356326,0.9937463355903121,0.9942866647359184,0.9929211848672356,0.9815935751613398,0.9815935751613398,0.9874308929975245,0.9807292253955885,0.9938697043682679
obligasion,0.9939597343265162,0.9926836825458135,0.9915132051457111,0.9929119454832497,0.9929119454832497,0.9894181772622099,0.9915132051457111,0.9929119454832497,0.9915438250242061,0.9912712376988483,0.9999999999999998,0.9900481422036218,0.9919885615958638,0.9943900733782081,0.9999999999999998,0.989646689115129,0.9917954029328855,0.992328484416277,0.9922548459119019,0.992777514734135,0.9820600779064332,0.9820600779064332,0.9841755003544121,0.9822461198639144,0.9905433856229895
agutang,0.9954238811014923,0.9958700649008071,0.9958693875062014,0.9941189202996857,0.9941189202996857,0.9946526502359614,0.9958693875062014,0.9941189202996857,0.994885825708554,0.9903541204973154,0.989646689115129,0.994727423114346,0.992590740353519,0.9930033738468464,0.989646689115129,0.9999999999999997,0.9904734059031458,0.9953048472172881,0.9955350723041452,0.9914134932391364,0.9771618196494318,0.9771618196494318,0.9925523673237596,0.9754910330339953,0.9963001420127416
utangon,0.9934148829396576,0.9928410877534761,0.9915429524441014,0.9928242496229369,0.9928242496229369,0.9907541144606888,0.9915429524441014,0.9928242496229369,0.9903795358751567,0.9973929250345347,0.9917954029328855,0.9894985741187746,0.9922866656565297,0.9918934775356326,0.9917954029328855,0.9904734059031458,0.9999999999999997,0.9917904777911578,0.9915493871610069,0.9911614346968476,0.9798581690469217,0.9798581690469217,0.9837862297529546,0.9787447189853214,0.9906404268448763
agpakpakaasi,0.9963876483355916,0.9953802152993666,0.9960467700389574,0.9965471372174421,0.9965471372174421,0.9954078547752674,0.9960467700389574,0.9965471372174421,0.994159139052641,0.9919768820273642,0.992328484416277,0.9956777008316567,0.9938741898610589,0.9937463355903121,0.992328484416277,0.9953048472172881,0.9917904777911578,0.9999999999999993,0.9969818372603693,0.9930382680729529,0.9795550948132824,0.9795550948132824,0.9891433943777574,0.9785457147975154,0.9955183057073048
agpakawan,0.9965572244949347,0.9969876785616524,0.9972718897278828,0.9975612625908247,0.9975612625908247,0.9963113040796366,0.9972718897278828,0.9975612625908247,0.9945900558196811,0.9910287776627789,0.9922548459119019,0.9960309877291404,0.9930083459560208,0.9942866647359184,0.9922548459119019,0.9955350723041452,0.9915493871610069,0.9969818372603693,0.9999999999999989,0.9971126218424167,0.9822111142777685,0.9822111142777685,0.9909376833058289,0.9819972583641139,0.9974524655213661
pakawan,0.9950806515398866,0.9952135038502675,0.9943844269794886,0.9956664206070794,0.9956664206070794,0.992261873349883,0.9943844269794886,0.9956664206070794,0.9930744740665141,0.9904932832808822,0.992777514734135,0.9922565406405688,0.9910414094160603,0.9929211848672356,0.992777514734135,0.9914134932391364,0.9911614346968476,0.9930382680729529,0.9971126218424167,1.0000000000000004,0.9883366605275429,0.9883366605275429,0.986034163882629,0.9893371586922999,0.9935892000516722
pakawanennak,0.9833868854940774,0.9815146422441804,0.9813551420064318,0.9837944705475509,0.9837944705475509,0.9779391409452659,0.9813551420064318,0.9837944705475509,0.9800668646233972,0.9788457667753737,0.9820600779064332,0.9780754394874817,0.9781199370506075,0.9815935751613398,0.9820600779064332,0.9771618196494318,0.9798581690469217,0.9795550948132824,0.9822111142777685,0.9883366605275429,0.9999999999999998,0.9999999999999998,0.9703763788693858,0.9936492129945678,0.9781649839718667
pakawanennak,0.9833868854940774,0.9815146422441804,0.9813551420064318,0.9837944705475509,0.9837944705475509,0.9779391409452659,0.9813551420064318,0.9837944705475509,0.9800668646233972,0.9788457667753737,0.9820600779064332,0.9780754394874817,0.9781199370506075,0.9815935751613398,0.9820600779064332,0.9771618196494318,0.9798581690469217,0.9795550948132824,0.9822111142777685,0.9883366605275429,0.9999999999999998,0.9999999999999998,0.9703763788693858,0.9936492129945678,0.9781649839718667
panagayat,0.9896473670711181,0.991974078066912,0.9901170690512795,0.988547292357179,0.988547292357179,0.9896968231555188,0.9901170690512795,0.988547292357179,0.9896866251225444,0.9830564455536837,0.9841755003544121,0.9906914964763559,0.9873819004401458,0.9874308929975245,0.9841755003544121,0.9925523673237596,0.9837862297529546,0.9891433943777574,0.9909376833058289,0.986034163882629,0.9703763788693858,0.9703763788693858,0.9999999999999994,0.9679395352342558,0.9928404255389032
pakawanen,0.9825517352928448,0.9803993125109887,0.9802336507694452,0.9825513438425066,0.9825513438425066,0.9766765182644005,0.9802336507694452,0.9825513438425066,0.9793846143231106,0.977397260893467,0.9822461198639144,0.9770902504085519,0.9768386006468724,0.9807292253955885,0.9822461198639144,0.9754910330339953,0.9787447189853214,0.9785457147975154,0.9819972583641139,0.9893371586922999,0.9936492129945678,0.9936492129945678,0.9679395352342558,0.9999999999999996,0.9774509873373253
dagiti pakawan,0.995788051990672,0.9966374389197812,0.9957128447835225,0.9957472982717033,0.9957472982717033,0.9953432331169211,0.9957128447835225,0.9957472982717033,0.9953591002385419,0.9902553541237884,0.9905433856229895,0.9954300143802329,0.9919454750300678,0.9938697043682679,0.9905433856229895,0.9963001420127416,0.9906404268448763,0.9955183057073048,0.9974524655213661,0.9935892000516722,0.9781649839718667,0.9781649839718667,0.9928404255389032,0.9774509873373253,0.9999999999999987
