,कदर,ऋणी,ऋणीत्व,आभार,धन्यवाद,आभारदार,आभार,कदर करप,करजारी,करजारीपण,कर्तव्य,जबाबदारी,बाध्य,मजबूर,जबाबदारी,करज आसा,करजदार आसा,माफियां,माफी,दु:ख,माफ कर,माफ कर,माफ कर,माफी मागपाचो,माफी मागी
कर्तव्य,0.9715278385570872,0.9949973276872879,0.9962573274906191,0.9951532023318427,0.9953133783268239,0.9938803354998562,0.9951532023318427,0.9912514272668905,0.9931690118727103,0.9937308439606093,0.9999999999999999,0.9934778990201916,0.9941463526238354,0.9932411264371636,0.9934778990201916,0.9928372612655934,0.9919811968922265,0.9878405840065887,0.9932393156726351,0.9897269415525265,0.9928674286599433,0.9928674286599433,0.9928674286599433,0.9918717526016757,0.9924375888934133
जबाबदारी,0.9733197414580582,0.9945480373340613,0.9941040790316346,0.995055221276378,0.9952551757174221,0.9963670126136853,0.995055221276378,0.9931935365918922,0.9959122408426411,0.9954964224883265,0.9934778990201916,0.9999999999999999,0.9953217329895757,0.9945804576163133,0.9999999999999999,0.9952645119986556,0.9958943079756148,0.991944743449448,0.9965941628791212,0.9908663686002487,0.9939412634169034,0.9939412634169034,0.9939412634169034,0.9945973097296792,0.9946764868995424
बाध्य,0.9767865967552113,0.9958914308388601,0.9949543036179318,0.997139811565795,0.9968321944197212,0.9965264353590385,0.997139811565795,0.9956543900764201,0.9970120501557851,0.9961113546054432,0.9941463526238354,0.9953217329895757,0.9999999999999994,0.9959687467973781,0.9953217329895757,0.9968731776841054,0.9962459694639582,0.9932642696644329,0.9966529715227864,0.9935961200369042,0.9947742611105245,0.9947742611105245,0.9947742611105245,0.9946807632585585,0.99490924275252
मजबूर,0.9746523377458025,0.9950413818946254,0.9941744366672235,0.9964419721865234,0.9943540083914303,0.996433888464932,0.9964419721865234,0.994639040792697,0.9958982248022311,0.9943571712309147,0.9932411264371636,0.9945804576163133,0.9959687467973781,0.9999999999999993,0.9945804576163133,0.9963080025275679,0.9947315671276737,0.9932912933685067,0.9955547980481325,0.9928029835456227,0.9947415789635736,0.9947415789635736,0.9947415789635736,0.993508805320423,0.9944325150728778
जबाबदारी,0.9733197414580582,0.9945480373340613,0.9941040790316346,0.995055221276378,0.9952551757174221,0.9963670126136853,0.995055221276378,0.9931935365918922,0.9959122408426411,0.9954964224883265,0.9934778990201916,0.9999999999999999,0.9953217329895757,0.9945804576163133,0.9999999999999999,0.9952645119986556,0.9958943079756148,0.991944743449448,0.9965941628791212,0.9908663686002487,0.9939412634169034,0.9939412634169034,0.9939412634169034,0.9945973097296792,0.9946764868995424
करज आसा,0.9744017255866282,0.9954735657897602,0.994367867857659,0.9973068742248149,0.9954005414890137,0.9974546704229645,0.9973068742248149,0.9951166192867157,0.9975433565136708,0.9966108367459184,0.9928372612655934,0.9952645119986556,0.9968731776841054,0.9963080025275679,0.9952645119986556,0.9999999999999993,0.9984832873247637,0.9934140539197818,0.9967220867589417,0.9927315558953199,0.9961936006869239,0.9961936006869239,0.9961936006869239,0.9961921691397857,0.9966050187618335
करजदार आसा,0.973376983190851,0.9945668499369915,0.9938222971066476,0.9955714658848517,0.9951585261284038,0.996867864438338,0.9955714658848517,0.9941432218672522,0.9973177988609253,0.9962037840751371,0.9919811968922265,0.9958943079756148,0.9962459694639582,0.9947315671276737,0.9958943079756148,0.9984832873247637,0.9999999999999993,0.9933108599458429,0.9964851337316413,0.9923236412262875,0.9941985882148172,0.9941985882148172,0.9941985882148172,0.9957288718320029,0.9957203823823898
माफियां,0.9775217591766496,0.9912433277161532,0.9897144977208191,0.9918271903392732,0.9914596152531135,0.9927532278707499,0.9918271903392732,0.9915308467761201,0.9937401519069289,0.9912043504705828,0.9878405840065887,0.991944743449448,0.9932642696644329,0.9932912933685067,0.991944743449448,0.9934140539197818,0.9933108599458429,0.9999999999999998,0.9948902930585047,0.9890399290163296,0.9913026217211384,0.9913026217211384,0.9913026217211384,0.9914010573211841,0.9925917220719451
माफी,0.9746739896033585,0.9950454042244891,0.9936839098184471,0.9958014308039572,0.9948997871979184,0.9958508565580848,0.9958014308039572,0.9944162919863468,0.9961022751784817,0.9958819612141773,0.9932393156726351,0.9965941628791212,0.9966529715227864,0.9955547980481325,0.9965941628791212,0.9967220867589417,0.9964851337316413,0.9948902930585047,0.9999999999999996,0.9924034538278186,0.9959117073109994,0.9959117073109994,0.9959117073109994,0.9962052879600534,0.9968401659408701
दु:ख,0.9733120547037885,0.9912770381833781,0.9913496376033858,0.9923227945630883,0.9916590740228369,0.9926161286559922,0.9923227945630883,0.9913159176413211,0.9920200881613069,0.9909485809498414,0.9897269415525265,0.9908663686002487,0.9935961200369042,0.9928029835456227,0.9908663686002487,0.9927315558953199,0.9923236412262875,0.9890399290163296,0.9924034538278186,0.9999999999999999,0.9907873989815685,0.9907873989815685,0.9907873989815685,0.9901333873540481,0.9907963280180203
माफ कर,0.9721911163929045,0.9942298417434917,0.9933600761173699,0.9960379279751728,0.9939350310476404,0.9949988725394738,0.9960379279751728,0.9926487566868322,0.9942723985722841,0.9955963001955204,0.9928674286599433,0.9939412634169034,0.9947742611105245,0.9947415789635736,0.9939412634169034,0.9961936006869239,0.9941985882148172,0.9913026217211384,0.9959117073109994,0.9907873989815685,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9955251316332744,0.9968181598642796
माफ कर,0.9721911163929045,0.9942298417434917,0.9933600761173699,0.9960379279751728,0.9939350310476404,0.9949988725394738,0.9960379279751728,0.9926487566868322,0.9942723985722841,0.9955963001955204,0.9928674286599433,0.9939412634169034,0.9947742611105245,0.9947415789635736,0.9939412634169034,0.9961936006869239,0.9941985882148172,0.9913026217211384,0.9959117073109994,0.9907873989815685,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9955251316332744,0.9968181598642796
माफ कर,0.9721911163929045,0.9942298417434917,0.9933600761173699,0.9960379279751728,0.9939350310476404,0.9949988725394738,0.9960379279751728,0.9926487566868322,0.9942723985722841,0.9955963001955204,0.9928674286599433,0.9939412634169034,0.9947742611105245,0.9947415789635736,0.9939412634169034,0.9961936006869239,0.9941985882148172,0.9913026217211384,0.9959117073109994,0.9907873989815685,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9955251316332744,0.9968181598642796
माफी मागपाचो,0.9719809614505386,0.9934335550042717,0.9928913522322448,0.9949599787234902,0.9938115762252002,0.995363078995431,0.9949599787234902,0.9920080898741794,0.9944811760211381,0.9964616176951764,0.9918717526016757,0.9945973097296792,0.9946807632585585,0.993508805320423,0.9945973097296792,0.9961921691397857,0.9957288718320029,0.9914010573211841,0.9962052879600534,0.9901333873540481,0.9955251316332744,0.9955251316332744,0.9955251316332744,1.0,0.9975832685016582
माफी मागी,0.97348515297242,0.9942332965004174,0.9934305417842069,0.9955871241118838,0.9941401765008752,0.9953707923553784,0.9955871241118838,0.9926416466353616,0.9943811579238974,0.9957896095957072,0.9924375888934133,0.9946764868995424,0.99490924275252,0.9944325150728778,0.9946764868995424,0.9966050187618335,0.9957203823823898,0.9925917220719451,0.9968401659408701,0.9907963280180203,0.9968181598642796,0.9968181598642796,0.9968181598642796,0.9975832685016582,1.0000000000000002
