,cijeniti,cijenjenje,zahvalan,zahvalna,zahvalnost,zahvalnost,hvala,zahvalan,zahvalna,zahvalnost,zadužen,zadužena,zaduženost,obveza,obavezan,obavezna,obveza,dugovati,dugujem,u dugu,ispričavajući,isprike,isprika,oprostite,oprostite,žalost,oprosti,ispričati se
zadužen,0.9910141948329418,0.9914271383837351,0.9931549608089065,0.994452701203919,0.9940901351537192,0.9940901351537192,0.9889282344523258,0.9931549608089065,0.9944527012039186,0.99409013515372,0.9999999999999991,0.9978507699562129,0.9933668293720498,0.9921455956469709,0.9940314064901056,0.9932774191552434,0.992145595646971,0.9935526500759894,0.9942483327365534,0.9942506710765928,0.9943579598700397,0.9926691494791713,0.9931198804625915,0.9920254879699809,0.9920254879699809,0.9923430820266999,0.9927477145378583,0.9914211363947407
zadužena,0.9907414823203882,0.9911113454154717,0.9924972498804462,0.9958128538469897,0.9951111967027533,0.9951111967027533,0.9890808404423194,0.9924972498804462,0.9958128538469898,0.9951111967027528,0.9978507699562129,0.9999999999999999,0.9941363626758624,0.9925332021288007,0.9935261995637112,0.9945730789838503,0.9925332021288008,0.992435087049168,0.9933040797811492,0.9942206509695296,0.9949613519932682,0.9923990447392946,0.9925963942272147,0.9923096994508501,0.9923096994508501,0.9917939519048465,0.992611595676547,0.9924626991989401
zaduženost,0.9897672251070001,0.9941015380931302,0.9923488292030352,0.992222648328642,0.9965097594711553,0.9965097594711553,0.9904236449117894,0.9923488292030352,0.992222648328641,0.996509759471156,0.9933668293720498,0.9941363626758624,0.9999999999999991,0.9928500090904413,0.9943466419302048,0.992304313366333,0.9928500090904409,0.9933153729623924,0.9920274828721435,0.9910671342029982,0.9926512811483257,0.9922412875352244,0.9933668205538906,0.9936588700382093,0.9936588700382093,0.9930818836479043,0.9928236286152095,0.992155049469556
obveza,0.9871243209621522,0.9911563988855465,0.9942552778076,0.9942097600278297,0.9954737894351062,0.9954737894351062,0.9919068478061462,0.9942552778076,0.9942097600278299,0.9954737894351058,0.9921455956469709,0.9925332021288007,0.9928500090904413,0.9999999999999997,0.9967516794985793,0.9958053264153192,1.0000000000000004,0.9924743906836809,0.9920475417765283,0.9913804573389688,0.9911018029535253,0.9910969943299379,0.9924356944630464,0.9929746878915247,0.9929746878915247,0.9928112955101696,0.9923454620038867,0.9905226502982628
obavezan,0.9897753244817832,0.9934377538157977,0.9960080691277784,0.9938495367108621,0.9954106724106008,0.9954106724106008,0.9931934033252902,0.9960080691277784,0.993849536710863,0.995410672410601,0.9940314064901056,0.9935261995637112,0.9943466419302048,0.9967516794985793,0.9999999999999992,0.9959585389316064,0.9967516794985788,0.9946149520748699,0.993238871409635,0.9924083561300355,0.9930914651320715,0.9937276989816036,0.9945330966105932,0.9940857149197243,0.9940857149197243,0.9938174183265747,0.993918134375418,0.991872586079605
obavezna,0.9875122418979803,0.9902753124419188,0.9920065889840181,0.9949866580224829,0.9948037156418803,0.9948037156418803,0.9891727168652207,0.9920065889840181,0.9949866580224836,0.9948037156418804,0.9932774191552434,0.9945730789838503,0.992304313366333,0.9958053264153192,0.9959585389316064,0.9999999999999994,0.9958053264153202,0.9907945763898797,0.9905348866941738,0.9910796619489034,0.9917742017134404,0.9902956423465598,0.9906164669887635,0.991637881895475,0.991637881895475,0.9911954493911079,0.9915096507163724,0.9899569428482059
obveza,0.9871243209621522,0.9911563988855465,0.9942552778076,0.9942097600278297,0.9954737894351062,0.9954737894351062,0.9919068478061462,0.9942552778076,0.9942097600278297,0.9954737894351062,0.992145595646971,0.9925332021288008,0.9928500090904409,1.0000000000000004,0.9967516794985788,0.9958053264153202,0.9999999999999997,0.9924743906836822,0.9920475417765284,0.9913804573389685,0.9911018029535246,0.991096994329937,0.9924356944630479,0.9929746878915242,0.9929746878915247,0.9928112955101696,0.9923454620038867,0.9905226502982628
dugovati,0.9906432411120917,0.9936454601000028,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9941817083269165,0.9928212216198934,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9935526500759894,0.992435087049168,0.9933153729623924,0.9924743906836809,0.9946149520748699,0.9907945763898797,0.9924743906836822,0.9999999999999996,0.9941697001935467,0.9932907089810767,0.9936512342862348,0.9936208461072076,0.9941024335135504,0.9942020149403257,0.9942020149403262,0.9937970900990624,0.9943268083698672,0.9919820894206169
dugujem,0.9910129267077128,0.9920161927911629,0.9928182288362635,0.9924382179247064,0.9935731287360314,0.9935731287360314,0.9907363757945212,0.9928182288362635,0.9924382179247064,0.9935731287360314,0.9942483327365534,0.9933040797811492,0.9920274828721435,0.9920475417765283,0.993238871409635,0.9905348866941738,0.9920475417765284,0.9941697001935467,0.9999999999999999,0.9943868041555741,0.9930920409181809,0.9921808095361998,0.9937627706572064,0.9930868685590079,0.9930868685590073,0.9931761859321981,0.9935854071710828,0.9920993377577164
u dugu,0.991237905904122,0.9908503575940324,0.9914530423559721,0.9932331975227164,0.993609375986505,0.993609375986505,0.989375035155157,0.9914530423559721,0.9932331975227164,0.993609375986505,0.9942506710765928,0.9942206509695296,0.9910671342029982,0.9913804573389688,0.9924083561300355,0.9910796619489034,0.9913804573389685,0.9932907089810767,0.9943868041555741,1.0,0.9948920435554888,0.9929316398362218,0.992741307212779,0.9927530089092059,0.9927530089092069,0.9921528635239404,0.9931886081428148,0.9921679287323045
ispričavajući,0.9936611310640371,0.9919390511604512,0.9921518027623062,0.9932118218461509,0.9940514768113808,0.9940514768113808,0.9891124862224783,0.9921518027623062,0.9932118218461509,0.9940514768113808,0.9943579598700397,0.9949613519932682,0.9926512811483257,0.9911018029535253,0.9930914651320715,0.9917742017134404,0.9911018029535246,0.9936512342862348,0.9930920409181809,0.9948920435554888,0.9999999999999997,0.9939729621511046,0.9930823615124016,0.992733131397874,0.9927331313978739,0.9918714514410228,0.9941562804759047,0.9955790952683258
isprike,0.989332289249392,0.9916468200800508,0.9916824111797503,0.9909470504569586,0.9930819475768107,0.9930819475768107,0.9912440756314864,0.9916824111797503,0.9909470504569586,0.9930819475768107,0.9926691494791713,0.9923990447392946,0.9922412875352244,0.9910969943299379,0.9937276989816036,0.9902956423465598,0.991096994329937,0.9936208461072076,0.9921808095361998,0.9929316398362218,0.9939729621511046,0.9999999999999988,0.9973294987119067,0.9940673969718848,0.9940673969718844,0.9932728788582842,0.9939213909594398,0.9926247891634199
isprika,0.9899720119939884,0.9929947833282114,0.9935856153859707,0.9917868600063177,0.9940634360870381,0.9940634360870381,0.9917652928017942,0.9935856153859707,0.9917868600063177,0.9940634360870381,0.9931198804625915,0.9925963942272147,0.9933668205538906,0.9924356944630464,0.9945330966105932,0.9906164669887635,0.9924356944630479,0.9941024335135504,0.9937627706572064,0.992741307212779,0.9930823615124016,0.9973294987119067,1.0,0.9944462691895386,0.9944462691895385,0.994116646621745,0.9949086435765383,0.9921415770629984
oprostite,0.9889163728226253,0.9921996376289386,0.9931910915402259,0.9925436095961858,0.995229834232621,0.995229834232621,0.9908535937415739,0.9931910915402259,0.9925436095961858,0.995229834232621,0.9920254879699809,0.9923096994508501,0.9936588700382093,0.9929746878915247,0.9940857149197243,0.991637881895475,0.9929746878915242,0.9942020149403257,0.9930868685590079,0.9927530089092059,0.992733131397874,0.9940673969718848,0.9944462691895386,1.0,0.9999999999999993,0.9949644155545576,0.9972009435703764,0.9929573986371236
oprostite,0.9889163728226253,0.9921996376289386,0.9931910915402259,0.9925436095961858,0.995229834232621,0.995229834232621,0.9908535937415739,0.9931910915402259,0.9925436095961858,0.995229834232621,0.9920254879699809,0.9923096994508501,0.9936588700382093,0.9929746878915247,0.9940857149197243,0.991637881895475,0.9929746878915247,0.9942020149403262,0.9930868685590073,0.9927530089092069,0.9927331313978739,0.9940673969718844,0.9944462691895385,0.9999999999999993,1.0,0.9949644155545574,0.9972009435703754,0.9929573986371228
žalost,0.9867842796755517,0.9895772080653692,0.9926808178284262,0.9938165660352862,0.9945397565579916,0.9945397565579916,0.9910726298223479,0.9926808178284262,0.9938165660352862,0.9945397565579916,0.9923430820266999,0.9917939519048465,0.9930818836479043,0.9928112955101696,0.9938174183265747,0.9911954493911079,0.9928112955101696,0.9937970900990624,0.9931761859321981,0.9921528635239404,0.9918714514410228,0.9932728788582842,0.994116646621745,0.9949644155545576,0.9949644155545574,0.9999999999999996,0.995021638339314,0.991204199329267
oprosti,0.9914613524947136,0.9919599620918869,0.9930570117442498,0.9932090927343042,0.995061933684167,0.995061933684167,0.9902504121962188,0.9930570117442498,0.9932090927343042,0.995061933684167,0.9927477145378583,0.992611595676547,0.9928236286152095,0.9923454620038867,0.993918134375418,0.9915096507163724,0.9923454620038867,0.9943268083698672,0.9935854071710828,0.9931886081428148,0.9941562804759047,0.9939213909594398,0.9949086435765383,0.9972009435703764,0.9972009435703754,0.995021638339314,0.9999999999999993,0.9944047959190777
ispričati se,0.9945259892031415,0.9917436355565427,0.9912518659940781,0.9908646423923722,0.9932996204226138,0.9932996204226138,0.9887843596967046,0.9912518659940781,0.9908646423923722,0.9932996204226138,0.9914211363947407,0.9924626991989401,0.992155049469556,0.9905226502982628,0.991872586079605,0.9899569428482059,0.9905226502982628,0.9919820894206169,0.9920993377577164,0.9921679287323045,0.9955790952683258,0.9926247891634199,0.9921415770629984,0.9929573986371236,0.9929573986371228,0.991204199329267,0.9944047959190777,1.0
