,ценить,признательность,благодарный,благодарность,благодарность,спасибо,благодарный,благодарность,задолжавший,задолженность,обязательство,вынужден,обязан,обязательство,должен,задолженность,в долгу,быть должным,извиняющийся,извинения,извиняться,извинение,извините,сожаление,прости,простите меня
обязан,0.9934779522652165,0.9890792373467644,0.993624972478223,0.9911334245453162,0.9911334245453162,0.9902824546040425,0.993624972478223,0.9911334245453162,0.9931730927396845,0.9913942308853902,0.9929858626893985,0.9886582691488709,0.9999999999999999,0.9929858626893985,0.9924224504428185,0.9913942308853902,0.9930333927720503,0.9947171282183166,0.9928442200627775,0.9911911503803216,0.9944703289072356,0.9912061577145279,0.9912458204196604,0.9928967485336323,0.9935809627757681,0.9927933038382849
обязательство,0.9940627293444254,0.9935301706326469,0.9947690026868447,0.99473853870546,0.99473853870546,0.993945971380885,0.9947690026868447,0.99473853870546,0.9935095576477517,0.9963231676957398,1.0000000000000002,0.988261177288863,0.9929858626893985,1.0000000000000002,0.9925327248261812,0.9963231676957398,0.9934134499880847,0.9939108877285423,0.9931118254918058,0.9962758916736608,0.9941517500366581,0.9967448465468809,0.9933540213948047,0.9967340336944209,0.9938583365142323,0.9939910636766346
должен,0.9940532925464785,0.9883406117586515,0.993669406808325,0.9903727031558005,0.9903727031558005,0.9908845065601335,0.993669406808325,0.9903727031558005,0.9931414300453147,0.9904150758734596,0.9925327248261812,0.9953609656425769,0.9924224504428185,0.9925327248261812,0.9999999999999996,0.9904150758734596,0.9937154758072543,0.9926635257872027,0.9929755268766927,0.9910446315059798,0.992482453798629,0.9902954180405359,0.9913429004421406,0.994017645477528,0.9940438333342154,0.9938650621754168
задолженность,0.9929638646980318,0.9941134103945715,0.9930558469057704,0.994161386243661,0.994161386243661,0.9928517645124472,0.9930558469057704,0.994161386243661,0.9928015342126528,0.9999999999999998,0.9963231676957398,0.9860232978353403,0.9913942308853902,0.9963231676957398,0.9904150758734596,0.9999999999999998,0.9920118022472005,0.9930817388508526,0.9923598235851989,0.9948422570040426,0.9931161147092467,0.9955525460802497,0.992085461611694,0.9948890035299077,0.992324832456557,0.993071193390529
в долгу,0.9930152379515994,0.9906083946397785,0.9958368705951596,0.9928373383072367,0.9928373383072367,0.9907824527772084,0.9958368705951596,0.9928373383072367,0.9957072494412598,0.9920118022472005,0.9934134499880847,0.9895575282140098,0.9930333927720503,0.9934134499880847,0.9937154758072543,0.9920118022472005,0.9999999999999997,0.9932850228125116,0.9937756263444482,0.9919729789582417,0.9939353183573006,0.9916823775240865,0.9904514029166802,0.994531479165644,0.9937821752900818,0.9935025789921548
быть должным,0.99580513630941,0.9908015477535815,0.9936388369188847,0.9916878903250013,0.9916878903250013,0.9932564823832006,0.9936388369188847,0.9916878903250013,0.9944468127327066,0.9930817388508526,0.9939108877285423,0.9878620407100491,0.9947171282183166,0.9939108877285423,0.9926635257872027,0.9930817388508526,0.9932850228125116,0.9999999999999998,0.9952714487241434,0.9921809091031566,0.9955635905366973,0.9925351853882323,0.9940440508424901,0.9947920467524813,0.9943600131726457,0.9959598849836632
извиняющийся,0.9949389472760278,0.9916591175287335,0.9947236999727953,0.9915394705893266,0.9915394705893266,0.9934723841525135,0.9947236999727953,0.9915394705893266,0.9968020094464025,0.9923598235851989,0.9931118254918058,0.9882706902230007,0.9928442200627775,0.9931118254918058,0.9929755268766927,0.9923598235851989,0.9937756263444482,0.9952714487241434,0.9999999999999998,0.9927676933904619,0.9969212912254822,0.9937762595675926,0.9946334463202673,0.9953361400871403,0.9942609527459626,0.9954829262002932
извинения,0.9928880393596008,0.9922387930072535,0.9933423976879702,0.9939472211036264,0.9939472211036264,0.9937990331543933,0.9933423976879702,0.9939472211036264,0.9925593943519351,0.9948422570040426,0.9962758916736608,0.9868899928501156,0.9911911503803216,0.9962758916736608,0.9910446315059798,0.9948422570040426,0.9919729789582417,0.9921809091031566,0.9927676933904619,0.9999999999999994,0.9938665788448655,0.998460459934654,0.9940684337063604,0.9955700233106086,0.9931534919537901,0.9934845874641662
извиняться,0.9954284418327659,0.9918229912317331,0.993890139831501,0.9922803138923486,0.9922803138923486,0.9928159190809348,0.993890139831501,0.9922803138923486,0.9953426965908009,0.9931161147092467,0.9941517500366581,0.9886792681131801,0.9944703289072356,0.9941517500366581,0.992482453798629,0.9931161147092467,0.9939353183573006,0.9955635905366973,0.9969212912254822,0.9938665788448655,0.9999999999999996,0.9946978314963365,0.9949769676271315,0.9953842473458633,0.9948774046210764,0.9951381842648173
извинение,0.9930610740437424,0.9932527791018672,0.9933256607336439,0.9935514015536626,0.9935514015536626,0.9936168695181554,0.9933256607336439,0.9935514015536626,0.9929433813844747,0.9955525460802497,0.9967448465468809,0.9859105296276743,0.9912061577145279,0.9967448465468809,0.9902954180405359,0.9955525460802497,0.9916823775240865,0.9925351853882323,0.9937762595675926,0.998460459934654,0.9946978314963365,0.9999999999999989,0.9943464727399233,0.9960552763928077,0.9927642451485862,0.9934622675918197
извините,0.9951044921498537,0.9892451891665026,0.9912552789358978,0.990076943555828,0.990076943555828,0.9954839242649196,0.9912552789358978,0.990076943555828,0.9926838698518637,0.992085461611694,0.9933540213948047,0.9857879009268096,0.9912458204196604,0.9933540213948047,0.9913429004421406,0.992085461611694,0.9904514029166802,0.9940440508424901,0.9946334463202673,0.9940684337063604,0.9949769676271315,0.9943464727399233,0.9999999999999997,0.9950342389718021,0.994177384602877,0.9956096524347104
сожаление,0.9957791740306016,0.9928683250239816,0.9956049610772737,0.9944321236245547,0.9944321236245547,0.9950461082633624,0.9956049610772737,0.9944321236245547,0.9954028089612552,0.9948890035299077,0.9967340336944209,0.9889003893568052,0.9928967485336323,0.9967340336944209,0.994017645477528,0.9948890035299077,0.994531479165644,0.9947920467524813,0.9953361400871403,0.9955700233106086,0.9953842473458633,0.9960552763928077,0.9950342389718021,0.9999999999999998,0.9953956650239374,0.9958533156185007
прости,0.9958479593714357,0.9906840210226864,0.9938594692197099,0.9912404536776674,0.9912404536776674,0.995283456718359,0.9938594692197099,0.9912404536776674,0.994437048424862,0.992324832456557,0.9938583365142323,0.9888000413127523,0.9935809627757681,0.9938583365142323,0.9940438333342154,0.992324832456557,0.9937821752900818,0.9943600131726457,0.9942609527459626,0.9931534919537901,0.9948774046210764,0.9927642451485862,0.994177384602877,0.9953956650239374,0.9999999999999994,0.997033753974734
простите меня,0.9970285995581875,0.9912288865194842,0.9938730990770338,0.9916510602627521,0.9916510602627521,0.9964222742210924,0.9938730990770338,0.9916510602627521,0.9943450634896441,0.993071193390529,0.9939910636766346,0.9877921872657583,0.9927933038382849,0.9939910636766346,0.9938650621754168,0.993071193390529,0.9935025789921548,0.9959598849836632,0.9954829262002932,0.9934845874641662,0.9951381842648173,0.9934622675918197,0.9956096524347104,0.9958533156185007,0.997033753974734,1.0
