,գնահատել,գնահատանք,շնորհակալ,շնորհակալություն,շնորհակալություն,շնորհակալ,շնորհակալություն,շնորհակալ եմ,պարտապան,պարտք,պարտավորություն,պարտավորված,պարտավորություն,պարտք,պարտք ունեմ,partk unem),ներողամիտ,ներողություններ,ներողություն,ներեցեք,խղճահարություն,կներեք,ներեցեք ինձ,ներողություն խնդրել
պարտավորություն,0.9916280281715493,0.9942152277025972,0.9943101889843199,0.9957023429882931,0.9957023429882931,0.9943101889843199,0.9957023429882931,0.9924615334268435,0.9948850942773175,0.9949204972137524,1.0,0.9942103260280527,1.0,0.9949204972137524,0.9904198207190974,0.9879328942886872,0.9946102806402145,0.9952532104850096,0.996862163469158,0.9870972981608911,0.9971629145512055,0.9802360466952397,0.9888789180368015,0.9935793863695682
պարտավորված,0.9926154653807994,0.9919033543641287,0.9934595023560038,0.9936349162219358,0.9936349162219358,0.9934595023560038,0.9936349162219358,0.9932895585580148,0.993282850706386,0.9946872995850068,0.9942103260280527,0.999999999999999,0.9942103260280527,0.9946872995850068,0.9921991533502711,0.9898975330972581,0.9955204780620936,0.9935291836289308,0.9943814138669791,0.9905695439097237,0.9951861404793285,0.9825969803485036,0.9915164894274355,0.9947934476398133
պարտավորություն,0.9916280281715493,0.9942152277025972,0.9943101889843199,0.9957023429882931,0.9957023429882931,0.9943101889843199,0.9957023429882931,0.9924615334268435,0.9948850942773175,0.9949204972137524,1.0,0.9942103260280527,1.0,0.9949204972137524,0.9904198207190974,0.9879328942886872,0.9946102806402145,0.9952532104850096,0.996862163469158,0.9870972981608911,0.9971629145512055,0.9802360466952397,0.9888789180368015,0.9935793863695682
պարտք,0.9922204161575869,0.9916774685708736,0.9953811940606938,0.99376323057594,0.99376323057594,0.9953811940606938,0.99376323057594,0.9947473353327119,0.9960317659788716,1.0000000000000004,0.9949204972137524,0.9946872995850068,0.9949204972137524,1.0000000000000004,0.9936201225824437,0.9911418582964862,0.9960493325627418,0.9949742704216609,0.9953124212499604,0.98847678471109,0.9966068272047445,0.9811902762899503,0.9917726595463927,0.995432121213436
պարտք ունեմ,0.9880734017417787,0.987689989865753,0.9907555686194396,0.9892640415613332,0.9892640415613332,0.9907555686194396,0.9892640415613332,0.9929822908686989,0.9901399886273262,0.9936201225824437,0.9904198207190974,0.9921991533502711,0.9904198207190974,0.9936201225824437,0.999999999999999,0.9869700747959794,0.9937853010082844,0.9922489054426171,0.9921711248184357,0.992615874285875,0.9923329284593855,0.9844800508234952,0.9951700390365998,0.9950290611290573
partk unem),0.9868763073930189,0.9852920812703219,0.9900795600331226,0.9885357192907128,0.9885357192907128,0.9900795600331226,0.9885357192907128,0.9907282868090997,0.9897763274151503,0.9911418582964862,0.9879328942886872,0.9898975330972581,0.9879328942886872,0.9911418582964862,0.9869700747959794,1.0000000000000002,0.9908372610796465,0.9880406121704448,0.9883268174990179,0.9803969373989189,0.9903918674402881,0.9716182163632638,0.9855117770663169,0.9901789066256909
ներողամիտ,0.9923777156660638,0.9922322563908841,0.9947132317697479,0.9936045638800466,0.9936045638800466,0.9947132317697479,0.9936045638800466,0.9950373210459083,0.9950337511475338,0.9960493325627418,0.9946102806402145,0.9955204780620936,0.9946102806402145,0.9960493325627418,0.9937853010082844,0.9908372610796465,0.9999999999999996,0.9964405825788312,0.9969488788823094,0.9917613719559897,0.9967927135663912,0.9847668810089246,0.992862464722422,0.9959470198100251
ներողություններ,0.990471374313969,0.9925177867337194,0.9935745828521823,0.9933043239637115,0.9933043239637115,0.9935745828521823,0.9933043239637115,0.9935037865783736,0.9940884259047543,0.9949742704216609,0.9952532104850096,0.9935291836289308,0.9952532104850096,0.9949742704216609,0.9922489054426171,0.9880406121704448,0.9964405825788312,0.9999999999999994,0.9982254062104465,0.9910440710302323,0.9970156483461079,0.9843104036155746,0.9920023776534223,0.9955546577037097
ներողություն,0.9911457909904361,0.9935518027929571,0.9939514162997937,0.9941893703873236,0.9941893703873236,0.9939514162997937,0.9941893703873236,0.993140606770781,0.9945831847999995,0.9953124212499604,0.996862163469158,0.9943814138669791,0.996862163469158,0.9953124212499604,0.9921711248184357,0.9883268174990179,0.9969488788823094,0.9982254062104465,0.9999999999999989,0.9908504371967933,0.9980494287040418,0.9840806313888725,0.991959620924164,0.9957722611340503
ներեցեք,0.9867210499467035,0.9866231345379414,0.9867743435982554,0.9857958475359476,0.9857958475359476,0.9867743435982554,0.9857958475359476,0.9888629277756816,0.9856132769829962,0.98847678471109,0.9870972981608911,0.9905695439097237,0.9870972981608911,0.98847678471109,0.992615874285875,0.9803969373989189,0.9917613719559897,0.9910440710302323,0.9908504371967933,1.0000000000000002,0.989365181470911,0.9911671062057518,0.9941810941499719,0.991859261359841
խղճահարություն,0.9932580365649409,0.9948192694380498,0.995928636089554,0.9957387904352567,0.9957387904352567,0.995928636089554,0.9957387904352567,0.9950688822609509,0.9960149561775206,0.9966068272047445,0.9971629145512055,0.9951861404793285,0.9971629145512055,0.9966068272047445,0.9923329284593855,0.9903918674402881,0.9967927135663912,0.9970156483461079,0.9980494287040418,0.989365181470911,0.9999999999999998,0.9825807825215661,0.991243457364088,0.9956825512099238
կներեք,0.9785345190197483,0.9787377194167143,0.9782903342100797,0.9787724375760956,0.9787724375760956,0.9782903342100797,0.9787724375760956,0.9808217787549833,0.9784400579935681,0.9811902762899503,0.9802360466952397,0.9825969803485036,0.9802360466952397,0.9811902762899503,0.9844800508234952,0.9716182163632638,0.9847668810089246,0.9843104036155746,0.9840806313888725,0.9911671062057518,0.9825807825215661,0.9999999999999997,0.9837445145667641,0.9832580140458758
ներեցեք ինձ,0.9867153765962479,0.9866177235268396,0.9905187336331408,0.9892643712814151,0.9892643712814151,0.9905187336331408,0.9892643712814151,0.9928959045178251,0.9891194932025891,0.9917726595463927,0.9888789180368015,0.9915164894274355,0.9888789180368015,0.9917726595463927,0.9951700390365998,0.9855117770663169,0.992862464722422,0.9920023776534223,0.991959620924164,0.9941810941499719,0.991243457364088,0.9837445145667641,0.9999999999999999,0.9945777015903832
ներողություն խնդրել,0.9913793864040219,0.990829757007407,0.9942325604735485,0.9929389679524115,0.9929389679524115,0.9942325604735485,0.9929389679524115,0.9947642276983301,0.9932777064809529,0.995432121213436,0.9935793863695682,0.9947934476398133,0.9935793863695682,0.995432121213436,0.9950290611290573,0.9901789066256909,0.9959470198100251,0.9955546577037097,0.9957722611340503,0.991859261359841,0.9956825512099238,0.9832580140458758,0.9945777015903832,0.9999999999999999
