,pasalamati,pagpasalamat,mapasalamaton,pagkamapasalamaton,pagpasalamat,salamat,mapasalamaton,pagkamapasalamaton,nangutang,utang,katungdanan,gipasidunggan,gipugos,katungdanan,utangan,naay utang,may utang,naa pay utang,nagbasol,pagbasol,ekskyusi ko,mangayo og pasaylo,pagpangayo og pasaylo,mga pagpasaylo,pasayloa ko,pasayloa ko,pasayloa ko
katungdanan,0.9904914444141225,0.9928077166464637,0.9903508180503634,0.9900924483580719,0.9928077166464637,0.9898491407493919,0.9903508180503634,0.9900924483580719,0.9944963709556267,0.984262899110466,0.9999999999999996,0.9918379104017545,0.9810288237639496,0.9999999999999996,0.9869653008304904,0.9869899706507165,0.9860713248842654,0.9891687768385975,0.9900002909107776,0.9914793694710563,0.9892695813915748,0.9868950533821392,0.9899221352192628,0.9881633731331715,0.9883146728713965,0.9883146728713965,0.9883146728713965
gipasidunggan,0.9925346877912207,0.9928631241246132,0.9932392509864092,0.9890087391400255,0.9928631241246132,0.9927441797859671,0.9932392509864092,0.9890087391400255,0.9953558914847762,0.9892230229026666,0.9918379104017545,0.9999999999999993,0.9850743090711119,0.9918379104017545,0.9924545776514435,0.9915745827670531,0.9909375471159122,0.9937923583950838,0.9930682652014996,0.9935597827166195,0.9936847453718358,0.9918241579460195,0.9929397505277727,0.9884489313153032,0.9903144745298222,0.9903144745298222,0.9903144745298222
gipugos,0.9863488431302346,0.9860230718679135,0.9885044650896919,0.9831654054316399,0.9860230718679135,0.9892182894473589,0.9885044650896919,0.9831654054316399,0.986687520494044,0.9860153162753562,0.9810288237639496,0.9850743090711119,0.9999999999999999,0.9810288237639496,0.9864251892876664,0.9859009525030007,0.9873948282248922,0.9864381961800678,0.9888653672634228,0.988996764601614,0.9874617909974501,0.9874202871299121,0.986542701926315,0.9812059733835824,0.9859207819285404,0.9859207819285404,0.9859207819285404
katungdanan,0.9904914444141225,0.9928077166464637,0.9903508180503634,0.9900924483580719,0.9928077166464637,0.9898491407493919,0.9903508180503634,0.9900924483580719,0.9944963709556267,0.984262899110466,0.9999999999999996,0.9918379104017545,0.9810288237639496,0.9999999999999996,0.9869653008304904,0.9869899706507165,0.9860713248842654,0.9891687768385975,0.9900002909107776,0.9914793694710563,0.9892695813915748,0.9868950533821392,0.9899221352192628,0.9881633731331715,0.9883146728713965,0.9883146728713965,0.9883146728713965
utangan,0.9926273157403543,0.9918856714056375,0.9935146282577336,0.9888985542648252,0.9918856714056375,0.9942794209610871,0.9935146282577336,0.9888985542648252,0.99178224107861,0.9971052095409929,0.9869653008304904,0.9924545776514435,0.9864251892876664,0.9869653008304904,0.9999999999999998,0.9963624595677772,0.9962897330832987,0.9957318550503377,0.994632206690291,0.9951338795134759,0.9922908963970514,0.9923294671083944,0.9913029088232471,0.986855328887031,0.9905956411020336,0.9905956411020336,0.9905956411020336
naay utang,0.9910477783075444,0.9911983805903556,0.9923872818956281,0.9885867973383338,0.9911983805903556,0.9933032011202929,0.9923872818956281,0.9885867973383338,0.9915499546206601,0.9978495942918179,0.9869899706507165,0.9915745827670531,0.9859009525030007,0.9869899706507165,0.9963624595677772,0.9999999999999999,0.9981929412446536,0.997357488441947,0.9939833567415142,0.994286751320722,0.9919828752441675,0.9921278303037402,0.9916191600281925,0.987029736864991,0.9895059462240396,0.9895059462240396,0.9895059462240396
may utang,0.9913890049968653,0.99099260788381,0.9923397430024629,0.9883084707844868,0.99099260788381,0.9936210106398787,0.9923397430024629,0.9883084707844868,0.9916523944006176,0.9976756398983876,0.9860713248842654,0.9909375471159122,0.9873948282248922,0.9860713248842654,0.9962897330832987,0.9981929412446536,0.9999999999999997,0.9966373048736451,0.9940856301389136,0.9946386228512782,0.991897728916652,0.992720621979071,0.9924951898968412,0.9873064458298727,0.9896756375900951,0.9896756375900951,0.9896756375900951
naa pay utang,0.9918052129816627,0.9932844980375863,0.9947567321811636,0.9902131638880888,0.9932844980375863,0.9943062937028302,0.9947567321811636,0.9902131638880888,0.993875546769172,0.9948958188002929,0.9891687768385975,0.9937923583950838,0.9864381961800678,0.9891687768385975,0.9957318550503377,0.997357488441947,0.9966373048736451,0.9999999999999992,0.9945867269652608,0.9955463960783071,0.993724653274747,0.9932428427307581,0.993649047865266,0.9897791163842566,0.9920645692611588,0.9920645692611588,0.9920645692611588
nagbasol,0.9947834146266702,0.9932946330259922,0.9957706844962104,0.9903739949140383,0.9932946330259922,0.9971739921528164,0.9957706844962104,0.9903739949140383,0.994470573803707,0.9926706187290105,0.9900002909107776,0.9930682652014996,0.9888653672634228,0.9900002909107776,0.994632206690291,0.9939833567415142,0.9940856301389136,0.9945867269652608,0.9999999999999994,0.9973296345271867,0.9938413298559047,0.9933844889762887,0.9931338154488498,0.9883283106988779,0.9916774463189993,0.9916774463189993,0.9916774463189993
pagbasol,0.9948186995028262,0.9965684177278405,0.9960091125419243,0.9933923536040844,0.9965684177278405,0.9958651014550624,0.9960091125419243,0.9933923536040844,0.9949778186257349,0.9928499942667135,0.9914793694710563,0.9935597827166195,0.988996764601614,0.9914793694710563,0.9951338795134759,0.994286751320722,0.9946386228512782,0.9955463960783071,0.9973296345271867,1.0,0.9933082040109243,0.9931012972274331,0.9943109073025779,0.9912132602816985,0.9927032191867297,0.9927032191867297,0.9927032191867297
ekskyusi ko,0.9918094113877658,0.9899399037532299,0.9942847321201691,0.9868243199221699,0.9899399037532299,0.9947231178562942,0.9942847321201691,0.9868243199221699,0.9942787067442119,0.9908640446361683,0.9892695813915748,0.9936847453718358,0.9874617909974501,0.9892695813915748,0.9922908963970514,0.9919828752441675,0.991897728916652,0.993724653274747,0.9938413298559047,0.9933082040109243,1.0000000000000002,0.9942820664009797,0.99294330810368,0.9871830072888554,0.993852086066826,0.993852086066826,0.993852086066826
mangayo og pasaylo,0.9918684462717791,0.990226427506477,0.9937942987961724,0.9871792763715841,0.990226427506477,0.9945518584858991,0.9937942987961724,0.9871792763715841,0.9925769873360848,0.9909669462606253,0.9868950533821392,0.9918241579460195,0.9874202871299121,0.9868950533821392,0.9923294671083944,0.9921278303037402,0.992720621979071,0.9932428427307581,0.9933844889762887,0.9931012972274331,0.9942820664009797,0.9999999999999997,0.9963012190995827,0.9869484009351003,0.991633319713351,0.991633319713351,0.991633319713351
pagpangayo og pasaylo,0.9917462507174933,0.9924597305368755,0.9935196296305866,0.9903542822152289,0.9924597305368755,0.9931770328250524,0.9935196296305866,0.9903542822152289,0.9946085919506423,0.9896523665354163,0.9899221352192628,0.9929397505277727,0.986542701926315,0.9899221352192628,0.9913029088232471,0.9916191600281925,0.9924951898968412,0.993649047865266,0.9931338154488498,0.9943109073025779,0.99294330810368,0.9963012190995827,1.0,0.9914652002532494,0.991767135072776,0.991767135072776,0.991767135072776
mga pagpasaylo,0.9868794123227721,0.9926114924927886,0.9899069563222562,0.9915091888481637,0.9926114924927886,0.9874235536066784,0.9899069563222562,0.9915091888481637,0.991245286395823,0.9846528989938534,0.9881633731331715,0.9884489313153032,0.9812059733835824,0.9881633731331715,0.986855328887031,0.987029736864991,0.9873064458298727,0.9897791163842566,0.9883283106988779,0.9912132602816985,0.9871830072888554,0.9869484009351003,0.9914652002532494,0.9999999999999996,0.9885295959875409,0.9885295959875409,0.9885295959875409
pasayloa ko,0.9895222133262318,0.9905458423192864,0.9940274696532632,0.9880501777119026,0.9905458423192864,0.9924832627708713,0.9940274696532632,0.9880501777119026,0.9923220842928567,0.9880640153031303,0.9883146728713965,0.9903144745298222,0.9859207819285404,0.9883146728713965,0.9905956411020336,0.9895059462240396,0.9896756375900951,0.9920645692611588,0.9916774463189993,0.9927032191867297,0.993852086066826,0.991633319713351,0.991767135072776,0.9885295959875409,0.9999999999999998,0.9999999999999998,0.9999999999999998
pasayloa ko,0.9895222133262318,0.9905458423192864,0.9940274696532632,0.9880501777119026,0.9905458423192864,0.9924832627708713,0.9940274696532632,0.9880501777119026,0.9923220842928567,0.9880640153031303,0.9883146728713965,0.9903144745298222,0.9859207819285404,0.9883146728713965,0.9905956411020336,0.9895059462240396,0.9896756375900951,0.9920645692611588,0.9916774463189993,0.9927032191867297,0.993852086066826,0.991633319713351,0.991767135072776,0.9885295959875409,0.9999999999999998,0.9999999999999998,0.9999999999999998
pasayloa ko,0.9895222133262318,0.9905458423192864,0.9940274696532632,0.9880501777119026,0.9905458423192864,0.9924832627708713,0.9940274696532632,0.9880501777119026,0.9923220842928567,0.9880640153031303,0.9883146728713965,0.9903144745298222,0.9859207819285404,0.9883146728713965,0.9905956411020336,0.9895059462240396,0.9896756375900951,0.9920645692611588,0.9916774463189993,0.9927032191867297,0.993852086066826,0.991633319713351,0.991767135072776,0.9885295959875409,0.9999999999999998,0.9999999999999998,0.9999999999999998
