,ప్రశంసించు,ప్రశంస,కృతజ్ఞత,కృతజ్ఞత,ధన్యవాదాలు,కృతజ్ఞత,కృతజ్ఞత గల,కృతజ్ఞత గల,ఋణపడి,ఋణబాధ్యత,బాధ్యత,కృతజ్ఞత,పాఠకత్వం,బాధ్యత,అప్పు,ఋణంగా ఉండటం,బాధ్యత కలిగి,క్షమాపణలు,క్షమాపణ,క్షమించండి,విచారం,క్షమించండి,క్షమాపణ వ్యక్తం చేసే,క్షమాపణ కోరడం,నన్ను క్షమించండి
కృతజ్ఞత,0.9956238926845984,0.994923943168557,1.0,1.0,0.9962115589667255,1.0,0.9989809218142033,0.9989809218142033,0.996290403085276,0.9966654526453299,0.992739842078056,0.9999999999999992,0.9964013133107223,0.992739842078056,0.9956085035061116,0.9944662600717522,0.9944778889656954,0.9915435044003104,0.997778177160521,0.9944853619956443,0.9948416229320644,0.9944853619956443,0.9961145341323463,0.9957854550757832,0.9929128729400759
పాఠకత్వం,0.9955192711079421,0.9962176697551904,0.9964013133107231,0.9964013133107231,0.9949264678948849,0.9964013133107231,0.9964172810607498,0.9964172810607498,0.996170205525381,0.9959482365782283,0.993832420112446,0.9964013133107223,1.0000000000000007,0.993832420112446,0.9951999822886853,0.9938836488942958,0.9944715651166856,0.9886521733124296,0.9959649783168985,0.9940278027464977,0.9967911898953724,0.9940278027464977,0.9961539932254073,0.99578857494708,0.992065016699256
బాధ్యత,0.991960087032727,0.9928280874966474,0.9927398420780559,0.9927398420780559,0.9920040642217884,0.9927398420780559,0.9930964750219623,0.9930964750219623,0.991697881736954,0.9941966858474246,0.9999999999999998,0.992739842078056,0.993832420112446,0.9999999999999998,0.9912035597536887,0.9894329622740363,0.9952069254313277,0.9878766195389341,0.9918581667309042,0.9906989210478006,0.9933517391969443,0.9906989210478006,0.9913131351383285,0.9924584421480711,0.9882891944620938
అప్పు,0.9957314993234404,0.9930715007567292,0.9956085035061117,0.9956085035061117,0.9926848406503753,0.9956085035061117,0.9961011400440196,0.9961011400440196,0.9944678920332276,0.9935769402358401,0.9912035597536887,0.9956085035061116,0.9951999822886853,0.9912035597536887,1.0,0.9943925543183225,0.993235785960072,0.9886646627824397,0.9969189718943108,0.9954649205539076,0.9934074457436848,0.9954649205539076,0.9956234793444656,0.9923478219586027,0.9948603119618435
ఋణంగా ఉండటం,0.9927289354763451,0.9919406286075726,0.9944662600717525,0.9944662600717525,0.9911754963838586,0.9944662600717525,0.9943955490426717,0.9943955490426717,0.9940972544194453,0.995152152187758,0.9894329622740363,0.9944662600717522,0.9938836488942958,0.9894329622740363,0.9943925543183225,0.9999999999999993,0.9927564880354018,0.9883462216694995,0.9949265844272861,0.9930752656552693,0.9916716085208411,0.9930752656552693,0.9958661672128782,0.9929283817237603,0.9931215407752186
బాధ్యత కలిగి,0.9942918818277866,0.994072221639549,0.9944778889656954,0.9944778889656954,0.9917846659660725,0.9944778889656954,0.9948652823229593,0.9948652823229593,0.9933491126019626,0.9946304137696967,0.9952069254313277,0.9944778889656954,0.9944715651166856,0.9952069254313277,0.993235785960072,0.9927564880354018,0.9999999999999998,0.9892097253216181,0.9938531937489291,0.9940054297846137,0.9927779670662961,0.9940054297846137,0.994298731476249,0.9931919545183479,0.9926176500564154
క్షమాపణలు,0.9882091639779814,0.9880222725128206,0.9915435044003104,0.9915435044003104,0.9893815988864736,0.9915435044003104,0.9911432193535166,0.9911432193535166,0.9897275085390377,0.9906645595673673,0.9878766195389341,0.9915435044003104,0.9886521733124296,0.9878766195389341,0.9886646627824397,0.9883462216694995,0.9892097253216181,0.9999999999999998,0.9928059550973716,0.9885858761967955,0.986946295345644,0.9885858761967955,0.9884027822613738,0.9893612678309819,0.9862398849071083
క్షమాపణ,0.9952118735239043,0.993993299802213,0.997778177160521,0.997778177160521,0.9942143982246433,0.997778177160521,0.9975914645073003,0.9975914645073003,0.9960056799941386,0.9955080912791743,0.9918581667309042,0.997778177160521,0.9959649783168985,0.9918581667309042,0.9969189718943108,0.9949265844272861,0.9938531937489291,0.9928059550973716,1.0,0.9955235002161509,0.9934293561069683,0.9955235002161509,0.9968892767666763,0.9943432598526225,0.9941907558689126
క్షమించండి,0.996548093779581,0.9926375025830142,0.9944853619956443,0.9944853619956443,0.9916321126803268,0.9944853619956443,0.9949728175861379,0.9949728175861379,0.9939025542615999,0.9926305608087328,0.9906989210478006,0.9944853619956443,0.9940278027464977,0.9906989210478006,0.9954649205539076,0.9930752656552693,0.9940054297846137,0.9885858761967955,0.9955235002161509,0.999999999999999,0.9925530981213037,0.999999999999999,0.9952895276219702,0.9929140688227879,0.9976802459964932
విచారం,0.9944386142579694,0.9961891531070762,0.9948416229320644,0.9948416229320644,0.9948933385918993,0.9948416229320644,0.9944993895397134,0.9944993895397134,0.9954052875285015,0.9945622301363953,0.9933517391969443,0.9948416229320644,0.9967911898953724,0.9933517391969443,0.9934074457436848,0.9916716085208411,0.9927779670662961,0.986946295345644,0.9934293561069683,0.9925530981213037,0.9999999999999998,0.9925530981213037,0.9929388031997746,0.9954785538632298,0.9896112999726614
క్షమించండి,0.996548093779581,0.9926375025830142,0.9944853619956443,0.9944853619956443,0.9916321126803268,0.9944853619956443,0.9949728175861379,0.9949728175861379,0.9939025542615999,0.9926305608087328,0.9906989210478006,0.9944853619956443,0.9940278027464977,0.9906989210478006,0.9954649205539076,0.9930752656552693,0.9940054297846137,0.9885858761967955,0.9955235002161509,0.999999999999999,0.9925530981213037,0.999999999999999,0.9952895276219702,0.9929140688227879,0.9976802459964932
క్షమాపణ వ్యక్తం చేసే,0.9946844180931038,0.9932422176049599,0.9961145341323463,0.9961145341323463,0.9918153465186883,0.9961145341323463,0.9962657642487471,0.9962657642487471,0.9950772585685952,0.9944885683972762,0.9913131351383285,0.9961145341323463,0.9961539932254073,0.9913131351383285,0.9956234793444656,0.9958661672128782,0.994298731476249,0.9884027822613738,0.9968892767666763,0.9952895276219702,0.9929388031997746,0.9952895276219702,0.9999999999999994,0.9937601744908243,0.994907498435489
క్షమాపణ కోరడం,0.994391937335455,0.9950201396014356,0.9957854550757832,0.9957854550757832,0.9953565419533609,0.9957854550757832,0.995235170461565,0.995235170461565,0.9958985456987742,0.9957891489252856,0.9924584421480711,0.9957854550757832,0.99578857494708,0.9924584421480711,0.9923478219586027,0.9929283817237603,0.9931919545183479,0.9893612678309819,0.9943432598526225,0.9929140688227879,0.9954785538632298,0.9929140688227879,0.9937601744908243,0.9999999999999999,0.9900514875738633
నన్ను క్షమించండి,0.9953660252004854,0.9903082915516247,0.9929128729400759,0.9929128729400759,0.9890984916808283,0.9929128729400759,0.9934136735236814,0.9934136735236814,0.9917770923529028,0.9908318147006742,0.9882891944620938,0.9929128729400759,0.992065016699256,0.9882891944620938,0.9948603119618435,0.9931215407752186,0.9926176500564154,0.9862398849071083,0.9941907558689126,0.9976802459964932,0.9896112999726614,0.9976802459964932,0.994907498435489,0.9900514875738633,1.0000000000000002
