,ชื่นชม,ความชื่นชม,ซาบซึ้งใจ,ความซาบซึ้งใจ,ความกตัญญู,ขอบคุณ,รู้สึกขอบคุณ,ความขอบคุณ,เป็นหนี้,ความเป็นหนี้,พันธะ,รู้สึกเป็นหนี้บุญคุณ,ข้อผูกพัน,ติดหนี้,หนี้ค้าง,ที่รู้สึกผิด,คำขอโทษ,ขอโทษ,คำขอโทษ,ขอโทษ,ยกโทษให้ฉัน,ความเสียใจ,ขอโทษ
พันธะ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392559,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9918461147355986,0.9896807832703803,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
รู้สึกเป็นหนี้บุญคุณ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392559,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9918461147355986,0.9896807832703803,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ข้อผูกพัน,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392559,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9918461147355986,0.9896807832703803,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ติดหนี้,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9989635801666197,0.9985318936417565,0.9918461147355986,0.9918461147355986,0.9918461147355986,0.9999999999999993,0.9979857676620336,0.9918461147355986,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989,0.9918461147355989
หนี้ค้าง,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9978675639625896,0.9975541333997233,0.9896807832703803,0.9896807832703803,0.9896807832703803,0.9979857676620336,0.9999999999999996,0.9896807832703803,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799,0.9896807832703799
ที่รู้สึกผิด,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392559,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9918461147355986,0.9896807832703803,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
คำขอโทษ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996
ขอโทษ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996
คำขอโทษ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996
ขอโทษ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996
ยกโทษให้ฉัน,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997
ความเสียใจ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997
ขอโทษ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9914236199151818,0.9903669571392558,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9918461147355989,0.9896807832703799,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997
