,aprecar,aprecio,dankema,gratitudo,gratitudo,danko,dankema,dankeso,šuldala,šuldez,obligacione,obligata,obligacione,šuldar,šuldanta,pardona,pardoni,pardonar,pardono,tristeso,pardon,pardon me,pardonez me
obligacione,0.9942923461986901,0.9949389192615214,0.9927609045771271,0.9912084874056766,0.9912084874056766,0.992521591320111,0.9927609045771271,0.9936546894795094,0.9941636652556027,0.9940157618100046,0.9999999999999997,0.9949671907774288,0.9999999999999997,0.9925424258303953,0.9924184482974419,0.9942339441251807,0.9958703111910322,0.9944944540797436,0.9947275593004922,0.9926974877982626,0.992814950772027,0.9886275744890667,0.9888206335935439
obligata,0.9929504609720072,0.9935652040322595,0.9924495090732928,0.9925987925185631,0.9925987925185631,0.9927470763300786,0.9924495090732928,0.9922485741985169,0.9934725739314556,0.9922864658176742,0.9949671907774288,0.9999999999999993,0.9949671907774288,0.9924643051829495,0.9915707709764406,0.9933484573146704,0.9948331741687527,0.9933288121177591,0.9940533990872108,0.9921841835106646,0.9926677941770703,0.9884257434546719,0.9878489304713719
obligacione,0.9942923461986901,0.9949389192615214,0.9927609045771271,0.9912084874056766,0.9912084874056766,0.992521591320111,0.9927609045771271,0.9936546894795094,0.9941636652556027,0.9940157618100046,0.9999999999999997,0.9949671907774288,0.9999999999999997,0.9925424258303953,0.9924184482974419,0.9942339441251807,0.9958703111910322,0.9944944540797436,0.9947275593004922,0.9926974877982626,0.992814950772027,0.9886275744890667,0.9888206335935439
šuldar,0.9929599202834296,0.992473821807655,0.9953690789459391,0.9891027802769169,0.9891027802769169,0.9943818608419499,0.9953690789459391,0.9933338640725295,0.9959388481427662,0.9949286568548742,0.9925424258303953,0.9924643051829495,0.9925424258303953,0.9999999999999999,0.9958238953004136,0.991163242538263,0.9938751923796528,0.9926892067388886,0.9920214557514955,0.9923924953648877,0.9931993230755283,0.9897215110857387,0.9870295243617407
šuldanta,0.9923296428085246,0.9926171513820728,0.9943398696047242,0.9885354169587927,0.9885354169587927,0.9940197454268971,0.9943398696047242,0.9932114408618975,0.9951558252781494,0.9936334073218085,0.9924184482974419,0.9915707709764406,0.9924184482974419,0.9958238953004136,0.9999999999999993,0.9904307398060156,0.9931545553410035,0.9911249091384775,0.9914962935649552,0.9914535476137589,0.9911548812179368,0.9877693714491838,0.9857300896100372
pardona,0.9944493561495458,0.9945888792997579,0.9914333619103075,0.9931429881758442,0.9931429881758442,0.9928769386841186,0.9914333619103075,0.9935914763479617,0.992068336285343,0.992859368511961,0.9942339441251807,0.9933484573146704,0.9942339441251807,0.991163242538263,0.9904307398060156,0.9999999999999998,0.9970109144086152,0.9970499943947086,0.9980959818486596,0.9935686035025157,0.9967748408743853,0.9917897777938247,0.9937151906603304
pardoni,0.995353642982693,0.99616659265307,0.9940803166286933,0.9921193878703861,0.9921193878703861,0.9947405140588153,0.9940803166286933,0.9950730428412541,0.9950546035031944,0.9948748937697207,0.9958703111910322,0.9948331741687527,0.9958703111910322,0.9938751923796528,0.9931545553410035,0.9970109144086152,0.9999999999999998,0.997658583318574,0.9978813248468925,0.9945685571503359,0.9965559761307857,0.9911644547593069,0.9910304461160349
pardonar,0.9953632312015475,0.9946254345689439,0.9926242606091031,0.9908344798149915,0.9908344798149915,0.9930596277743631,0.9926242606091031,0.9933842537509135,0.9935761806054767,0.9936890408742525,0.9944944540797436,0.9933288121177591,0.9944944540797436,0.9926892067388886,0.9911249091384775,0.9970499943947086,0.997658583318574,0.9999999999999996,0.9974303375692937,0.9928556316594117,0.9954518125429836,0.9899791794000687,0.9907154293016185
pardono,0.9942496822984439,0.995354504286424,0.9930909020594011,0.9942752480797101,0.9942752480797101,0.9938629488089379,0.9930909020594011,0.9938602463433609,0.9931916277786734,0.993121217074446,0.9947275593004922,0.9940533990872108,0.9947275593004922,0.9920214557514955,0.9914962935649552,0.9980959818486596,0.9978813248468925,0.9974303375692937,0.9999999999999996,0.993980142363956,0.9953777744555287,0.9896756243656768,0.990864432968611
tristeso,0.9949918249928702,0.9959657572954562,0.9928972363903359,0.9924234318980093,0.9924234318980093,0.9949292849274988,0.9928972363903359,0.995911892927413,0.9927897424176773,0.994170589076017,0.9926974877982626,0.9921841835106646,0.9926974877982626,0.9923924953648877,0.9914535476137589,0.9935686035025157,0.9945685571503359,0.9928556316594117,0.993980142363956,0.9999999999999993,0.9942736126765686,0.9930979249844715,0.9922230930074365
pardon,0.9944227225881271,0.9941811952098291,0.99244379152445,0.9909634902611076,0.9909634902611076,0.9941052057257159,0.99244379152445,0.9943433572462195,0.9925509710848887,0.9936017044786073,0.992814950772027,0.9926677941770703,0.992814950772027,0.9931993230755283,0.9911548812179368,0.9967748408743853,0.9965559761307857,0.9954518125429836,0.9953777744555287,0.9942736126765686,0.9999999999999998,0.9953606312392399,0.9935148112265404
pardon me,0.9921363426289094,0.9908774252162206,0.9891073947991711,0.986819379161004,0.986819379161004,0.9920080446062796,0.9891073947991711,0.9924445432797673,0.9888981073450062,0.9904338742271995,0.9886275744890667,0.9884257434546719,0.9886275744890667,0.9897215110857387,0.9877693714491838,0.9917897777938247,0.9911644547593069,0.9899791794000687,0.9896756243656768,0.9930979249844715,0.9953606312392399,0.9999999999999994,0.9957228377491223
pardonez me,0.9913450912473959,0.9905882360961289,0.9870598175962767,0.9874500654203119,0.9874500654203119,0.9900957317860595,0.9870598175962767,0.9914664315480176,0.9872426602844321,0.9887855288999726,0.9888206335935439,0.9878489304713719,0.9888206335935439,0.9870295243617407,0.9857300896100372,0.9937151906603304,0.9910304461160349,0.9907154293016185,0.990864432968611,0.9922230930074365,0.9935148112265404,0.9957228377491223,0.9999999999999997
