,प्रशंसा,आभारी,कृतज्ञता,कृतज्ञता,धन्यवाद,आभारी,कृतज्ञता,सराहना करब,ऋणी,कर्जदार,ऋणग्रस्तता,कर्जदारी,जिम्मेदारी,फरज,बाध्य,मजबूर,जिम्मेदारी,फरज,ऋण बा,ऋणी होय,कर्ज बा,कर्जदार होय,माफ़ीसभ,माफ़ी,दुख,क्षमा करू,माफ करू,माफ करू,माफी मँगनिहार,माफी मँगब
ऋणग्रस्तता,0.9951153844109547,0.9907729225061745,0.9945195283170242,0.9945195283170242,0.9940965877634701,0.9907729225061745,0.9945195283170242,0.9960914604343002,0.9937902583021787,0.9961615121896698,1.0,0.9958185733345082,0.9937843716307477,0.9844757370684405,0.9945817253457849,0.9922658264133607,0.9937843716307477,0.9844757370684403,0.9909907548048029,0.9902592379902765,0.9841783909679485,0.9886358382105279,0.9964736587515669,0.993385199243435,0.986121635891961,0.9924108800799537,0.9912157298933016,0.9912157298933016,0.9955996189937473,0.9950251508910648
कर्जदारी,0.9960281738546758,0.9945737180866515,0.9963889209976567,0.9963889209976567,0.995085784069956,0.9945737180866515,0.9963889209976567,0.9967638276628178,0.9951359759565644,0.9987795346349609,0.9958185733345082,0.9999999999999999,0.9954148087946243,0.988986420250724,0.9960815915789019,0.994949011336642,0.9954148087946241,0.9889864202507244,0.9926002440035315,0.9932893554971682,0.9876485275913889,0.9929290151033571,0.9971139220773766,0.9962202151330122,0.9877861485177568,0.994400407801881,0.9935985022947695,0.9935985022947695,0.9970408416775927,0.997265267438127
जिम्मेदारी,0.9949411083188787,0.9918281315918466,0.995147897233766,0.995147897233766,0.9944835566231421,0.9918281315918466,0.995147897233766,0.9954403358586523,0.9939876942969519,0.995769902894975,0.9937843716307477,0.9954148087946243,0.9999999999999991,0.9866117382797039,0.994592189657519,0.9939812183590864,0.9999999999999988,0.9866117382797037,0.9923403327209138,0.9917554714237511,0.9873853648753738,0.9905757955724357,0.994664449417905,0.9959635238477564,0.9873475938580586,0.994229206021233,0.9929156597154744,0.9929156597154744,0.995486259399419,0.9957287187326206
फरज,0.9881918695393256,0.9879465521489088,0.9871656002853382,0.9871656002853382,0.9865758049647674,0.9879465521489088,0.9871656002853382,0.9879578126457328,0.9871858431000092,0.9894644790608467,0.9844757370684405,0.988986420250724,0.9866117382797039,0.9999999999999999,0.9894300294602416,0.992584839849532,0.9866117382797037,1.0,0.988172289049985,0.9849800250025824,0.9859318258812169,0.9849901161046697,0.9877725954448605,0.9897994710917382,0.9822063151563633,0.9856571610292092,0.9860589593569722,0.9860589593569722,0.9897610124098469,0.9909955188231283
बाध्य,0.9969046577090178,0.9943083055507678,0.996305084451923,0.996305084451923,0.9968321944197212,0.9943083055507678,0.996305084451923,0.9958946214692334,0.99589143083886,0.9964759083218181,0.9945817253457849,0.9960815915789019,0.994592189657519,0.9894300294602416,0.9999999999999994,0.9959687467973781,0.9945921896575189,0.9894300294602415,0.9954137510407115,0.9942109077462653,0.9906241814476082,0.992977241852373,0.9967374549260964,0.9966529715227864,0.9888675386485805,0.9951217425044935,0.9947742611105245,0.9947742611105245,0.9956511835281266,0.9961413908901897
मजबूर,0.9962770301033369,0.9940861577571538,0.994767262238032,0.994767262238032,0.9943540083914303,0.9940861577571538,0.994767262238032,0.995134896960522,0.9950413818946232,0.9950865512448728,0.9922658264133607,0.994949011336642,0.9939812183590864,0.992584839849532,0.9959687467973781,0.9999999999999993,0.9939812183590864,0.9925848398495317,0.9954207481626651,0.992360346670398,0.9924727950181869,0.9909225352704621,0.9950028382326099,0.9955547980481325,0.9869363409449893,0.994882031012564,0.9947415789635736,0.9947415789635736,0.9952648450662426,0.9966815382290657
जिम्मेदारी,0.9949411083188787,0.9918281315918466,0.995147897233766,0.995147897233766,0.9944835566231421,0.9918281315918466,0.995147897233766,0.9954403358586523,0.9939876942969528,0.995769902894975,0.9937843716307477,0.9954148087946241,0.9999999999999988,0.9866117382797037,0.9945921896575189,0.9939812183590864,0.9999999999999991,0.9866117382797039,0.9923403327209134,0.99175547142375,0.9873853648753741,0.9905757955724352,0.9946644494179043,0.9959635238477564,0.9873475938580586,0.994229206021233,0.9929156597154744,0.9929156597154744,0.995486259399419,0.9957287187326206
फरज,0.9881918695393256,0.9879465521489088,0.9871656002853382,0.9871656002853382,0.9865758049647674,0.9879465521489088,0.9871656002853382,0.9879578126457328,0.9871858431000093,0.9894644790608467,0.9844757370684403,0.9889864202507244,0.9866117382797037,1.0,0.9894300294602415,0.9925848398495317,0.9866117382797039,0.9999999999999999,0.988172289049984,0.9849800250025822,0.9859318258812166,0.9849901161046696,0.9877725954448604,0.989799471091738,0.9822063151563633,0.9856571610292092,0.9860589593569722,0.9860589593569722,0.9897610124098469,0.9909955188231283
ऋण बा,0.9939235332682815,0.9921840345134454,0.9940671168958467,0.9940671168958467,0.9937532074454263,0.9921840345134454,0.9940671168958467,0.9925518181141785,0.9966723284509689,0.9928027415449416,0.9909907548048029,0.9926002440035315,0.9923403327209138,0.988172289049985,0.9954137510407115,0.9954207481626651,0.9923403327209134,0.988172289049984,0.9999999999999999,0.9931866590179391,0.9941474857938882,0.9903313738319939,0.9928454871892523,0.9935848282051585,0.986317340533153,0.9943729964397885,0.9936022388484713,0.9936022388484713,0.9919144088104408,0.9931834119790554
ऋणी होय,0.9918423221574407,0.9908449289362943,0.9941149220143854,0.9941149220143854,0.9936860274426379,0.9908449289362943,0.9941149220143854,0.9914235850218589,0.9951131684931139,0.9930850705555129,0.9902592379902765,0.9932893554971682,0.9917554714237511,0.9849800250025824,0.9942109077462653,0.992360346670398,0.99175547142375,0.9849800250025822,0.9931866590179391,0.9999999999999998,0.9885240281529736,0.9968059550528063,0.992635996768288,0.9928891722056814,0.9875059155153986,0.9936772370527005,0.9922995780389252,0.9922995780389252,0.9920616913032356,0.9928527450081837
कर्ज बा,0.9895358842208768,0.9909303634193408,0.9882056117674564,0.9882056117674564,0.988682866238123,0.9909303634193408,0.9882056117674564,0.9884349059158495,0.9901866261179115,0.9879625869243446,0.9841783909679485,0.9876485275913889,0.9873853648753738,0.9859318258812169,0.9906241814476082,0.9924727950181869,0.9873853648753741,0.9859318258812166,0.9941474857938882,0.9885240281529736,0.9999999999999994,0.9866619377149987,0.9874042689856346,0.9893290402984714,0.9815598215795031,0.9901388924495071,0.9899371184094551,0.9899371184094551,0.9872677785316694,0.9894000228706896
कर्जदार होय,0.9905621922998414,0.9891870800729438,0.9922570030847074,0.9922570030847074,0.9918963888068512,0.9891870800729438,0.9922570030847074,0.990867680425966,0.991403484692084,0.9928363144855208,0.9886358382105279,0.9929290151033571,0.9905757955724357,0.9849901161046697,0.992977241852373,0.9909225352704621,0.9905757955724352,0.9849901161046696,0.9903313738319939,0.9968059550528063,0.9866619377149987,0.9999999999999993,0.9918377376415939,0.9916486071152323,0.9855075010344261,0.9918872383698375,0.9911962490785046,0.9911962490785046,0.9910966511864607,0.9917691619945239
माफ़ीसभ,0.996890273568899,0.9927667118533872,0.9958542231946883,0.9958542231946883,0.9951505138580476,0.9927667118533872,0.9958542231946883,0.9968840909218181,0.9943266584490343,0.9968414030621875,0.9964736587515669,0.9971139220773766,0.994664449417905,0.9877725954448605,0.9967374549260964,0.9950028382326099,0.9946644494179043,0.9877725954448604,0.9928454871892523,0.992635996768288,0.9874042689856346,0.9918377376415939,0.9999999999999998,0.9968693342890568,0.9868808369476705,0.9941249843433055,0.9941298057086064,0.9941298057086064,0.9968073899520263,0.9971475363190667
माफ़ी,0.9960399714574021,0.9930534757146977,0.9954640991518203,0.9954640991518203,0.9948997871979184,0.9930534757146977,0.9954640991518203,0.9960222520083827,0.9950454042244891,0.9963498675803353,0.993385199243435,0.9962202151330122,0.9959635238477564,0.9897994710917382,0.9966529715227864,0.9955547980481325,0.9959635238477564,0.989799471091738,0.9935848282051585,0.9928891722056814,0.9893290402984714,0.9916486071152323,0.9968693342890568,0.9999999999999996,0.9882450482380223,0.9952625608295904,0.9959117073110002,0.9959117073110002,0.9966931189095986,0.9974307502024435
दुख,0.9867602575241828,0.9856784790132995,0.9865660304839576,0.9865660304839576,0.9871586126755619,0.9856784790132995,0.9865660304839576,0.9868207158263987,0.9888053738024571,0.98838129457911,0.986121635891961,0.9877861485177568,0.9873475938580586,0.9822063151563633,0.9888675386485805,0.9869363409449893,0.9873475938580586,0.9822063151563633,0.986317340533153,0.9875059155153986,0.9815598215795031,0.9855075010344261,0.9868808369476705,0.9882450482380223,0.9999999999999996,0.9876354147179855,0.9878037085812814,0.9878037085812814,0.9879628961277519,0.9875904245915204
क्षमा करू,0.9946719824800726,0.9920088299878821,0.9961607915987011,0.9961607915987011,0.9955830600669904,0.9920088299878821,0.9961607915987011,0.9946687336109379,0.9953522650846744,0.9948499572429284,0.9924108800799537,0.994400407801881,0.994229206021233,0.9856571610292092,0.9951217425044935,0.994882031012564,0.994229206021233,0.9856571610292092,0.9943729964397885,0.9936772370527005,0.9901388924495071,0.9918872383698375,0.9941249843433055,0.9952625608295904,0.9876354147179855,0.9999999999999998,0.9976632041156936,0.9976632041156936,0.9942222543552683,0.9951855114402546
माफ करू,0.9941236752211363,0.9912209598887829,0.9940936043463972,0.9940936043463972,0.9939350310476404,0.9912209598887829,0.9940936043463972,0.9942562347428835,0.9942298417434917,0.9940701327495395,0.9912157298933016,0.9935985022947695,0.9929156597154744,0.9860589593569722,0.9947742611105245,0.9947415789635736,0.9929156597154744,0.9860589593569722,0.9936022388484713,0.9922995780389252,0.9899371184094551,0.9911962490785046,0.9941298057086064,0.9959117073110002,0.9878037085812814,0.9976632041156936,0.9999999999999998,0.9999999999999998,0.9938035209616319,0.9949801020411049
माफ करू,0.9941236752211363,0.9912209598887829,0.9940936043463972,0.9940936043463972,0.9939350310476404,0.9912209598887829,0.9940936043463972,0.9942562347428835,0.9942298417434917,0.9940701327495395,0.9912157298933016,0.9935985022947695,0.9929156597154744,0.9860589593569722,0.9947742611105245,0.9947415789635736,0.9929156597154744,0.9860589593569722,0.9936022388484713,0.9922995780389252,0.9899371184094551,0.9911962490785046,0.9941298057086064,0.9959117073110002,0.9878037085812814,0.9976632041156936,0.9999999999999998,0.9999999999999998,0.9938035209616319,0.9949801020411049
माफी मँगनिहार,0.9959670440043299,0.9926403961816562,0.9957768291400912,0.9957768291400912,0.9946732865155099,0.9926403961816562,0.9957768291400912,0.9969197415903415,0.9944051970737383,0.9973184677334123,0.9955996189937473,0.9970408416775927,0.995486259399419,0.9897610124098469,0.9956511835281266,0.9952648450662426,0.995486259399419,0.9897610124098469,0.9919144088104408,0.9920616913032356,0.9872677785316694,0.9910966511864607,0.9968073899520263,0.9966931189095986,0.9879628961277519,0.9942222543552683,0.9938035209616319,0.9938035209616319,0.999999999999999,0.9988724080071678
माफी मँगब,0.9963208496729512,0.9935249440226407,0.9958589762401439,0.9958589762401439,0.9948584600294712,0.9935249440226407,0.9958589762401439,0.9978073122545913,0.9945245840706359,0.9971793678581858,0.9950251508910648,0.997265267438127,0.9957287187326206,0.9909955188231283,0.9961413908901897,0.9966815382290657,0.9957287187326206,0.9909955188231283,0.9931834119790554,0.9928527450081837,0.9894000228706896,0.9917691619945239,0.9971475363190667,0.9974307502024435,0.9875904245915204,0.9951855114402546,0.9949801020411049,0.9949801020411049,0.9988724080071678,0.9999999999999999
