,proxongxa),kritoggo),kritaggota),kritaggota),dhonyobad),kritoggo),kritaggota),proxongxa kora),দায়িত্ব,ঋণী,ঋণগ্ৰস্ততা,কৰ্তব্য,বাধ্য,বাধ্যবাধকতা,ঋণত থকা,ঋণী হৈ থকা,ক্ষমাসূচক,ক্ষমা খোজা,ক্ষমা প্ৰাৰ্থনা,ক্ষমা কৰিব,ক্ষমাসূচক প্ৰাৰ্থনাসমূহ,দুখিত ভাব,মাফ কৰিব,মাফ কৰিব
ঋণগ্ৰস্ততা,0.9891818409817373,0.9899417222307654,0.9900558021846655,0.9900558021846655,0.989329422117549,0.9899417222307654,0.9900558021846655,0.9899423949425518,0.983720553951215,0.9960149418225634,0.9999999999999999,0.990354798240514,0.9917468413919074,0.9946964570647624,0.9959600941619475,0.9962157791273553,0.9951569656458834,0.9943412716713318,0.995544754028362,0.9972354402469357,0.9932965304753756,0.9931507529510949,0.9955962433634646,0.9955962433634646
কৰ্তব্য,0.9815376446915324,0.98354654965506,0.9836041522122552,0.9836041522122552,0.9834235079450383,0.98354654965506,0.9836041522122552,0.9802364375180155,0.9826607876126112,0.9876663235741687,0.990354798240514,0.9999999999999996,0.986668039847804,0.9835795734630275,0.9888297512205241,0.9871503298558109,0.9881303002382928,0.9851761473587629,0.9927147086185832,0.9922000808340268,0.9894545477488577,0.9828249541026689,0.9916829129232663,0.9916829129232663
বাধ্য,0.9870777666714325,0.9906159303429576,0.9899265847598214,0.9899265847598214,0.9900961735969891,0.9906159303429576,0.9899265847598214,0.9870065798474045,0.9870498729094852,0.9942319398179909,0.9917468413919074,0.986668039847804,0.9999999999999993,0.9918297120028482,0.9939601031999812,0.992763134270652,0.9953451198916099,0.994288329625033,0.9883652930890287,0.9926085692366685,0.9851513094249928,0.9912575625799404,0.9919291459521381,0.9919291459521381
বাধ্যবাধকতা,0.9886543107466645,0.9888804808066859,0.9889823951319499,0.9889823951319499,0.9876068648546722,0.9888804808066859,0.9889823951319499,0.9902357630850752,0.9807398759328955,0.9927306975154649,0.9946964570647624,0.9835795734630275,0.9918297120028482,0.9999999999999999,0.9932863966234288,0.9945329785744184,0.995180566840968,0.9960894956169167,0.9927094508926846,0.9942272283159098,0.9904426412318282,0.9947544829396618,0.9923886252033259,0.9923886252033259
ঋণত থকা,0.9883791269822352,0.9906766429162542,0.9902563624874537,0.9902563624874537,0.990357760338,0.9906766429162542,0.9902563624874537,0.9894930776544498,0.9848550142800113,0.9966669818128101,0.9959600941619475,0.9888297512205241,0.9939601031999812,0.9932863966234288,0.9999999999999991,0.9984754594038836,0.9957505967781025,0.9953239869314522,0.9922977983053518,0.9967656205767801,0.9884872574943098,0.9922761791959113,0.9960811289679974,0.9960811289679974
ঋণী হৈ থকা,0.9889064033989461,0.9903914462538735,0.9903453711236773,0.9903453711236773,0.9902018248984962,0.9903914462538735,0.9903453711236773,0.9904160133270452,0.9835104154526506,0.9965942379826059,0.9962157791273553,0.9871503298558109,0.992763134270652,0.9945329785744184,0.9984754594038836,0.9999999999999997,0.9958191873724455,0.9960657980292394,0.9923705379234887,0.9968615086277215,0.9891748321364726,0.9933651875400624,0.9960406123115001,0.9960406123115001
ক্ষমাসূচক,0.9909967992143931,0.9933366346808133,0.9934362819675684,0.9934362819675684,0.9927285967179482,0.9933366346808133,0.9934362819675684,0.990939008597073,0.9870026619888966,0.9963303731924187,0.9951569656458834,0.9881303002382928,0.9953451198916099,0.995180566840968,0.9957505967781025,0.9958191873724455,1.0000000000000004,0.9971190207596998,0.9923380726505127,0.9959925062844108,0.9903567496282106,0.9944769835060391,0.9949337286051794,0.9949337286051794
ক্ষমা খোজা,0.9903192568413408,0.9918705300333661,0.9919740749462103,0.9919740749462103,0.9914128302322116,0.9918705300333661,0.9919740749462103,0.9913025884710885,0.9833069032742655,0.9940968187312096,0.9943412716713318,0.9851761473587629,0.994288329625033,0.9960894956169167,0.9953239869314522,0.9960657980292394,0.9971190207596998,0.9999999999999999,0.9922353144761765,0.9959061181857576,0.988859576508854,0.9949139022435496,0.9947211524305045,0.9947211524305045
ক্ষমা প্ৰাৰ্থনা,0.9871724806791072,0.9864509750142582,0.986691080509978,0.986691080509978,0.9862730588826316,0.9864509750142582,0.986691080509978,0.9877170617914635,0.9807485457902785,0.9906439066515287,0.995544754028362,0.9927147086185832,0.9883652930890287,0.9927094508926846,0.9922977983053518,0.9923705379234887,0.9923380726505127,0.9922353144761765,0.9999999999999997,0.9961523069448078,0.9966290706354277,0.9905886303588429,0.9942477194595214,0.9942477194595214
ক্ষমা কৰিব,0.9895136988795292,0.9907692232062362,0.9907908939182595,0.9907908939182595,0.9908206157585022,0.9907692232062362,0.9907908939182595,0.9903730992774147,0.985174300951348,0.9952315963519435,0.9972354402469357,0.9922000808340268,0.9926085692366685,0.9942272283159098,0.9967656205767801,0.9968615086277215,0.9959925062844108,0.9959061181857576,0.9961523069448078,0.9999999999999997,0.9928801718698568,0.9934524725867709,0.9987567720811381,0.9987567720811381
ক্ষমাসূচক প্ৰাৰ্থনাসমূহ,0.9849019234507492,0.9834580604322529,0.98356522325991,0.98356522325991,0.9833183176479983,0.9834580604322529,0.98356522325991,0.9856214364198428,0.978337928591632,0.9876407816354782,0.9932965304753756,0.9894545477488577,0.9851513094249928,0.9904426412318282,0.9884872574943098,0.9891748321364726,0.9903567496282106,0.988859576508854,0.9966290706354277,0.9928801718698568,0.9999999999999996,0.9907638535450574,0.9911380932904682,0.9911380932904682
দুখিত ভাব,0.9892305982580254,0.9892869121040587,0.9889043803131596,0.9889043803131596,0.9884223461636676,0.9892869121040587,0.9889043803131596,0.9902389877611779,0.9828234030211359,0.9915234044381791,0.9931507529510949,0.9828249541026689,0.9912575625799404,0.9947544829396618,0.9922761791959113,0.9933651875400624,0.9944769835060391,0.9949139022435496,0.9905886303588429,0.9934524725867709,0.9907638535450574,1.0,0.9925110593159665,0.9925110593159665
মাফ কৰিব,0.9895435022451518,0.9907799981157843,0.9907387131551633,0.9907387131551633,0.9911218763939543,0.9907799981157843,0.9907387131551633,0.9901568641508185,0.9853672771174616,0.9946128175897639,0.9955962433634646,0.9916829129232663,0.9919291459521381,0.9923886252033259,0.9960811289679974,0.9960406123115001,0.9949337286051794,0.9947211524305045,0.9942477194595214,0.9987567720811381,0.9911380932904682,0.9925110593159665,0.9999999999999997,0.9999999999999997
মাফ কৰিব,0.9895435022451518,0.9907799981157843,0.9907387131551633,0.9907387131551633,0.9911218763939543,0.9907799981157843,0.9907387131551633,0.9901568641508185,0.9853672771174616,0.9946128175897639,0.9955962433634646,0.9916829129232663,0.9919291459521381,0.9923886252033259,0.9960811289679974,0.9960406123115001,0.9949337286051794,0.9947211524305045,0.9942477194595214,0.9987567720811381,0.9911380932904682,0.9925110593159665,0.9999999999999997,0.9999999999999997
