,欣赏,欣赏之情,感恩之情,感激,感谢,感恩,感激之情,债务,负债,负债状态,义务,有义务,义务感,欠,欠着,抱歉的,歉意的,致歉,道歉,道歉,道歉,不好意思,劳驾,请原谅,抱歉,对不起
义务,0.9838782653658438,0.9873153012963921,0.9849491022305058,0.9833950977934179,0.9854590159922245,0.9830824780774817,0.986257321043233,0.9873342946072641,0.9873390034704245,0.9857799892077833,1.0000000000000004,0.9960034894222567,0.9929108846407699,0.9770206604512928,0.9834350463036641,0.983216615633798,0.9849835323626422,0.9840592613149972,0.9838326037622005,0.9838326037622005,0.9838326037622005,0.9868601606555847,0.9852043223780881,0.9853191511304491,0.9838536275013693,0.9891351622936905
有义务,0.9899690865542684,0.993005432872422,0.990140182343009,0.9899975556406326,0.9920631439003917,0.9892816080276436,0.9921740015139675,0.9915687319758507,0.9920373762949982,0.9917156582123384,0.9960034894222567,0.9999999999999991,0.9944521779506461,0.9828152857010404,0.9877913525325013,0.9894548212291854,0.990785301672346,0.9905888383198455,0.99045479398244,0.99045479398244,0.99045479398244,0.993897245732661,0.9897898226465602,0.9923884150874259,0.9906111733494611,0.9949072168492622
义务感,0.9851241741681227,0.989469147696556,0.990336216657637,0.9879123177024615,0.9894980304300189,0.9857963532965692,0.9899815283189288,0.9864407963630538,0.9862080338091882,0.9883860835745095,0.9929108846407699,0.9944521779506461,0.9999999999999994,0.9754633967565521,0.9837403112199056,0.9849747427349441,0.9862151621948135,0.9859006404442293,0.9853919494006079,0.9853919494006079,0.9853919494006079,0.9896122412157561,0.9853046724012166,0.9878436835014441,0.9856728637227623,0.9916631361263314
欠,0.9823949159063495,0.9813362901759921,0.9750540668132704,0.9845741601328963,0.9864934254026939,0.9831101102325189,0.9802019554900249,0.9834493106447701,0.9852438994625224,0.9799689656630393,0.9770206604512928,0.9828152857010404,0.9754633967565521,0.9999999999999993,0.9816818669074647,0.9833505729956813,0.9841616746712226,0.9867796645313007,0.9872359543063572,0.9872359543063572,0.9872359543063572,0.9874087749405499,0.9804053802045373,0.9858757476379818,0.9872775279985999,0.984524734402158
欠着,0.9843462182935252,0.9858459925604599,0.9848591893769012,0.9885131669929647,0.9880802671812355,0.9865301716512648,0.9863360844812353,0.9835663940965752,0.9890646295962328,0.9849087616411019,0.9834350463036641,0.9877913525325013,0.9837403112199056,0.9816818669074647,1.0,0.9856535602222974,0.9867816939296066,0.9862878522259724,0.9860458110073778,0.9860458110073778,0.9860458110073778,0.9882889620324699,0.9853045468158073,0.9882624457551151,0.9869344229051186,0.9891760195846289
抱歉的,0.988521033061423,0.9905258254819277,0.9872028813313543,0.9915875873276797,0.9925582276300378,0.9903834257011649,0.9917013919256282,0.9875902833675014,0.9899169504599467,0.9881052692171497,0.983216615633798,0.9894548212291854,0.9849747427349441,0.9833505729956813,0.9856535602222974,0.9999999999999992,0.9984744278803321,0.9931346353524615,0.9922884021935231,0.9922884021935231,0.9922884021935231,0.9927961122448878,0.9838971708598492,0.9925301467597812,0.9933949812815182,0.9926975771563529
歉意的,0.9894990332264401,0.9915302324445165,0.9881666446759465,0.991452231164117,0.9924681629684794,0.9907381101342747,0.992224148516872,0.9888931796508418,0.9904514936938612,0.9894776234031054,0.9849835323626422,0.990785301672346,0.9862151621948135,0.9841616746712226,0.9867816939296066,0.9984744278803321,0.9999999999999991,0.9932688697608575,0.9925779021479166,0.9925779021479166,0.9925779021479166,0.9935783120659786,0.9854468975152312,0.9931944294837564,0.9930477367917613,0.9935305268932761
致歉,0.9918585964523252,0.9903364171995229,0.985181208010691,0.9942561604853333,0.9947998482934591,0.9919863767364631,0.9903085516448001,0.9908775861788632,0.9910857718476782,0.9898373784640767,0.9840592613149972,0.9905888383198455,0.9859006404442293,0.9867796645313007,0.9862878522259724,0.9931346353524615,0.9932688697608575,0.9999999999999999,0.9990441060054391,0.9990441060054391,0.9990441060054391,0.9953295220398922,0.9857083209381032,0.9941882289158182,0.9986139149552808,0.9937310206490908
道歉,0.991946592584554,0.9901439047287648,0.9848943745533292,0.9943527772516562,0.9946781700678904,0.9919713790729194,0.9901241539252045,0.9916891936417817,0.9914864003161455,0.9905956712495128,0.9838326037622005,0.99045479398244,0.9853919494006079,0.9872359543063572,0.9860458110073778,0.9922884021935231,0.9925779021479166,0.9990441060054391,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9953274223172192,0.9865343434764342,0.9936873427178301,0.9985221080671199,0.9937164171495316
道歉,0.991946592584554,0.9901439047287648,0.9848943745533292,0.9943527772516562,0.9946781700678904,0.9919713790729194,0.9901241539252045,0.9916891936417817,0.9914864003161455,0.9905956712495128,0.9838326037622005,0.99045479398244,0.9853919494006079,0.9872359543063572,0.9860458110073778,0.9922884021935231,0.9925779021479166,0.9990441060054391,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9953274223172192,0.9865343434764342,0.9936873427178301,0.9985221080671199,0.9937164171495316
道歉,0.991946592584554,0.9901439047287648,0.9848943745533292,0.9943527772516562,0.9946781700678904,0.9919713790729194,0.9901241539252045,0.9916891936417817,0.9914864003161455,0.9905956712495128,0.9838326037622005,0.99045479398244,0.9853919494006079,0.9872359543063572,0.9860458110073778,0.9922884021935231,0.9925779021479166,0.9990441060054391,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9953274223172192,0.9865343434764342,0.9936873427178301,0.9985221080671199,0.9937164171495316
不好意思,0.9924643746464482,0.9934812721701464,0.9896742504878748,0.9955835352042758,0.9967923990238584,0.9931845915566847,0.9940944520379436,0.992260110012829,0.9923075536367607,0.9921935226435095,0.9868601606555847,0.993897245732661,0.9896122412157561,0.9874087749405499,0.9882889620324699,0.9927961122448878,0.9935783120659786,0.9953295220398922,0.9953274223172192,0.9953274223172192,0.9953274223172192,0.9999999999999991,0.9885698372355186,0.9959204224927197,0.9959893941087145,0.996666191946467
劳驾,0.9895008578911392,0.9911233633867946,0.9860701887281418,0.9868894144280566,0.9879164851316552,0.9878180106421419,0.9894745469133774,0.99105583115137,0.9880037754988118,0.9902141699503767,0.9852043223780881,0.9897898226465602,0.9853046724012166,0.9804053802045373,0.9853045468158073,0.9838971708598492,0.9854468975152312,0.9857083209381032,0.9865343434764342,0.9865343434764342,0.9865343434764342,0.9885698372355186,0.9999999999999994,0.986612268464601,0.986924320476295,0.9903554301895712
请原谅,0.9904496362111953,0.9911128568626775,0.987793450303427,0.9938690718565002,0.9961410019308541,0.9901331715882072,0.9912940581234988,0.9893963758939589,0.9922368718440127,0.9900859310509419,0.9853191511304491,0.9923884150874259,0.9878436835014441,0.9858757476379818,0.9882624457551151,0.9925301467597812,0.9931944294837564,0.9941882289158182,0.9936873427178301,0.9936873427178301,0.9936873427178301,0.9959204224927197,0.986612268464601,0.9999999999999999,0.9947182062670402,0.9943306787031156
抱歉,0.9916403212320178,0.9906719942936444,0.9855216461972033,0.9954960978920641,0.9959488243543791,0.9923611572960978,0.9910174543149448,0.9918010908730224,0.9913749458710083,0.9904122431914533,0.9838536275013693,0.9906111733494611,0.9856728637227623,0.9872775279985999,0.9869344229051186,0.9933949812815182,0.9930477367917613,0.9986139149552808,0.9985221080671199,0.9985221080671199,0.9985221080671199,0.9959893941087145,0.986924320476295,0.9947182062670402,0.9999999999999994,0.9940877560912555
对不起,0.9924170713464314,0.994476705074953,0.9913473783058033,0.9945374366361546,0.9953949835168581,0.9931517517513486,0.9951068266927928,0.9933447935179517,0.9930946218580762,0.9947646841458043,0.9891351622936905,0.9949072168492622,0.9916631361263314,0.984524734402158,0.9891760195846289,0.9926975771563529,0.9935305268932761,0.9937310206490908,0.9937164171495316,0.9937164171495316,0.9937164171495316,0.996666191946467,0.9903554301895712,0.9943306787031156,0.9940877560912555,0.9999999999999993
