,schätzen,wertschätzung,dankbar,dankbarkeit,dankbarkeit,dankschee,dankbar,dankbarkeit,schuldig,schuldigkeit,verpflichtung,obg'ligd,verpflichtt,verpflichtung,schuidig sei,schuidig hob'n,entschuldigend,entschuldigungen,entschuldigen,entschuldigung,entschuldigung,verzeihung,entschuldigung,bedauern,entschuldigung,verzeih ma
verpflichtung,0.9957369877024017,0.9977410039319996,0.9943902608687448,0.9944337506983505,0.9944337506983505,0.9954831096399782,0.9943902608687448,0.9944337506983505,0.995693461396802,0.9968487664999539,0.9999999999999997,0.9901920792636236,0.9971572267901794,0.9999999999999997,0.993015851027213,0.9929512995194176,0.9948207945617182,0.9968834554234379,0.9932273174311317,0.9959204693251316,0.9959204693251316,0.9972657454480627,0.9959204693251316,0.9943284213828422,0.9959204693251316,0.9949941812849533
obg'ligd,0.9900877251854234,0.9889361357722412,0.9907777900725037,0.985794551242809,0.985794551242809,0.9905105649850217,0.9907777900725037,0.985794551242809,0.9897467572335761,0.9887049351295272,0.9901920792636236,0.999999999999999,0.9915132886524372,0.9901920792636236,0.991335518956663,0.9931528158710496,0.9915455792053671,0.9882028166010497,0.9882702030780155,0.9865734060705733,0.9865734060705733,0.9916223762467681,0.9865734060705733,0.9896194091044901,0.9865734060705733,0.9923109568290679
verpflichtt,0.9946859886147832,0.9946973745579164,0.9942638133686902,0.9915096058145259,0.9915096058145259,0.9946022293035331,0.9942638133686902,0.9915096058145259,0.9957436552669515,0.9948034812827256,0.9971572267901794,0.9915132886524372,1.0,0.9971572267901794,0.9940924660912966,0.9938632516450261,0.9955677250413665,0.9945952629684275,0.9949108151541136,0.9929324404885442,0.9929324404885442,0.9955631976288765,0.9929324404885442,0.9938987555952069,0.9929324404885442,0.9949341442757047
verpflichtung,0.9957369877024017,0.9977410039319996,0.9943902608687448,0.9944337506983505,0.9944337506983505,0.9954831096399782,0.9943902608687448,0.9944337506983505,0.995693461396802,0.9968487664999539,0.9999999999999997,0.9901920792636236,0.9971572267901794,0.9999999999999997,0.993015851027213,0.9929512995194176,0.9948207945617182,0.9968834554234379,0.9932273174311317,0.9959204693251316,0.9959204693251316,0.9972657454480627,0.9959204693251316,0.9943284213828422,0.9959204693251316,0.9949941812849533
schuidig sei,0.9928958407365795,0.9924257055808438,0.9931376698236152,0.9894123650974805,0.9894123650974805,0.993532440027928,0.9931376698236152,0.9894123650974805,0.9944387443631837,0.993551931754999,0.993015851027213,0.991335518956663,0.9940924660912966,0.993015851027213,0.9999999999999997,0.9964991385407992,0.9949127277038519,0.9919994141451574,0.9932077314163557,0.9909776695410513,0.9909776695410513,0.9939552982944252,0.9909776695410513,0.9938966652245408,0.9909776695410513,0.9941795042708238
schuidig hob'n,0.9918910040903306,0.9916504182902498,0.9930450584076757,0.9881780919754528,0.9881780919754528,0.9931590908142107,0.9930450584076757,0.9881780919754528,0.9936610611249265,0.9928577103076988,0.9929512995194176,0.9931528158710496,0.9938632516450261,0.9929512995194176,0.9964991385407992,0.9999999999999997,0.9946417154015641,0.9914945472703872,0.9917401586442427,0.9900704680767831,0.9900704680767831,0.9935881243092216,0.9900704680767831,0.9928622994693126,0.9900704680767831,0.9947611017462576
entschuldigend,0.9932016331745762,0.9940656000112921,0.9942898810449383,0.991287623909385,0.991287623909385,0.9940959945578238,0.9942898810449383,0.991287623909385,0.9964927671711565,0.9949653157573887,0.9948207945617182,0.9915455792053671,0.9955677250413665,0.9948207945617182,0.9949127277038519,0.9946417154015641,0.9999999999999998,0.9951796667172623,0.995284882844649,0.9943087571711446,0.9943087571711446,0.9950242241320805,0.9943087571711446,0.9952398543880223,0.994308757171145,0.9945330602646634
entschuldigungen,0.9950896107076767,0.996448732672978,0.9935089143030674,0.9937696566041223,0.9937696566041223,0.9941875399058425,0.9935089143030674,0.9937696566041223,0.9956289919312372,0.9971210058218654,0.9968834554234379,0.9882028166010497,0.9945952629684275,0.9968834554234379,0.9919994141451574,0.9914945472703872,0.9951796667172623,0.9999999999999998,0.9942477115856205,0.9980938398048196,0.9980938398048196,0.995652641576515,0.9980938398048196,0.9936805063889619,0.9980938398048194,0.9937613352288034
entschuldigen,0.9922015651687597,0.9927716214674418,0.9926783267585116,0.9906627502956281,0.9906627502956281,0.9929850171871746,0.9926783267585116,0.9906627502956281,0.995833353073476,0.9935014754043014,0.9932273174311317,0.9882702030780155,0.9949108151541136,0.9932273174311317,0.9932077314163557,0.9917401586442427,0.995284882844649,0.9942477115856205,0.9999999999999997,0.9931937262875857,0.9931937262875857,0.992422989987752,0.9931937262875857,0.993129229186485,0.9931937262875864,0.991797483615192
entschuldigung,0.9926108390363342,0.9959400308625465,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9920155843928576,0.9915969366104272,0.9935527935285706,0.9942300008278119,0.99624597438568,0.9959204693251316,0.9865734060705733,0.9929324404885442,0.9959204693251316,0.9909776695410513,0.9900704680767831,0.9943087571711446,0.9980938398048196,0.9931937262875857,0.9999999999999999,0.9999999999999999,0.9941464890967533,0.9999999999999999,0.9925969613706098,1.0,0.9918493459877632
entschuldigung,0.9926108390363342,0.9959400308625465,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9920155843928576,0.9915969366104272,0.9935527935285706,0.9942300008278119,0.99624597438568,0.9959204693251316,0.9865734060705733,0.9929324404885442,0.9959204693251316,0.9909776695410513,0.9900704680767831,0.9943087571711446,0.9980938398048196,0.9931937262875857,0.9999999999999999,0.9999999999999999,0.9941464890967533,0.9999999999999999,0.9925969613706098,1.0,0.9918493459877632
verzeihung,0.9962164368432973,0.9963078499141483,0.9945712721013125,0.9931988360715769,0.9931988360715769,0.9952792144531815,0.9945712721013125,0.9931988360715769,0.9944310859863716,0.9952305843982002,0.9972657454480627,0.9916223762467681,0.9955631976288765,0.9972657454480627,0.9939552982944252,0.9935881243092216,0.9950242241320805,0.995652641576515,0.992422989987752,0.9941464890967533,0.9941464890967533,0.9999999999999996,0.9941464890967533,0.9952328167710033,0.9941464890967526,0.996860231227584
entschuldigung,0.9926108390363342,0.9959400308625465,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9920155843928576,0.9915969366104272,0.9935527935285706,0.9942300008278119,0.99624597438568,0.9959204693251316,0.9865734060705733,0.9929324404885442,0.9959204693251316,0.9909776695410513,0.9900704680767831,0.9943087571711446,0.9980938398048196,0.9931937262875857,0.9999999999999999,0.9999999999999999,0.9941464890967533,0.9999999999999999,0.9925969613706098,1.0,0.9918493459877632
bedauern,0.9935860482929119,0.9939928999013147,0.9930085650625253,0.9919961996410862,0.9919961996410862,0.9947337291905614,0.9930085650625253,0.9919961996410862,0.9942381394881067,0.9940622607257303,0.9943284213828422,0.9896194091044901,0.9938987555952069,0.9943284213828422,0.9938966652245408,0.9928622994693126,0.9952398543880223,0.9936805063889619,0.993129229186485,0.9925969613706098,0.9925969613706098,0.9952328167710033,0.9925969613706098,0.9999999999999991,0.9925969613706095,0.9940202357064603
entschuldigung,0.9926108390363342,0.9959400308625465,0.9915969366104272,0.9935527935285706,0.9935527935285706,0.9920155843928576,0.9915969366104272,0.9935527935285706,0.9942300008278119,0.99624597438568,0.9959204693251316,0.9865734060705733,0.9929324404885442,0.9959204693251316,0.9909776695410513,0.9900704680767831,0.994308757171145,0.9980938398048194,0.9931937262875864,1.0,1.0,0.9941464890967526,1.0,0.9925969613706095,0.9999999999999999,0.9918493459877634
verzeih ma,0.9947316349652672,0.9939187947015143,0.9939125036604557,0.9907150284350409,0.9907150284350409,0.9944564139664663,0.9939125036604557,0.9907150284350409,0.9934336262046,0.9936992892462657,0.9949941812849533,0.9923109568290679,0.9949341442757047,0.9949941812849533,0.9941795042708238,0.9947611017462576,0.9945330602646634,0.9937613352288034,0.991797483615192,0.9918493459877632,0.9918493459877632,0.996860231227584,0.9918493459877632,0.9940202357064603,0.9918493459877634,0.9999999999999992
