,aprezià,apreziaziun,grassieevole,grat,gratitud,gratitud,grassie,grassieevole,grat,gratitud,debitur,debít,obligazión,costrett,obligaa,obligazión,dévee,debent,in debítt,gha de pagà,scusant,scüse,scusàs,scüs,scusèm,pardonèm,desgrazia,scusa
obligazión,0.9933153263098271,0.9900312156679473,0.9921714079466878,0.993130358264841,0.990470873151997,0.990470873151997,0.9923750894951597,0.9921714079466878,0.9931303582648412,0.9904708731519969,0.9933392779227279,0.9674476130745254,0.9999999999999996,0.992049493180168,0.9919524065257982,0.9999999999999996,0.9911709062055224,0.9924416196993099,0.9921296213045463,0.9935137592161978,0.9936035439548183,0.9929696686568995,0.9904923880976343,0.9885803767967327,0.9919616758090002,0.9909371286838801,0.9918129743178258,0.9929252738068604
costrett,0.9928102941627532,0.9891529500059748,0.9916861702458336,0.991869456296191,0.9904170896660398,0.9904170896660398,0.9921944527156753,0.9916861702458336,0.9918694562961918,0.9904170896660394,0.9919819334106474,0.9643171912012842,0.992049493180168,1.0000000000000002,0.9884457644266634,0.992049493180168,0.99056594813266,0.9924281431373764,0.9902485403700639,0.9922376335077301,0.9930286960260394,0.9922138723068796,0.9887309763973569,0.9875502157370601,0.9913223630688218,0.9905182118311393,0.9900607107051435,0.9925780004197696
obligaa,0.9926419182168357,0.9900755803023655,0.991693830978077,0.9926176487502091,0.9926153982851511,0.9926153982851511,0.991554067292287,0.991693830978077,0.992617648750209,0.9926153982851502,0.9922428062407468,0.9654659104647845,0.9919524065257982,0.9884457644266634,0.9999999999999996,0.9919524065257982,0.9922765823243704,0.9909589866372679,0.992444309364457,0.9915411925964366,0.9922180905342333,0.9925468021991367,0.9874984885988204,0.986454216765833,0.9904145656095051,0.9897849308830566,0.9924357504455065,0.9914739493676951
obligazión,0.9933153263098271,0.9900312156679473,0.9921714079466878,0.993130358264841,0.990470873151997,0.990470873151997,0.9923750894951597,0.9921714079466878,0.9931303582648412,0.9904708731519969,0.9933392779227279,0.9674476130745254,0.9999999999999996,0.992049493180168,0.9919524065257982,0.9999999999999996,0.9911709062055224,0.9924416196993099,0.9921296213045463,0.9935137592161978,0.9936035439548183,0.9929696686568995,0.9904923880976343,0.9885803767967327,0.9919616758090002,0.9909371286838801,0.9918129743178258,0.9929252738068604
dévee,0.9949900331656798,0.9914108365326101,0.9937379897400266,0.9959621935849717,0.9929764493489085,0.9929764493489085,0.9942258754811155,0.9937379897400266,0.9959621935849717,0.9929764493489085,0.9934649238377486,0.9658394343666877,0.9911709062055224,0.99056594813266,0.9922765823243704,0.9911709062055224,0.9999999999999993,0.9932930482709602,0.9941334715753342,0.9937352263690256,0.9952170390426371,0.9959885711050669,0.9913176809767873,0.990069431485029,0.9942899291040539,0.9915454656873148,0.9928598196329375,0.9946647264382837
debent,0.9932728263167852,0.9893927507081687,0.9926578116849931,0.9942044847010315,0.9919160450900988,0.9919160450900988,0.9932836011594584,0.9926578116849931,0.9942044847010315,0.9919160450900988,0.9943378510148334,0.9699799454919522,0.9924416196993099,0.9924281431373764,0.9909589866372679,0.9924416196993099,0.9932930482709602,1.0,0.9921759001742964,0.9934203262193513,0.9952480878583447,0.9948994729745255,0.9904151642251143,0.9901322185184942,0.9930682747516634,0.9935020251498974,0.9923320887216404,0.9937751833061922
in debítt,0.9937649750518149,0.9905494959995845,0.9932640330472102,0.9950195549641905,0.9928967118786153,0.9928967118786153,0.992283322705866,0.9932640330472102,0.9950195549641905,0.9928967118786153,0.9945432588952304,0.9701170777989819,0.9921296213045463,0.9902485403700639,0.992444309364457,0.9921296213045463,0.9941334715753342,0.9921759001742964,0.9999999999999996,0.992628832917097,0.9943097952523985,0.9945237354962572,0.9890575910587851,0.9893839880679025,0.9934263915743601,0.9916868214222276,0.9919141795340055,0.9933379653974788
gha de pagà,0.9959062873923942,0.9912157583971593,0.9933002153693806,0.9936957882358449,0.9920966519768059,0.9920966519768059,0.9944805454522887,0.9933002153693806,0.9936957882358449,0.9920966519768059,0.9936314446951109,0.9653554804824367,0.9935137592161978,0.9922376335077301,0.9915411925964366,0.9935137592161978,0.9937352263690256,0.9934203262193513,0.992628832917097,0.9999999999999997,0.9938478598133226,0.9939221790517151,0.990273868365863,0.988420599267304,0.9927592143859261,0.991916459592257,0.9927295102382051,0.9934931332889585
scusant,0.9954036079780152,0.9910974294363991,0.995222755664109,0.9970194463465581,0.9934660033255728,0.9934660033255728,0.9951058610204899,0.995222755664109,0.9970194463465581,0.9934660033255728,0.9942403407057516,0.9686172350127649,0.9936035439548183,0.9930286960260394,0.9922180905342333,0.9936035439548183,0.9952170390426371,0.9952480878583447,0.9943097952523985,0.9938478598133226,1.0000000000000004,0.9958278153113793,0.9908862836543698,0.9916559071100899,0.9941863348735739,0.9927971028665772,0.9935329312839862,0.9949425909909878
scüse,0.9953220314380539,0.992227830610877,0.9944302480641913,0.9954433540526445,0.9931674575228348,0.9931674575228348,0.995650603993231,0.9944302480641913,0.9954433540526445,0.9931674575228348,0.9954283561735694,0.967331462886777,0.9929696686568995,0.9922138723068796,0.9925468021991367,0.9929696686568995,0.9959885711050669,0.9948994729745255,0.9945237354962572,0.9939221790517151,0.9958278153113793,0.9999999999999996,0.9931364174374695,0.9914933395547594,0.9962865647103858,0.9928315748093104,0.9942928800343444,0.9975942774893074
scusàs,0.9900757553174057,0.9876413821641297,0.9883472570340675,0.9910593121737272,0.9881803090905118,0.9881803090905118,0.9902476308446264,0.9883472570340675,0.9910593121737272,0.9881803090905118,0.9917937479137283,0.964508905126698,0.9904923880976343,0.9887309763973569,0.9874984885988204,0.9904923880976343,0.9913176809767873,0.9904151642251143,0.9890575910587851,0.990273868365863,0.9908862836543698,0.9931364174374695,1.0,0.9901610682292656,0.9934375852404159,0.9880227949140344,0.988074310706011,0.9933653126889758
scüs,0.989611913690081,0.9855371237943259,0.9886456159285465,0.9930285642084908,0.9875509788958989,0.9875509788958989,0.989526040016439,0.9886456159285465,0.9930285642084908,0.9875509788958989,0.9895114182603336,0.9633713463973688,0.9885803767967327,0.9875502157370601,0.986454216765833,0.9885803767967327,0.990069431485029,0.9901322185184942,0.9893839880679025,0.988420599267304,0.9916559071100899,0.9914933395547594,0.9901610682292656,0.9999999999999996,0.9945390645128237,0.9879530891555864,0.986367616717273,0.9921269700787173
scusèm,0.9934463443015711,0.989917828963898,0.9921817184130497,0.9947023404471745,0.9918238108699048,0.9918238108699048,0.9936579339794179,0.9921817184130497,0.9947023404471745,0.9918238108699048,0.9935163032658502,0.9667160291525625,0.9919616758090002,0.9913223630688218,0.9904145656095051,0.9919616758090002,0.9942899291040539,0.9930682747516634,0.9934263915743601,0.9927592143859261,0.9941863348735739,0.9962865647103858,0.9934375852404159,0.9945390645128237,0.9999999999999993,0.9931520870257236,0.9909665372489792,0.9961627337215037
pardonèm,0.9925277608717188,0.9887271567198995,0.9916033984076049,0.9916940706329676,0.9910033722411213,0.9910033722411213,0.9918604446560891,0.9916033984076049,0.9916940706329676,0.9910033722411213,0.9923929822145663,0.9664936436740911,0.9909371286838801,0.9905182118311393,0.9897849308830566,0.9909371286838801,0.9915454656873148,0.9935020251498974,0.9916868214222276,0.991916459592257,0.9927971028665772,0.9928315748093104,0.9880227949140344,0.9879530891555864,0.9931520870257236,0.9999999999999994,0.992231023019676,0.9922137590151884
desgrazia,0.9952187322982587,0.9936253727217286,0.9926424177474962,0.9923147429238657,0.9913987983286223,0.9913987983286223,0.9940791708472309,0.9926424177474962,0.9923147429238657,0.9913987983286223,0.9930248411724887,0.9652195196530845,0.9918129743178258,0.9900607107051435,0.9924357504455065,0.9918129743178258,0.9928598196329375,0.9923320887216404,0.9919141795340055,0.9927295102382051,0.9935329312839862,0.9942928800343444,0.988074310706011,0.986367616717273,0.9909665372489792,0.992231023019676,0.9999999999999991,0.9930174036588506
scusa,0.994068355504283,0.9905173456371588,0.9932345980170803,0.9943366234421739,0.9919041338366017,0.9919041338366017,0.9942355175987154,0.9932345980170803,0.9943366234421739,0.9919041338366017,0.9947708786092424,0.9668724186697479,0.9929252738068604,0.9925780004197696,0.9914739493676951,0.9929252738068604,0.9946647264382837,0.9937751833061922,0.9933379653974788,0.9934931332889585,0.9949425909909878,0.9975942774893074,0.9933653126889758,0.9921269700787173,0.9961627337215037,0.9922137590151884,0.9930174036588506,1.0
