,प्रशंसा,आभारी,आभार,आभार,धन्यवाद,आभारी,आभार,सराहना करना,ऋणी,कर्ज़दार,ऋणग्रस्तता,कर्ज़दारी,कर्तव्य,दायित्व,बाध्य,मजबूर,कर्तव्य,दायित्व,ऋणस्वीकार,ऋणी होना,कर्ज़ होना,कर्ज़दार होना,खेदपूर्ण,माफ़ियाँ,माफ़ी,खेद,क्षमा करें,मुझे माफ़ करें,माफ़ करना,माफ़ी मांगना
कर्ज़दारी,0.9960281738546758,0.9945737180866515,0.9954940770043481,0.9954940770043481,0.995085784069956,0.9945737180866515,0.9954940770043481,0.9932762239376716,0.9951359759565644,0.9987795346349609,0.9958185733345082,0.9999999999999999,0.9924270793698845,0.9942561194186021,0.9960815915789019,0.994949011336642,0.9924270793698844,0.994256119418602,0.9932967860043207,0.9935469269280358,0.9949431718348335,0.9939924045359991,0.9936541052086902,0.9937963786626219,0.9962202151330122,0.9902981071430278,0.994400407801881,0.9857196297065203,0.9949114539361099,0.9963445196057569
कर्तव्य,0.9925717158108326,0.9904846374011528,0.9951532023318427,0.9951532023318427,0.9953133783268239,0.9904846374011528,0.9951532023318427,0.9921467403200398,0.9949973276872871,0.9929941511352487,0.9901975159950881,0.9924270793698845,0.9999999999999999,0.9937137265148388,0.9941463526238354,0.9932411264371636,0.9999999999999997,0.9937137265148391,0.9940595254216473,0.993171879206911,0.9944140971499286,0.9928207685349405,0.9938385197428895,0.9878405840065887,0.9932393156726351,0.9903602937839718,0.994520545558604,0.9855912016742998,0.9943981286798489,0.9917343475716189
दायित्व,0.9949511423096171,0.99151814874078,0.9957031623037146,0.9957031623037146,0.9965595114480423,0.99151814874078,0.9957031623037146,0.9932211598914944,0.9942465786455837,0.9952009479530496,0.994539474440359,0.9942561194186021,0.9937137265148388,1.0,0.9955084145020938,0.9935102114054412,0.9937137265148391,1.0000000000000002,0.9944568441828403,0.9941489045168984,0.9948585464607577,0.9939288824199454,0.994878576211557,0.9898127633960234,0.9944151825479157,0.9917259399444301,0.9947125059674139,0.9850477121372012,0.9934667764059616,0.9938386397687012
बाध्य,0.9969046577090178,0.9943083055507678,0.997139811565795,0.997139811565795,0.9968321944197212,0.9943083055507678,0.997139811565795,0.9930639384186984,0.99589143083886,0.9964759083218181,0.9945817253457849,0.9960815915789019,0.9941463526238354,0.9955084145020938,0.9999999999999994,0.9959687467973781,0.9941463526238349,0.9955084145020927,0.9947260662967425,0.9940244624124298,0.9954737107584835,0.9938059811101165,0.9962950469982726,0.9932642696644329,0.9966529715227864,0.9933409119059252,0.9951217425044935,0.9859262371255627,0.9951655562377785,0.9953387033589286
मजबूर,0.9962770301033369,0.9940861577571538,0.9964419721865234,0.9964419721865234,0.9943540083914303,0.9940861577571538,0.9964419721865234,0.9930812338947907,0.9950413818946232,0.9950865512448728,0.9922658264133607,0.994949011336642,0.9932411264371636,0.9935102114054412,0.9959687467973781,0.9999999999999993,0.9932411264371634,0.9935102114054417,0.9939960424240761,0.9930966430883993,0.9943595477291107,0.9927071807591891,0.9955073405791098,0.9932912933685067,0.9955547980481325,0.9925697645578769,0.994882031012564,0.9881257759797887,0.9950206056511754,0.9939783755455086
कर्तव्य,0.9925717158108326,0.9904846374011528,0.9951532023318427,0.9951532023318427,0.9953133783268239,0.9904846374011528,0.9951532023318427,0.9921467403200398,0.9949973276872879,0.9929941511352478,0.9901975159950884,0.9924270793698844,0.9999999999999997,0.9937137265148391,0.9941463526238349,0.9932411264371634,0.9999999999999999,0.9937137265148388,0.9940595254216478,0.9931718792069105,0.9944140971499292,0.9928207685349407,0.9938385197428893,0.9878405840065885,0.9932393156726351,0.9903602937839718,0.994520545558604,0.9855912016742998,0.9943981286798489,0.9917343475716189
दायित्व,0.9949511423096171,0.99151814874078,0.9957031623037146,0.9957031623037146,0.9965595114480423,0.99151814874078,0.9957031623037146,0.9932211598914944,0.9942465786455837,0.9952009479530487,0.9945394744403585,0.994256119418602,0.9937137265148391,1.0000000000000002,0.9955084145020927,0.9935102114054417,0.9937137265148388,1.0,0.9944568441828405,0.9941489045168984,0.9948585464607572,0.9939288824199461,0.9948785762115567,0.989812763396023,0.9944151825479157,0.9917259399444301,0.9947125059674139,0.9850477121372012,0.9934667764059616,0.9938386397687012
ऋणस्वीकार,0.9926654838552212,0.9914931849259403,0.9943884019936166,0.9943884019936166,0.9960180379439662,0.9914931849259403,0.9943884019936166,0.9936533457491175,0.9953746689316079,0.9942228703528814,0.9922696169554166,0.9932967860043207,0.9940595254216473,0.9944568441828403,0.9947260662967425,0.9939960424240761,0.9940595254216478,0.9944568441828405,0.9999999999999993,0.9965388718818011,0.9952692732743621,0.9946994200111173,0.9947111964254953,0.9906355403919871,0.993001005917401,0.989961624428844,0.994983050534545,0.9856150752266253,0.9945821628251916,0.993161188653663
ऋणी होना,0.9926204220116618,0.9907268999332588,0.9937193035135284,0.9937193035135284,0.9953303669841312,0.9907268999332588,0.9937193035135284,0.995282773418934,0.9948039868495002,0.9946150888940004,0.9919939804234239,0.9935469269280358,0.993171879206911,0.9941489045168984,0.9940244624124298,0.9930966430883993,0.9931718792069105,0.9941489045168984,0.9965388718818011,0.9999999999999996,0.9979278981526479,0.9983268454269472,0.9928059114832284,0.9910309343344273,0.993813802662052,0.9882629412814851,0.9953181426870337,0.9860773936008779,0.9957098495175929,0.9951308020653661
कर्ज़ होना,0.9945080827957176,0.9917124590903853,0.9956227808646311,0.9956227808646311,0.9962247014525112,0.9917124590903853,0.9956227808646311,0.9955370093824306,0.9943822773083952,0.9958223687961248,0.9930532579597634,0.9949431718348335,0.9944140971499286,0.9948585464607577,0.9954737107584835,0.9943595477291107,0.9944140971499292,0.9948585464607572,0.9952692732743621,0.9979278981526479,0.9999999999999996,0.9990223743702041,0.9941028292594369,0.9911594753541422,0.9954192955374676,0.9903982582243824,0.9969937563055794,0.9882788818848797,0.9966326948251921,0.996517506558945
कर्ज़दार होना,0.9928999751344084,0.9903763597255227,0.9935194773879031,0.9935194773879031,0.99514818540416,0.9903763597255227,0.9935194773879031,0.9957371089288041,0.9929744454505827,0.9952494426643445,0.9917888190477318,0.9939924045359991,0.9928207685349405,0.9939288824199454,0.9938059811101165,0.9927071807591891,0.9928207685349407,0.9939288824199461,0.9946994200111173,0.9983268454269472,0.9990223743702041,0.9999999999999989,0.9924371976705119,0.9905472195908002,0.9941893789783085,0.9879497070734468,0.995382566490921,0.9866040560231052,0.9960523207863119,0.9954114166265106
खेदपूर्ण,0.9951262266269996,0.9923697797295572,0.9962765471598664,0.9962765471598664,0.9952672248336252,0.9923697797295572,0.9962765471598664,0.9925277023685086,0.9949781522894221,0.9937269863443615,0.99234816473655,0.9936541052086902,0.9938385197428895,0.994878576211557,0.9962950469982726,0.9955073405791098,0.9938385197428893,0.9948785762115567,0.9947111964254953,0.9928059114832284,0.9941028292594369,0.9924371976705119,0.9999999999999993,0.9914977337333063,0.9944439864823507,0.9965141433879025,0.9945341412652142,0.9863204501517002,0.9941820030305026,0.9926016472640303
माफ़ियाँ,0.9923058062312093,0.9912352672971281,0.9918271903392732,0.9918271903392732,0.9914596152531135,0.9912352672971281,0.9918271903392732,0.9903837350600327,0.9912433277161532,0.9935107706218465,0.989734447307373,0.9937963786626219,0.9878405840065887,0.9898127633960234,0.9932642696644329,0.9932912933685067,0.9878405840065885,0.989812763396023,0.9906355403919871,0.9910309343344273,0.9911594753541422,0.9905472195908002,0.9914977337333063,0.9999999999999998,0.9948902930585051,0.9872239715038786,0.9906566723744078,0.9860670326663843,0.9929916627590909,0.9930191142811249
माफ़ी,0.9960399714574021,0.9930534757146977,0.9958014308039572,0.9958014308039572,0.9948997871979184,0.9930534757146977,0.9958014308039572,0.9934347061386605,0.9950454042244891,0.9963498675803353,0.993385199243435,0.9962202151330122,0.9932393156726351,0.9944151825479157,0.9966529715227864,0.9955547980481325,0.9932393156726351,0.9944151825479157,0.993001005917401,0.993813802662052,0.9954192955374676,0.9941893789783085,0.9944439864823507,0.9948902930585051,0.9999999999999996,0.9908733855982277,0.9952625608295909,0.9886692439934044,0.9961111868559234,0.9967289659457952
खेद,0.9921237745343808,0.9896218955701049,0.9936611589604744,0.9936611589604744,0.9917684857006173,0.9896218955701049,0.9936611589604744,0.9884303471311449,0.991742837111068,0.990209463270521,0.9891118152020553,0.9902981071430278,0.9903602937839718,0.9917259399444301,0.9933409119059252,0.9925697645578769,0.9903602937839718,0.9917259399444301,0.989961624428844,0.9882629412814851,0.9903982582243824,0.9879497070734468,0.9965141433879025,0.9872239715038786,0.9908733855982277,0.9999999999999993,0.9908249262187969,0.9826722678159737,0.9903481240106681,0.9882895154048665
क्षमा करें,0.9946719824800726,0.9920088299878821,0.9967058873508753,0.9967058873508753,0.9955830600669904,0.9920088299878821,0.9967058873508753,0.9948228761785255,0.9953522650846744,0.9948499572429284,0.9924108800799537,0.994400407801881,0.994520545558604,0.9947125059674139,0.9951217425044935,0.994882031012564,0.994520545558604,0.9947125059674139,0.994983050534545,0.9953181426870337,0.9969937563055794,0.995382566490921,0.9945341412652142,0.9906566723744078,0.9952625608295909,0.9908249262187969,0.9999999999999998,0.9909765391155501,0.9965068841252229,0.9955123150862204
मुझे माफ़ करें,0.9864089154467484,0.9845146814380689,0.9883438177787597,0.9883438177787597,0.9861939387822947,0.9845146814380689,0.9883438177787597,0.985975930912154,0.9866063828570418,0.986215936942304,0.9832000176498111,0.9857196297065203,0.9855912016742998,0.9850477121372012,0.9859262371255627,0.9881257759797887,0.9855912016742998,0.9850477121372012,0.9856150752266253,0.9860773936008779,0.9882788818848797,0.9866040560231052,0.9863204501517002,0.9860670326663843,0.9886692439934044,0.9826722678159737,0.9909765391155501,0.9999999999999996,0.988802050463175,0.9885396350083048
माफ़ करना,0.9943948793666056,0.9924934515676658,0.9951880920865943,0.9951880920865943,0.994883282210023,0.9924934515676658,0.9951880920865943,0.9978204109536619,0.9953826061362417,0.995513666235031,0.9914546600303642,0.9949114539361099,0.9943981286798489,0.9934667764059616,0.9951655562377785,0.9950206056511754,0.9943981286798489,0.9934667764059616,0.9945821628251916,0.9957098495175929,0.9966326948251921,0.9960523207863119,0.9941820030305026,0.9929916627590909,0.9961111868559234,0.9903481240106681,0.9965068841252229,0.988802050463175,0.9999999999999993,0.9955042327693241
माफ़ी मांगना,0.9948458987445281,0.9916167650809081,0.994637638575683,0.994637638575683,0.9949523642435745,0.9916167650809081,0.994637638575683,0.9935586863169451,0.9933452947747359,0.9964578418976663,0.9942318816297147,0.9963445196057569,0.9917343475716189,0.9938386397687012,0.9953387033589286,0.9939783755455086,0.9917343475716189,0.9938386397687012,0.993161188653663,0.9951308020653661,0.996517506558945,0.9954114166265106,0.9926016472640303,0.9930191142811249,0.9967289659457952,0.9882895154048665,0.9955123150862204,0.9885396350083048,0.9955042327693241,1.0000000000000004
