,баһалау,баһалау,рәхмәтле,рәхмәтлелек,рәхмәтлелек,рәхмәт,рәхмәтле,рәхмәтлелек,бурысло,бурыслылыҡ,бурыс,йөкләмә,мәжбүр,йөкләмә,бурысло булыу,бурыста булыу,үкенесле,үкенес,ғәфү үтенеүҙәр,ғәфү үтенеү,ғәфү үтенеү,ғәфү итегеҙ,мине ғәфү итегеҙ,ғәфү ит
бурыс,0.9782873678399489,0.9782873678399489,0.9780216596084886,0.983033094631986,0.983033094631986,0.9724717472326261,0.9780216596084886,0.983033094631986,0.9849600501547514,0.9824836832249442,0.9999999999999993,0.9810755540219681,0.9757896220194792,0.9810755540219681,0.983015919026386,0.9826224516159817,0.9779877452650274,0.9743873177977886,0.9795082767328925,0.9786582131225731,0.9786582131225731,0.9759158217379431,0.9735533401763359,0.9734611180879466
йөкләмә,0.9932699686743264,0.9932699686743264,0.9957141939335461,0.9947248794691327,0.9947248794691327,0.9908234041510896,0.9957141939335461,0.9947248794691327,0.986609642024509,0.9931409114537456,0.9810755540219681,0.9999999999999997,0.9914541553544887,0.9999999999999997,0.9921707064318805,0.9942346879995809,0.9944029383458598,0.9909677663681177,0.9947891743309148,0.9961094580279521,0.9961094580279521,0.9938036856922452,0.9920733142202509,0.9918714165535053
мәжбүр,0.9929369669861363,0.9929369669861363,0.993733936423147,0.9904843537883047,0.9904843537883047,0.9923707333516084,0.993733936423147,0.9904843537883047,0.9816200707418838,0.9883480544731618,0.9757896220194792,0.9914541553544887,0.9999999999999998,0.9914541553544887,0.9873992729011841,0.9898382883358566,0.9914309497627007,0.9889286217956674,0.9891198336725033,0.9916238629186652,0.9916238629186652,0.9909204368164238,0.9892396245357861,0.9910721565885448
йөкләмә,0.9932699686743264,0.9932699686743264,0.9957141939335461,0.9947248794691327,0.9947248794691327,0.9908234041510896,0.9957141939335461,0.9947248794691327,0.986609642024509,0.9931409114537456,0.9810755540219681,0.9999999999999997,0.9914541553544887,0.9999999999999997,0.9921707064318805,0.9942346879995809,0.9944029383458598,0.9909677663681177,0.9947891743309148,0.9961094580279521,0.9961094580279521,0.9938036856922452,0.9920733142202509,0.9918714165535053
бурысло булыу,0.9906873713090036,0.9906873713090036,0.991437451034229,0.9937671261857745,0.9937671261857745,0.9840754870600389,0.991437451034229,0.9937671261857745,0.989956845934978,0.9938267030432733,0.983015919026386,0.9921707064318805,0.9873992729011841,0.9921707064318805,0.9999999999999994,0.9986761400417767,0.9911679701854942,0.9874528603751537,0.9924074387992191,0.9925386113526677,0.9925386113526677,0.9885068451070862,0.9870899887785879,0.9862322134422266
бурыста булыу,0.9920722592235406,0.9920722592235406,0.993839210561361,0.9945662340181466,0.9945662340181466,0.9868569473058643,0.993839210561361,0.9945662340181466,0.9893828209475385,0.9946712644817347,0.9826224516159817,0.9942346879995809,0.9898382883358566,0.9942346879995809,0.9986761400417767,0.9999999999999998,0.9938316975315699,0.9908309465600498,0.9929648376893978,0.9940505570683001,0.9940505570683001,0.9914397568355416,0.990263324012736,0.9880747744157932
үкенесле,0.9930150971096358,0.9930150971096358,0.9965775648184161,0.9927547636906673,0.9927547636906673,0.989368778736142,0.9965775648184161,0.9927547636906673,0.9858352471011393,0.9909909381079216,0.9779877452650274,0.9944029383458598,0.9914309497627007,0.9944029383458598,0.9911679701854942,0.9938316975315699,0.9999999999999999,0.9963017443503563,0.9918514349849648,0.9937821101496256,0.9937821101496256,0.9942348526606278,0.9928714820169184,0.9901697462952007
үкенес,0.990051112059895,0.990051112059895,0.9917693133939236,0.9888009917130502,0.9888009917130502,0.987080559029376,0.9917693133939236,0.9888009917130502,0.9816504556233431,0.9888333663513091,0.9743873177977886,0.9909677663681177,0.9889286217956674,0.9909677663681177,0.9874528603751537,0.9908309465600498,0.9963017443503563,0.9999999999999991,0.9876419716949043,0.9913283390677193,0.9913283390677193,0.993995905358998,0.9932836896418947,0.9881607874885392
ғәфү үтенеүҙәр,0.9913844315641389,0.9913844315641389,0.9933091181998972,0.9958065228478715,0.9958065228478715,0.9874136387772917,0.9933091181998972,0.9958065228478715,0.983875375977322,0.9939118992493053,0.9795082767328925,0.9947891743309148,0.9891198336725033,0.9947891743309148,0.9924074387992191,0.9929648376893978,0.9918514349849648,0.9876419716949043,0.9999999999999996,0.9976635311510744,0.9976635311510744,0.992318536752619,0.990487573371665,0.9910244271714288
ғәфү үтенеү,0.9927991151520377,0.9927991151520377,0.9943359002347024,0.9952849356251959,0.9952849356251959,0.989422166541999,0.9943359002347024,0.9952849356251959,0.9839273737981897,0.9948349555318924,0.9786582131225731,0.9961094580279521,0.9916238629186652,0.9961094580279521,0.9925386113526677,0.9940505570683001,0.9937821101496256,0.9913283390677193,0.9976635311510744,0.9999999999999996,0.9999999999999996,0.9949456226625343,0.9931788595288895,0.9933210299927133
ғәфү үтенеү,0.9927991151520377,0.9927991151520377,0.9943359002347024,0.9952849356251959,0.9952849356251959,0.989422166541999,0.9943359002347024,0.9952849356251959,0.9839273737981897,0.9948349555318924,0.9786582131225731,0.9961094580279521,0.9916238629186652,0.9961094580279521,0.9925386113526677,0.9940505570683001,0.9937821101496256,0.9913283390677193,0.9976635311510744,0.9999999999999996,0.9999999999999996,0.9949456226625343,0.9931788595288895,0.9933210299927133
ғәфү итегеҙ,0.991040372610598,0.991040372610598,0.9940387039357471,0.9918825077160026,0.9918825077160026,0.9897922407070046,0.9940387039357471,0.9918825077160026,0.9820079018952731,0.9912681942363263,0.9759158217379431,0.9938036856922452,0.9909204368164238,0.9938036856922452,0.9885068451070862,0.9914397568355416,0.9942348526606278,0.993995905358998,0.992318536752619,0.9949456226625343,0.9949456226625343,1.0000000000000002,0.9984568656469182,0.9924957954484572
мине ғәфү итегеҙ,0.9885879366808712,0.9885879366808712,0.9924393814512412,0.9900178918746237,0.9900178918746237,0.9880380199440277,0.9924393814512412,0.9900178918746237,0.9795113959833543,0.9905266729536006,0.9735533401763359,0.9920733142202509,0.9892396245357861,0.9920733142202509,0.9870899887785879,0.990263324012736,0.9928714820169184,0.9932836896418947,0.990487573371665,0.9931788595288895,0.9931788595288895,0.9984568656469182,1.0,0.9899099739716414
ғәфү ит,0.9939851914606743,0.9939851914606743,0.9910500919799712,0.9891926032420356,0.9891926032420356,0.9912582954121274,0.9910500919799712,0.9891926032420356,0.9796392269891455,0.9886180388759455,0.9734611180879466,0.9918714165535053,0.9910721565885448,0.9918714165535053,0.9862322134422266,0.9880747744157932,0.9901697462952007,0.9881607874885392,0.9910244271714288,0.9933210299927133,0.9933210299927133,0.9924957954484572,0.9899099739716414,0.9999999999999996
