,ценить,признательность,благодарный,благодарность,благодарность,спасибо,благодарный,благодарность,indebità,indebitada,indebitaziun,obligaziun,obligà,obligada,obligaziun,dovair,debì,debìnd,disculpant,disculpas,disculpar,disculpa,disculpa,tristezza,perduna,perduna mai
indebitaziun,0.9891209146175295,0.9875552093528472,0.9875460576608555,0.9875199695602555,0.9875199695602555,0.989233762253953,0.9875460576608555,0.9875199695602555,0.9907857861072649,0.989718668696842,0.9999999999999999,0.9970085296003072,0.9847835771342411,0.9899036780591387,0.9970085296003072,0.9931450205582959,0.9920115862645988,0.9933649454855141,0.9924983019071003,0.9925819879712211,0.9902317930995619,0.9901697244439753,0.9901697244439753,0.9899318606235478,0.9893261516373265,0.9896022212914245
obligaziun,0.9899473998742572,0.9886917987797839,0.9886883210040606,0.9890622452509751,0.9890622452509751,0.9894429771823793,0.9886883210040606,0.9890622452509751,0.9905510951849806,0.9884805966225663,0.9970085296003072,1.0000000000000002,0.9872188067038812,0.9923535042038223,1.0000000000000002,0.9919834591924235,0.9921701848823746,0.9920355771770036,0.9930148482210915,0.9929896342844328,0.9909131491785446,0.9908315416647826,0.9908315416647826,0.9906385261783032,0.9899628181792484,0.9905090616364319
obligà,0.9889763796583487,0.9859940883628635,0.9893265510305582,0.9879886265701849,0.9879886265701849,0.9866815786380231,0.9893265510305582,0.9879886265701849,0.98877927077306,0.9843375934213449,0.9847835771342411,0.9872188067038812,0.9999999999999989,0.9939102342111574,0.9872188067038812,0.9830234815277008,0.9910375270901616,0.9887152096996242,0.9886145836562914,0.9851417613018285,0.9816362146526826,0.9823496091529391,0.9823496091529391,0.9866915137316694,0.9869477026337997,0.9878488111844792
obligada,0.9919699853664976,0.9894642280883892,0.9928182641107828,0.9919701661001759,0.9919701661001759,0.9905117781351823,0.9928182641107828,0.9919701661001759,0.9924543277821362,0.9907302998124895,0.9899036780591387,0.9923535042038223,0.9939102342111574,0.9999999999999993,0.9923535042038223,0.9890555797684308,0.9946972273895107,0.9930169157633344,0.9928359466129759,0.990085352521138,0.9871707653534142,0.9874494652683682,0.9874494652683682,0.9913748251048335,0.9912218045297084,0.9920260817544767
obligaziun,0.9899473998742572,0.9886917987797839,0.9886883210040606,0.9890622452509751,0.9890622452509751,0.9894429771823793,0.9886883210040606,0.9890622452509751,0.9905510951849806,0.9884805966225663,0.9970085296003072,1.0000000000000002,0.9872188067038812,0.9923535042038223,1.0000000000000002,0.9919834591924235,0.9921701848823746,0.9920355771770036,0.9930148482210915,0.9929896342844328,0.9909131491785446,0.9908315416647826,0.9908315416647826,0.9906385261783032,0.9899628181792484,0.9905090616364319
dovair,0.987674342223788,0.9851848783630129,0.9868498774378215,0.9869644791311363,0.9869644791311363,0.9889388884574227,0.9868498774378215,0.9869644791311363,0.9890606748652697,0.9886539446393723,0.9931450205582959,0.9919834591924235,0.9830234815277008,0.9890555797684308,0.9919834591924235,0.9999999999999999,0.9913253036488474,0.9926206815191434,0.9913417107068591,0.9910880885424724,0.9880971529968074,0.9875936181991103,0.9875936181991103,0.9886399073100438,0.9882406751674928,0.9883237464358068
debì,0.9946146179999278,0.9909950930826533,0.9943675631137172,0.9929925150223045,0.9929925150223045,0.9936613139923852,0.9943675631137172,0.9929925150223045,0.9939579094933441,0.9894314724251758,0.9920115862645988,0.9921701848823746,0.9910375270901616,0.9946972273895107,0.9921701848823746,0.9913253036488474,0.9999999999999996,0.9972482713299733,0.9952595064113693,0.9927242768299824,0.9890271781336699,0.989232184895094,0.989232184895094,0.99422016442093,0.9926039084442924,0.9933945230428864
debìnd,0.9927672960319602,0.9899798106357824,0.9918277596230899,0.9913467139798452,0.9913467139798452,0.9930486714818674,0.9918277596230899,0.9913467139798452,0.9950157033619512,0.9914746373961033,0.9933649454855141,0.9920355771770036,0.9887152096996242,0.9930169157633344,0.9920355771770036,0.9926206815191434,0.9972482713299733,0.9999999999999996,0.9955604773474036,0.9940760363209805,0.9914429243807873,0.9910942878158046,0.9910942878158046,0.9937798149751597,0.991600714420448,0.9916170333413014
disculpant,0.9924231322000663,0.9903496960475406,0.9922981257710741,0.9920831833214786,0.9920831833214786,0.9924131032359768,0.9922981257710741,0.9920831833214786,0.9935719030970105,0.9903293918191804,0.9924983019071003,0.9930148482210915,0.9886145836562914,0.9928359466129759,0.9930148482210915,0.9913417107068591,0.9952595064113693,0.9955604773474036,0.9999999999999999,0.9975748703192402,0.9956177367223566,0.9959942973724599,0.9959942973724599,0.9927390267360456,0.9921110012123034,0.9926215127558968
disculpas,0.9894557894349238,0.988910879388532,0.9891890096953067,0.9900007487830796,0.9900007487830796,0.9909058459609945,0.9891890096953067,0.9900007487830796,0.9916859460802222,0.989610867685788,0.9925819879712211,0.9929896342844328,0.9851417613018285,0.990085352521138,0.9929896342844328,0.9910880885424724,0.9927242768299824,0.9940760363209805,0.9975748703192402,1.0,0.9966104667149804,0.9966858979811031,0.9966858979811031,0.991169851360878,0.9895885577183199,0.9898591947706444
disculpar,0.9860140135694179,0.9855462238220104,0.9858586406223396,0.9868388371154407,0.9868388371154407,0.9880914399810224,0.9858586406223396,0.9868388371154407,0.9895175971260587,0.9879057145758225,0.9902317930995619,0.9909131491785446,0.9816362146526826,0.9871707653534142,0.9909131491785446,0.9880971529968074,0.9890271781336699,0.9914429243807873,0.9956177367223566,0.9966104667149804,0.9999999999999996,0.9971836535577508,0.9971836535577508,0.9891994712355907,0.986686275042591,0.9869444021038898
disculpa,0.9868699207452479,0.9859202716800323,0.9859334881008085,0.9869249881919405,0.9869249881919405,0.9879793252253205,0.9859334881008085,0.9869249881919405,0.9888564455165758,0.9859635371615617,0.9901697244439753,0.9908315416647826,0.9823496091529391,0.9874494652683682,0.9908315416647826,0.9875936181991103,0.989232184895094,0.9910942878158046,0.9959942973724599,0.9966858979811031,0.9971836535577508,0.9999999999999996,0.9999999999999996,0.9887583538189544,0.9860503591922121,0.9871741538681851
disculpa,0.9868699207452479,0.9859202716800323,0.9859334881008085,0.9869249881919405,0.9869249881919405,0.9879793252253205,0.9859334881008085,0.9869249881919405,0.9888564455165758,0.9859635371615617,0.9901697244439753,0.9908315416647826,0.9823496091529391,0.9874494652683682,0.9908315416647826,0.9875936181991103,0.989232184895094,0.9910942878158046,0.9959942973724599,0.9966858979811031,0.9971836535577508,0.9999999999999996,0.9999999999999996,0.9887583538189544,0.9860503591922121,0.9871741538681851
tristezza,0.9938657120928159,0.9915255766470149,0.9917677373484021,0.9915489612258653,0.9915489612258653,0.9937947451523962,0.9917677373484021,0.9915489612258653,0.9939650931271923,0.9878621486293084,0.9899318606235478,0.9906385261783032,0.9866915137316694,0.9913748251048335,0.9906385261783032,0.9886399073100438,0.99422016442093,0.9937798149751597,0.9927390267360456,0.991169851360878,0.9891994712355907,0.9887583538189544,0.9887583538189544,0.9999999999999987,0.9898262471617527,0.9920478434840424
perduna,0.989551667790158,0.987254726308381,0.9926400050727339,0.9898410442845309,0.9898410442845309,0.9877863506541558,0.9926400050727339,0.9898410442845309,0.9929662379622018,0.9899850252162674,0.9893261516373265,0.9899628181792484,0.9869477026337997,0.9912218045297084,0.9899628181792484,0.9882406751674928,0.9926039084442924,0.991600714420448,0.9921110012123034,0.9895885577183199,0.986686275042591,0.9860503591922121,0.9860503591922121,0.9898262471617527,0.9999999999999993,0.9942022546528859
perduna mai,0.9924149609492349,0.9886746606423348,0.9926364767258196,0.9911111844836548,0.9911111844836548,0.9905844236711164,0.9926364767258196,0.9911111844836548,0.9913826632807528,0.9871681618868783,0.9896022212914245,0.9905090616364319,0.9878488111844792,0.9920260817544767,0.9905090616364319,0.9883237464358068,0.9933945230428864,0.9916170333413014,0.9926215127558968,0.9898591947706444,0.9869444021038898,0.9871741538681851,0.9871741538681851,0.9920478434840424,0.9942022546528859,0.9999999999999996
