,gwerthfawrogi,gwerthfawrogiad,diolchgar,diolchgarwch,diolchgarwch,diolch,diolchgar,diolchgarwch,dyled,rhaid,rhwymedigaeth,rhaid,rhwymedig,rhwymedigaeth,dyledus,mewn dyled,bod yn ddyledus,sy’n ddyledus,ymddiheurol,ymddiheuriadau,ymddiheuro,ymddiheuriad,tristwch,sori,esgusodwch fi,maddau i mi
rhwymedigaeth,0.9938999403071652,0.9936144065509696,0.9905399112807978,0.9918539983057864,0.9918539983057864,0.9919792677581969,0.9905399112807978,0.9918539983057864,0.9925695313987146,0.9891764410513176,0.9999999999999993,0.9891764410513176,0.9931803269289194,0.9999999999999993,0.9929741707725619,0.9906982127500567,0.9912100316212598,0.9918468377527061,0.9939094349820377,0.9915727763626169,0.9923279966111739,0.992596758653709,0.991810952469032,0.9906217343498875,0.989889230219569,0.9854429827974874
rhaid,0.9913154164510203,0.9891725373228709,0.9939476986492201,0.9927725574784578,0.9927725574784578,0.9949146711183274,0.9939476986492201,0.9927725574784578,0.9949832319058207,0.9999999999999997,0.9891764410513176,0.9999999999999997,0.9933228656279834,0.9891764410513176,0.9946956566049555,0.9939661135812403,0.9913511004078694,0.9933966171257561,0.992078169967314,0.9896477921554884,0.9921480171821577,0.9928119716704371,0.9940923054507713,0.9952950536530992,0.9909977222803427,0.9863359372910858
rhwymedig,0.9924018238840377,0.9915159966967588,0.9952819252793759,0.9946728691792589,0.9946728691792589,0.9958471638367814,0.9952819252793759,0.9946728691792589,0.9963951738592124,0.9933228656279834,0.9931803269289194,0.9933228656279834,0.9999999999999996,0.9931803269289194,0.9963255188313503,0.9933707051704624,0.9911952235100487,0.9934512262070028,0.9934082470861211,0.9904386135329311,0.9935927804219343,0.9937263429028298,0.9963147193841506,0.9950270146908956,0.9916534357785882,0.9882304243507214
rhwymedigaeth,0.9938999403071652,0.9936144065509696,0.9905399112807978,0.9918539983057864,0.9918539983057864,0.9919792677581969,0.9905399112807978,0.9918539983057864,0.9925695313987146,0.9891764410513176,0.9999999999999993,0.9891764410513176,0.9931803269289194,0.9999999999999993,0.9929741707725619,0.9906982127500567,0.9912100316212598,0.9918468377527061,0.9939094349820377,0.9915727763626169,0.9923279966111739,0.992596758653709,0.991810952469032,0.9906217343498875,0.989889230219569,0.9854429827974874
dyledus,0.9935415442324792,0.9920405609536768,0.9958827981250311,0.99411882495097,0.99411882495097,0.9969705896190729,0.9958827981250311,0.99411882495097,0.9974580750709798,0.9946956566049555,0.9929741707725619,0.9946956566049555,0.9963255188313503,0.9929741707725619,0.9999999999999996,0.9938507918295122,0.9927880600418472,0.9948005368896792,0.994733333814852,0.9918955382171318,0.9946586104100922,0.9943923274567998,0.9961068477852971,0.9963591013743938,0.9921756930095054,0.988628107943961
mewn dyled,0.9932735781673852,0.9919633405756939,0.9918110452642588,0.9931978029455709,0.9931978029455709,0.9928676821399144,0.9918110452642588,0.9931978029455709,0.994113997559956,0.9939661135812403,0.9906982127500567,0.9939661135812403,0.9933707051704624,0.9906982127500567,0.9938507918295122,0.9999999999999997,0.9917383326816919,0.9938026087547086,0.9932711188015249,0.9920946169918277,0.9936735773914657,0.9948299166300804,0.992350740329401,0.9919212577965574,0.9924733778152228,0.9865694848959199
bod yn ddyledus,0.9925750927010689,0.992339584287446,0.9901908433100332,0.9904969617486635,0.9904969617486635,0.9913903600698183,0.9901908433100332,0.9904969617486635,0.9924754200032414,0.9913511004078694,0.9912100316212598,0.9913511004078694,0.9911952235100487,0.9912100316212598,0.9927880600418472,0.9917383326816919,0.9999999999999994,0.9958707519906649,0.9932552778410008,0.9916922257851014,0.9922094988004625,0.9924799429431737,0.9916670986186616,0.99189053172007,0.9889633732921651,0.9846401570130439
sy’n ddyledus,0.9936895590540814,0.9918564057929008,0.9916413293982851,0.9924637671335356,0.9924637671335356,0.99281684112265,0.9916413293982851,0.9924637671335356,0.9940205030430449,0.9933966171257561,0.9918468377527061,0.9933966171257561,0.9934512262070028,0.9918468377527061,0.9948005368896792,0.9938026087547086,0.9958707519906649,0.9999999999999998,0.9941070570001456,0.9924935654095377,0.9938272282177175,0.9939742713674715,0.992458370789264,0.9931115102175354,0.9909665793665884,0.9865538761471053
ymddiheurol,0.9968034726062446,0.9955547368226598,0.9928854454613985,0.9940660038367711,0.9940660038367711,0.9946715560762671,0.9928854454613985,0.9940660038367711,0.9951375103791446,0.992078169967314,0.9939094349820377,0.992078169967314,0.9934082470861211,0.9939094349820377,0.994733333814852,0.9932711188015249,0.9932552778410008,0.9941070570001456,1.0,0.9956848036190984,0.9978531583728038,0.9964439224943592,0.9932414729952194,0.9925790386300635,0.992620298510021,0.9875643834614589
ymddiheuriadau,0.9943907809381711,0.9938440544243291,0.9896637817729661,0.992048171586242,0.992048171586242,0.9908133630975874,0.9896637817729661,0.992048171586242,0.9915360181630978,0.9896477921554884,0.9915727763626169,0.9896477921554884,0.9904386135329311,0.9915727763626169,0.9918955382171318,0.9920946169918277,0.9916922257851014,0.9924935654095377,0.9956848036190984,0.9999999999999996,0.9951466719027846,0.9966614874664631,0.9898715713559127,0.9885388394020164,0.9916339922125191,0.9876487966264936
ymddiheuro,0.9953602149121029,0.994717878620762,0.9926957372080011,0.9940082425216686,0.9940082425216686,0.9939528019030417,0.9926957372080011,0.9940082425216686,0.9952751428307389,0.9921480171821577,0.9923279966111739,0.9921480171821577,0.9935927804219343,0.9923279966111739,0.9946586104100922,0.9936735773914657,0.9922094988004625,0.9938272282177175,0.9978531583728038,0.9951466719027846,1.0,0.996433365796205,0.992699831996541,0.992104855626916,0.9929353024755999,0.9888538947961776
ymddiheuriad,0.9955700437626924,0.9942851362113003,0.9929713328300394,0.9946650189053502,0.9946650189053502,0.9936819283956331,0.9929713328300394,0.9946650189053502,0.9947564968974677,0.9928119716704371,0.992596758653709,0.9928119716704371,0.9937263429028298,0.992596758653709,0.9943923274567998,0.9948299166300804,0.9924799429431737,0.9939742713674715,0.9964439224943592,0.9966614874664631,0.996433365796205,0.9999999999999997,0.9929387813930268,0.9919585766325079,0.9936156016570813,0.9879725050995154
tristwch,0.9921206648816855,0.9907783050786475,0.9969054516032702,0.9931130052594438,0.9931130052594438,0.997652863801264,0.9969054516032702,0.9931130052594438,0.9957588957650321,0.9940923054507713,0.991810952469032,0.9940923054507713,0.9963147193841506,0.991810952469032,0.9961068477852971,0.992350740329401,0.9916670986186616,0.992458370789264,0.9932414729952194,0.9898715713559127,0.992699831996541,0.9929387813930268,0.9999999999999993,0.9967976422259481,0.989806030923184,0.9869126289744975
sori,0.9912534856869665,0.9887712515689955,0.9962206365651104,0.9922295209002611,0.9922295209002611,0.9966882190088645,0.9962206365651104,0.9922295209002611,0.9959331737062102,0.9952950536530992,0.9906217343498875,0.9952950536530992,0.9950270146908956,0.9906217343498875,0.9963591013743938,0.9919212577965574,0.99189053172007,0.9931115102175354,0.9925790386300635,0.9885388394020164,0.992104855626916,0.9919585766325079,0.9967976422259481,0.9999999999999998,0.9893480186090382,0.986426387273771
esgusodwch fi,0.9935399212701429,0.9914217117547035,0.9913871032345734,0.9936367411321179,0.9936367411321179,0.9911154878756634,0.9913871032345734,0.9936367411321179,0.9917914704516738,0.9909977222803427,0.989889230219569,0.9909977222803427,0.9916534357785882,0.989889230219569,0.9921756930095054,0.9924733778152228,0.9889633732921651,0.9909665793665884,0.992620298510021,0.9916339922125191,0.9929353024755999,0.9936156016570813,0.989806030923184,0.9893480186090382,0.9999999999999997,0.986775425997246
maddau i mi,0.985896780959213,0.9852619055202274,0.9879619078295243,0.9901666340551841,0.9901666340551841,0.9873299433295621,0.9879619078295243,0.9901666340551841,0.9895184249219177,0.9863359372910858,0.9854429827974874,0.9863359372910858,0.9882304243507214,0.9854429827974874,0.988628107943961,0.9865694848959199,0.9846401570130439,0.9865538761471053,0.9875643834614589,0.9876487966264936,0.9888538947961776,0.9879725050995154,0.9869126289744975,0.986426387273771,0.986775425997246,0.9999999999999994
