,meeara,meeara,guraagh,gurrymaghys,gurrymaghys,guraagh,gurrymaghys,gura mie ayd,kiedylit,kiedyllys,arreydys,beaynys,arreydys,beau,kiedylit,beau ayn,currit fo arreydys,er oardrail,gorrymeeagh,gorrymyn,gorrym,gabbym,gabbym,trosht,gialdyn gorrym,s'treih lhiam
arreydys,0.9960876571082404,0.9960876571082404,0.99477203516017,0.9955762417714009,0.9955762417714009,0.99477203516017,0.9955762417714009,0.9930202838194715,0.9942664968349777,0.9940420945131995,0.9999999999999994,0.9933045397008501,0.9999999999999994,0.9945498853336491,0.9942664968349777,0.9954288419196079,0.9867817330340608,0.9912064885347439,0.9910442192645573,0.9948191387157758,0.9936080478387422,0.9957327981125869,0.9957327981125869,0.9950865875697635,0.9935636477475508,0.9921111537993744
beaynys,0.9921216775486563,0.9921216775486563,0.992138815136934,0.9970663926041751,0.9970663926041751,0.992138815136934,0.9970663926041751,0.9892130509117241,0.99422708387509,0.9955902720318226,0.9933045397008501,0.999999999999999,0.9933045397008501,0.9890902153079868,0.99422708387509,0.9898767339580238,0.9811015680477153,0.9882233360651665,0.9885545345596365,0.993783896171615,0.9898739535560303,0.9905230198729272,0.9905230198729272,0.9934419995137265,0.9920582477842989,0.9889410988225122
arreydys,0.9960876571082404,0.9960876571082404,0.99477203516017,0.9955762417714009,0.9955762417714009,0.99477203516017,0.9955762417714009,0.9930202838194715,0.9942664968349777,0.9940420945131995,0.9999999999999994,0.9933045397008501,0.9999999999999994,0.9945498853336491,0.9942664968349777,0.9954288419196079,0.9867817330340608,0.9912064885347439,0.9910442192645573,0.9948191387157758,0.9936080478387422,0.9957327981125869,0.9957327981125869,0.9950865875697635,0.9935636477475508,0.9921111537993744
beau,0.9939648155698708,0.9939648155698708,0.9909052416953177,0.9911133449731138,0.9911133449731138,0.9909052416953177,0.9911133449731138,0.9923391995685434,0.9902480241639652,0.9896086882578305,0.9945498853336491,0.9890902153079868,0.9945498853336491,0.9999999999999996,0.9902480241639652,0.9959482866365867,0.9807434097340545,0.9860874430350062,0.9848804488928811,0.9914063836050049,0.9940017258714537,0.9950965052700601,0.9950965052700601,0.9922898253805812,0.990421386555396,0.9907424503187808
kiedylit,0.9939644467661026,0.9939644467661026,0.9930612456977509,0.9939732740135937,0.9939732740135937,0.9930612456977509,0.9939732740135937,0.9906503348675253,0.9999999999999996,0.9947565022240904,0.9942664968349777,0.99422708387509,0.9942664968349777,0.9902480241639652,0.9999999999999996,0.9918538936520502,0.9820804262051295,0.989409981202282,0.9883289686688708,0.9939250498630536,0.9912347798461719,0.9920605304901481,0.9920605304901481,0.9951169168806687,0.9921815126636859,0.9903179324817654
beau ayn,0.9944469901675803,0.9944469901675803,0.9927005780939686,0.9921604446462496,0.9921604446462496,0.9927005780939686,0.9921604446462496,0.9937916032515096,0.9918538936520502,0.9911549405108164,0.9954288419196079,0.9898767339580238,0.9954288419196079,0.9959482866365867,0.9918538936520502,0.9999999999999998,0.9825842866050964,0.987708245225522,0.9871612073139174,0.9922632978301142,0.9926188220669359,0.9940530969299279,0.9940530969299279,0.9931995428081123,0.9916078515180926,0.9910671237586804
currit fo arreydys,0.9828904679221321,0.9828904679221321,0.9851750926669812,0.9853457668926792,0.9853457668926792,0.9851750926669812,0.9853457668926792,0.9838326149000672,0.9820804262051295,0.981372090781897,0.9867817330340608,0.9811015680477153,0.9867817330340608,0.9807434097340545,0.9820804262051295,0.9825842866050964,0.9999999999999993,0.983529532357573,0.9902362155060188,0.9806134801683991,0.979078766725139,0.9812659022768677,0.9812659022768677,0.9835718651997365,0.982378330694615,0.9846699397013708
er oardrail,0.9898213303018848,0.9898213303018848,0.990016619735396,0.990386584821765,0.990386584821765,0.990016619735396,0.990386584821765,0.9871068604681124,0.989409981202282,0.9892258895026715,0.9912064885347439,0.9882233360651665,0.9912064885347439,0.9860874430350062,0.989409981202282,0.987708245225522,0.983529532357573,1.0000000000000002,0.9892624692964394,0.9890756985443203,0.9867999883963507,0.9875272843112589,0.9875272843112589,0.9902193735496619,0.9889708072320802,0.9900649413064877
gorrymeeagh,0.9894985247751318,0.9894985247751318,0.9940829273173305,0.9922754127103989,0.9922754127103989,0.9940829273173305,0.9922754127103989,0.9871383335165436,0.9883289686688708,0.9894070024008208,0.9910442192645573,0.9885545345596365,0.9910442192645573,0.9848804488928811,0.9883289686688708,0.9871612073139174,0.9902362155060188,0.9892624692964394,0.9999999999999996,0.9887111353600639,0.9849251429464096,0.9868406867964603,0.9868406867964603,0.9895248589561654,0.9882024050399564,0.9893361418082806
gorrymyn,0.9945881336592851,0.9945881336592851,0.993726645843894,0.9944928049528301,0.9944928049528301,0.993726645843894,0.9944928049528301,0.9907666635892636,0.9939250498630536,0.9954182288190028,0.9948191387157758,0.993783896171615,0.9948191387157758,0.9914063836050049,0.9939250498630536,0.9922632978301142,0.9806134801683991,0.9890756985443203,0.9887111353600639,0.9999999999999996,0.9956982398690735,0.9940553035700018,0.9940553035700018,0.994676856925887,0.9938389023943721,0.990059001921838
gorrym,0.9945427270766691,0.9945427270766691,0.9912701179173181,0.9910086879828686,0.9910086879828686,0.9912701179173181,0.9910086879828686,0.9923957280660543,0.9912347798461719,0.9917545963165206,0.9936080478387422,0.9898739535560303,0.9936080478387422,0.9940017258714537,0.9912347798461719,0.9926188220669359,0.979078766725139,0.9867999883963507,0.9849251429464096,0.9956982398690735,0.9999999999999999,0.9960009025582334,0.9960009025582334,0.9929664784400183,0.992182832881729,0.9907004956662514
gabbym,0.9959214639531699,0.9959214639531699,0.9929431139624536,0.9916022643885324,0.9916022643885324,0.9929431139624536,0.9916022643885324,0.9915721776539291,0.9920605304901481,0.991779247211008,0.9957327981125869,0.9905230198729272,0.9957327981125869,0.9950965052700601,0.9920605304901481,0.9940530969299279,0.9812659022768677,0.9875272843112589,0.9868406867964603,0.9940553035700018,0.9960009025582334,0.9999999999999999,0.9999999999999999,0.9936950860898359,0.9914878000544691,0.991361064206944
gabbym,0.9959214639531699,0.9959214639531699,0.9929431139624536,0.9916022643885324,0.9916022643885324,0.9929431139624536,0.9916022643885324,0.9915721776539291,0.9920605304901481,0.991779247211008,0.9957327981125869,0.9905230198729272,0.9957327981125869,0.9950965052700601,0.9920605304901481,0.9940530969299279,0.9812659022768677,0.9875272843112589,0.9868406867964603,0.9940553035700018,0.9960009025582334,0.9999999999999999,0.9999999999999999,0.9936950860898359,0.9914878000544691,0.991361064206944
trosht,0.9950862460064861,0.9950862460064861,0.9944015881620496,0.9939781263621604,0.9939781263621604,0.9944015881620496,0.9939781263621604,0.9921472346147866,0.9951169168806687,0.9937242429103005,0.9950865875697635,0.9934419995137265,0.9950865875697635,0.9922898253805812,0.9951169168806687,0.9931995428081123,0.9835718651997365,0.9902193735496619,0.9895248589561654,0.994676856925887,0.9929664784400183,0.9936950860898359,0.9936950860898359,0.9999999999999997,0.9923656096040873,0.9919166066731264
gialdyn gorrym,0.9925315548423924,0.9925315548423924,0.991768760748114,0.9931456055077761,0.9931456055077761,0.991768760748114,0.9931456055077761,0.9910516196658526,0.9921815126636859,0.9925064839801677,0.9935636477475508,0.9920582477842989,0.9935636477475508,0.990421386555396,0.9921815126636859,0.9916078515180926,0.982378330694615,0.9889708072320802,0.9882024050399564,0.9938389023943721,0.992182832881729,0.9914878000544691,0.9914878000544691,0.9923656096040873,0.9999999999999996,0.9906943504894998
s'treih lhiam,0.9934158201960658,0.9934158201960658,0.9932113376928199,0.9905721284684197,0.9905721284684197,0.9932113376928199,0.9905721284684197,0.9937370040610629,0.9903179324817654,0.989539581234354,0.9921111537993744,0.9889410988225122,0.9921111537993744,0.9907424503187808,0.9903179324817654,0.9910671237586804,0.9846699397013708,0.9900649413064877,0.9893361418082806,0.990059001921838,0.9907004956662514,0.991361064206944,0.991361064206944,0.9919166066731264,0.9906943504894998,0.9999999999999998
