,apreciar,apreciaçon,gratidon,gratidon,gracías,gratidon,agradecido / agradecida,agradecido / agradecida,endividuada,endividuado,endividuora,obligación,obligada,obligado,obligación,deber,debendo,endividuado,desculpadeira,desculpadeiru,desculpas,desculpa,sentidura,desculpa,desculpa-me,desculpar-se,perdua-me
endividuora,0.9860196756687292,0.994236074990392,0.9941844956039814,0.9941844956039814,0.980982676911782,0.9941844956039814,0.990693090553536,0.990693090553536,0.9935476935905394,0.9943348595114611,0.9999999999999994,0.9883191665135129,0.9928889083474884,0.9866056248404702,0.9883191665135129,0.9940527152235267,0.9949272463905862,0.9943348595114603,0.9944161102941168,0.9933119834512081,0.9917921016614255,0.9935816201352127,0.9966252632497038,0.9935816201352127,0.9911424753158233,0.9938224829669323,0.9908301976191938
obligación,0.9837219604736029,0.9901976198890492,0.989316183155738,0.989316183155738,0.9834095335346723,0.989316183155738,0.987353857991114,0.987353857991114,0.9886588503122106,0.9905600815500698,0.9883191665135129,1.0,0.9920358658977029,0.9872749638452194,1.0,0.9916174760093754,0.9920884602151402,0.9905600815500701,0.9888351201905161,0.9877503452894744,0.9869710049315986,0.9880591362727386,0.9871895683662671,0.9880591362727386,0.9862186987733194,0.9886783934037074,0.9860575165062414
obligada,0.9874624211933349,0.9941186644633239,0.9942642634986042,0.9942642634986042,0.9827152965010097,0.9942642634986042,0.9910243291859739,0.9910243291859739,0.9932282062265296,0.9924592960121895,0.9928889083474884,0.9920358658977029,0.9999999999999993,0.989828875222085,0.9920358658977029,0.9934350220332152,0.9945727732876374,0.9924592960121903,0.9916368845681748,0.9905384144223707,0.9909609383902384,0.9924257385633025,0.991254633196091,0.9924257385633025,0.9909745523278315,0.9922844643030776,0.9912647754406191
obligado,0.9823725376811666,0.9869158479050065,0.9884489593949267,0.9884489593949267,0.983326857549678,0.9884489593949267,0.9855731674710948,0.9855731674710948,0.9839914547682599,0.9863281058254006,0.9866056248404702,0.9872749638452194,0.989828875222085,1.0000000000000002,0.9872749638452194,0.9851149373729049,0.9891177957059634,0.986328105825401,0.9821904217874613,0.981699520590639,0.9851239316316767,0.9860955974742993,0.9843818899417461,0.9860955974742993,0.9836214760041109,0.9850857543525638,0.9855232591456479
obligación,0.9837219604736029,0.9901976198890492,0.989316183155738,0.989316183155738,0.9834095335346723,0.989316183155738,0.987353857991114,0.987353857991114,0.9886588503122106,0.9905600815500698,0.9883191665135129,1.0,0.9920358658977029,0.9872749638452194,1.0,0.9916174760093754,0.9920884602151402,0.9905600815500701,0.9888351201905161,0.9877503452894744,0.9869710049315986,0.9880591362727386,0.9871895683662671,0.9880591362727386,0.9862186987733194,0.9886783934037074,0.9860575165062414
deber,0.9862046802253007,0.9938062400351183,0.9938488512012804,0.9938488512012804,0.9829357785442681,0.9938488512012804,0.9906424577289293,0.9906424577289293,0.9919052377093242,0.9927814700438191,0.9940527152235267,0.9916174760093754,0.9934350220332152,0.9851149373729049,0.9916174760093754,0.9999999999999996,0.9965847157331156,0.9927814700438196,0.9937705077634509,0.9931647049560349,0.9913370404613867,0.9924757940577873,0.9929537130440103,0.9924757940577873,0.9913634177134463,0.9933916888407736,0.9913939145563467
debendo,0.986689285282311,0.9950989224848142,0.9955063051088123,0.9955063051088123,0.9844075093329553,0.9955063051088123,0.991932666681216,0.991932666681216,0.9930795551074926,0.9947663481796212,0.9949272463905862,0.9920884602151402,0.9945727732876374,0.9891177957059634,0.9920884602151402,0.9965847157331156,0.9999999999999996,0.9947663481796216,0.994201207059393,0.9933338841584378,0.9927433948266751,0.9940351030001147,0.9935007254838891,0.9940351030001147,0.9910629353481467,0.9939278141624877,0.9913119128796457
endividuado,0.9859915644977294,0.995508041631771,0.9930377103916795,0.9930377103916795,0.9826863811872899,0.9930377103916795,0.9908188696229354,0.9908188696229354,0.9963774158886176,0.999999999999999,0.9943348595114603,0.9905600815500701,0.9924592960121903,0.986328105825401,0.9905600815500701,0.9927814700438196,0.9947663481796216,0.9999999999999996,0.9952768891642834,0.9945366585990556,0.9923017767101411,0.9939307086277169,0.992485222878238,0.9939307086277169,0.9903906120880207,0.9931851698310825,0.9894970097368578
desculpadeira,0.9857870525835373,0.9948152162227478,0.9926957294389335,0.9926957294389335,0.9811269525871961,0.9926957294389335,0.9906310623054769,0.9906310623054769,0.9942363786822204,0.9952768891642844,0.9944161102941168,0.9888351201905161,0.9916368845681748,0.9821904217874613,0.9888351201905161,0.9937705077634509,0.994201207059393,0.9952768891642834,0.9999999999999996,0.9981847865303756,0.9943674062345789,0.99433810691789,0.9935849534017359,0.99433810691789,0.9924344289659357,0.9952282285086541,0.9907017020890875
desculpadeiru,0.9851725573885733,0.9941805788153097,0.9919431570500963,0.9919431570500963,0.9805451318353173,0.9919431570500963,0.98962587474514,0.98962587474514,0.9941644881284376,0.994536658599056,0.9933119834512081,0.9877503452894744,0.9905384144223707,0.981699520590639,0.9877503452894744,0.9931647049560349,0.9933338841584378,0.9945366585990556,0.9981847865303756,0.9999999999999994,0.9941544542237251,0.9938180011582449,0.9930244271942994,0.9938180011582449,0.9915766044590403,0.9944196130167704,0.990210468771024
desculpas,0.9866642294548695,0.9947764774953289,0.9939576181723786,0.9939576181723786,0.981509638335391,0.9939576181723786,0.9911164988288627,0.9911164988288627,0.991971872879911,0.9923017767101414,0.9917921016614255,0.9869710049315986,0.9909609383902384,0.9851239316316767,0.9869710049315986,0.9913370404613867,0.9927433948266751,0.9923017767101411,0.9943674062345789,0.9941544542237251,0.9999999999999993,0.9967479436484953,0.9903360905658783,0.9967479436484953,0.9934666318842631,0.9959765718330279,0.9918979847732752
desculpa,0.9878232109678858,0.9957577304137082,0.9943145568209795,0.9943145568209795,0.983371559623885,0.9943145568209795,0.992222465575451,0.992222465575451,0.9932763616515382,0.9939307086277163,0.9935816201352127,0.9880591362727386,0.9924257385633025,0.9860955974742993,0.9880591362727386,0.9924757940577873,0.9940351030001147,0.9939307086277169,0.99433810691789,0.9938180011582449,0.9967479436484953,0.9999999999999998,0.990983266034536,0.9999999999999998,0.9932667560085731,0.9960995771651885,0.991144099615832
sentidura,0.9837693341449972,0.9922747517974525,0.9924868938774994,0.9924868938774994,0.9786384418703008,0.9924868938774994,0.988163112537249,0.988163112537249,0.991955306025929,0.9924852228782376,0.9966252632497038,0.9871895683662671,0.991254633196091,0.9843818899417461,0.9871895683662671,0.9929537130440103,0.9935007254838891,0.992485222878238,0.9935849534017359,0.9930244271942994,0.9903360905658783,0.990983266034536,0.9999999999999993,0.990983266034536,0.9897303168243121,0.991798089343448,0.9900085361195743
desculpa,0.9878232109678858,0.9957577304137082,0.9943145568209795,0.9943145568209795,0.983371559623885,0.9943145568209795,0.992222465575451,0.992222465575451,0.9932763616515382,0.9939307086277163,0.9935816201352127,0.9880591362727386,0.9924257385633025,0.9860955974742993,0.9880591362727386,0.9924757940577873,0.9940351030001147,0.9939307086277169,0.99433810691789,0.9938180011582449,0.9967479436484953,0.9999999999999998,0.990983266034536,0.9999999999999998,0.9932667560085731,0.9960995771651885,0.991144099615832
desculpa-me,0.9863641391294707,0.9941343857598497,0.9928588755858586,0.9928588755858586,0.982995186938032,0.9928588755858586,0.9896860101997804,0.9896860101997804,0.9906334355676941,0.9903906120880207,0.9911424753158233,0.9862186987733194,0.9909745523278315,0.9836214760041109,0.9862186987733194,0.9913634177134463,0.9910629353481467,0.9903906120880207,0.9924344289659357,0.9915766044590403,0.9934666318842631,0.9932667560085731,0.9897303168243121,0.9932667560085731,0.9999999999999991,0.9942281369760171,0.9967866756489435
desculpar-se,0.9888526995375542,0.9957140206574623,0.9950183082450252,0.9950183082450252,0.9824922333126159,0.9950183082450252,0.9919326707251771,0.9919326707251771,0.9923382532521614,0.9931851698310825,0.9938224829669323,0.9886783934037074,0.9922844643030776,0.9850857543525638,0.9886783934037074,0.9933916888407736,0.9939278141624877,0.9931851698310825,0.9952282285086541,0.9944196130167704,0.9959765718330279,0.9960995771651885,0.991798089343448,0.9960995771651885,0.9942281369760171,0.9999999999999996,0.9924886336605552
perdua-me,0.9864436285273275,0.9930633876660326,0.9928972481063959,0.9928972481063959,0.9836200085417754,0.9928972481063959,0.9891977488513598,0.9891977488513598,0.9897957130791017,0.9894970097368578,0.9908301976191938,0.9860575165062414,0.9912647754406191,0.9855232591456479,0.9860575165062414,0.9913939145563467,0.9913119128796457,0.9894970097368578,0.9907017020890875,0.990210468771024,0.9918979847732752,0.991144099615832,0.9900085361195743,0.991144099615832,0.9967866756489435,0.9924886336605552,0.9999999999999999
