,ceniti,uvažavanje,zahvalan,zahvalna,zahvalnost,zahvalnost,hvala,zahvalan,zahvalna,zahvalnost,zadužen,zadužena,zaduženost,obaveza,obavezan,obavezana,obaveza,dugovati,dug,izvinjavajući,izvinjenja,izvinjenje,izvinite,oprostite,žaljenje,izvini,izvinjavati se
zaduženost,0.9931670047790069,0.9941426722066606,0.9923488292030352,0.992222648328642,0.9965097594711553,0.9965097594711553,0.9904236449117894,0.9923488292030352,0.992222648328641,0.996509759471156,0.9933668293720498,0.9941363626758624,0.9999999999999991,0.9935380538967769,0.9943466419302048,0.992480545934641,0.9935380538967762,0.9933153729623924,0.9855490758896805,0.9930872933250577,0.9873484108833873,0.9932710459347343,0.9899305195485902,0.9936588700382093,0.9933643434625273,0.9883080799516663,0.9901688437010415
obaveza,0.9913093850257574,0.9928869041864671,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9955689597781788,0.9917698984634306,0.9941078109754036,0.9940661684105937,0.9955689597781785,0.9927520759069504,0.9934573125224817,0.9935380538967769,1.0,0.9973474237111944,0.9975526287169877,0.9999999999999996,0.9918981348274225,0.9854348074085845,0.9917693507976965,0.9889814422614452,0.9919549085710603,0.9896985847259138,0.9917159062430471,0.993073362755827,0.9887715804112008,0.9897604439497822
obavezan,0.9946397881193794,0.9935510301620086,0.9960080691277784,0.9938495367108621,0.9954106724106008,0.9954106724106008,0.9931934033252902,0.9960080691277784,0.993849536710863,0.995410672410601,0.9940314064901056,0.9935261995637112,0.9943466419302048,0.9973474237111944,0.9999999999999992,0.9975678364279305,0.9973474237111946,0.9946149520748699,0.9871249383687595,0.9938290790598787,0.9894174053387663,0.9938811586334276,0.9915165766380862,0.9940857149197243,0.994685501725202,0.9900900797155043,0.9914412524637531
obavezana,0.9920676790821676,0.9924359464434068,0.9937565117773849,0.9948530143087003,0.9948605302171523,0.9948605302171523,0.9909364215172197,0.9937565117773849,0.9948530143086998,0.9948605302171524,0.9934643272482634,0.9946910341264276,0.992480545934641,0.9975526287169877,0.9975678364279305,0.9999999999999994,0.9975526287169869,0.9919524051047356,0.9856149823013156,0.9933550284433768,0.9894397247037313,0.9922453668471345,0.9911023908244765,0.9920221690076569,0.9937053085004837,0.9878754325347265,0.9914032237316264
obaveza,0.9913093850257574,0.9928869041864671,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9955689597781788,0.9917698984634306,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9927520759069502,0.9934573125224818,0.9935380538967762,0.9999999999999996,0.9973474237111946,0.9975526287169869,1.0,0.9918981348274226,0.9854348074085847,0.9917693507976963,0.9889814422614461,0.9919549085710608,0.9896985847259128,0.9917159062430471,0.993073362755827,0.9887715804112008,0.9897604439497822
dugovati,0.9953966689809156,0.9930952787538033,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9941817083269165,0.9928212216198934,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9935526500759894,0.992435087049168,0.9933153729623924,0.9918981348274225,0.9946149520748699,0.9919524051047356,0.9918981348274226,0.9999999999999996,0.9885533470561761,0.9940415654546725,0.9888287117567162,0.9940629338709757,0.9917603631537408,0.9942020149403257,0.9942777369238142,0.9913061401588711,0.9911174964471555
dug,0.9880757519546229,0.9845144720244512,0.9871817470810849,0.9861509081320902,0.9877312114824319,0.9877312114824319,0.9847498829297687,0.9871817470810849,0.9861509081320902,0.9877312114824319,0.9880647648572842,0.9877568936592372,0.9855490758896805,0.9854348074085845,0.9871249383687595,0.9856149823013156,0.9854348074085847,0.9885533470561761,1.0000000000000002,0.9875923938039215,0.9800666362837873,0.9864398385261406,0.9865563198993793,0.988568815721871,0.9864380318822532,0.9833510052506944,0.986643798387592
izvinjavajući,0.9938220428849801,0.9936244041446933,0.9917932183583815,0.9926442940007415,0.9940997697831853,0.9940997697831853,0.9903791478075347,0.9917932183583815,0.9926442940007415,0.9940997697831853,0.9945742249882251,0.9941281002691135,0.9930872933250577,0.9917693507976965,0.9938290790598787,0.9933550284433768,0.9917693507976963,0.9940415654546725,0.9875923938039215,0.9999999999999998,0.9895992124798614,0.9937187209263518,0.991419572350226,0.9936062413356107,0.9938803416539402,0.9907935086972209,0.9929171091434283
izvinjenja,0.9859889666027071,0.9898597717070577,0.9860455057633586,0.9860386494230567,0.9875135747145928,0.9875135747145928,0.9875803669190429,0.9860455057633586,0.9860386494230567,0.9875135747145928,0.9896900148491212,0.9889991465062311,0.9873484108833873,0.9889814422614452,0.9894174053387663,0.9894397247037313,0.9889814422614461,0.9888287117567162,0.9800666362837873,0.9895992124798614,0.9999999999999998,0.9940957157158202,0.985955697299508,0.9844710474325659,0.9935732878313818,0.9860521110360227,0.9860872425202614
izvinjenje,0.9930768769832526,0.995703010197447,0.9914123672855675,0.9897754652729006,0.993271424199554,0.993271424199554,0.9915538545630271,0.9914123672855675,0.9897754652729006,0.993271424199554,0.9918279610803701,0.9910363321847432,0.9932710459347343,0.9919549085710603,0.9938811586334276,0.9922453668471345,0.9919549085710608,0.9940629338709757,0.9864398385261406,0.9937187209263518,0.9940957157158202,0.9999999999999993,0.9905860533178182,0.9924208887174137,0.9978804374997097,0.9902929117977985,0.9914081644376449
izvinite,0.9911118292793172,0.9897200297504354,0.9911912753585655,0.9905735097455936,0.9918255505159574,0.9918255505159574,0.9882082531612549,0.9911912753585655,0.9905735097455936,0.9918255505159574,0.9931108241677356,0.992767484172635,0.9899305195485902,0.9896985847259138,0.9915165766380862,0.9911023908244765,0.9896985847259128,0.9917603631537408,0.9865563198993793,0.991419572350226,0.985955697299508,0.9905860533178182,0.9999999999999996,0.991424195331368,0.9920947116582572,0.9882452690568548,0.9905088418588346
oprostite,0.9960862553647587,0.9926119179731236,0.9931910915402259,0.9925436095961858,0.995229834232621,0.995229834232621,0.9908535937415739,0.9931910915402259,0.9925436095961858,0.995229834232621,0.9920254879699809,0.9923096994508501,0.9936588700382093,0.9917159062430471,0.9940857149197243,0.9920221690076569,0.9917159062430471,0.9942020149403257,0.988568815721871,0.9936062413356107,0.9844710474325659,0.9924208887174137,0.991424195331368,1.0,0.9922667061584113,0.9893933129248427,0.9913830462306596
žaljenje,0.9932455918113103,0.9945227039058845,0.9921997743474661,0.9916002041355332,0.9942981113913095,0.9942981113913095,0.9918456913414537,0.9921997743474661,0.9916002041355332,0.9942981113913095,0.9935223845300806,0.9927386626535296,0.9933643434625273,0.993073362755827,0.994685501725202,0.9937053085004837,0.993073362755827,0.9942777369238142,0.9864380318822532,0.9938803416539402,0.9935732878313818,0.9978804374997097,0.9920947116582572,0.9922667061584113,0.9999999999999996,0.9897696772120591,0.9909387209767662
izvini,0.990239107244355,0.9886941897599506,0.9883162718241995,0.9893343391678282,0.9901565554078456,0.9901565554078456,0.9868462952138606,0.9883162718241995,0.9893343391678282,0.9901565554078456,0.9903348734289257,0.9889976574299794,0.9883080799516663,0.9887715804112008,0.9900900797155043,0.9878754325347265,0.9887715804112008,0.9913061401588711,0.9833510052506944,0.9907935086972209,0.9860521110360227,0.9902929117977985,0.9882452690568548,0.9893933129248427,0.9897696772120591,0.9999999999999994,0.9864778472742337
izvinjavati se,0.9914668120400694,0.9917447437109398,0.9901482094995754,0.9902859450299234,0.9918770479814675,0.9918770479814675,0.9870455120249416,0.9901482094995754,0.9902859450299234,0.9918770479814675,0.9909561774777177,0.9913987467183668,0.9901688437010415,0.9897604439497822,0.9914412524637531,0.9914032237316264,0.9897604439497822,0.9911174964471555,0.986643798387592,0.9929171091434283,0.9860872425202614,0.9914081644376449,0.9905088418588346,0.9913830462306596,0.9909387209767662,0.9864778472742337,0.9999999999999994
