,apresye,apresyasyon,rekonesan,gratitid,gratitid,mèsi,rekonesan,gratitid,endete,dèt,obligasyon,oblije,obligasyon,dwe,dwe,dèt genyen,ekskizab,ekskize,ekskiz,regre,padon,eskiz yo,eskize m,padonnen m
obligasyon,0.9881979018263255,0.9890831221798624,0.9835244097352048,0.9872160603416656,0.9872160603416656,0.981429591277661,0.9835244097352048,0.9872160603416656,0.9693910082920811,0.9646021480847926,0.9999999999999993,0.9796567586397127,0.9999999999999993,0.9854650287855115,0.9854650287855115,0.9872136496430772,0.9879158999214555,0.9868765305355895,0.9867065819643156,0.984307209325179,0.9879016906196847,0.9886720084183892,0.9839527122456069,0.984763301442132
oblije,0.9905158513126927,0.9848308686926628,0.9901980299999724,0.9898032459960444,0.9898032459960444,0.9895686843346686,0.9901980299999724,0.9898032459960444,0.9803208248595235,0.9751724416894852,0.9796567586397127,0.9999999999999994,0.9796567586397127,0.9872691755883927,0.9872691755883927,0.9872770107167552,0.9910936848838843,0.990362577422509,0.9812114869677616,0.9898974418904863,0.9854865663578362,0.9900853347045457,0.9903128431959349,0.9895117285653029
obligasyon,0.9881979018263255,0.9890831221798624,0.9835244097352048,0.9872160603416656,0.9872160603416656,0.981429591277661,0.9835244097352048,0.9872160603416656,0.9693910082920811,0.9646021480847926,0.9999999999999993,0.9796567586397127,0.9999999999999993,0.9854650287855115,0.9854650287855115,0.9872136496430772,0.9879158999214555,0.9868765305355895,0.9867065819643156,0.984307209325179,0.9879016906196847,0.9886720084183892,0.9839527122456069,0.984763301442132
dwe,0.9917996008796395,0.9873203015170315,0.9880926745251162,0.9898442125988451,0.9898442125988451,0.9888132720126056,0.9880926745251162,0.9898442125988451,0.9777165211433546,0.972693182638647,0.9854650287855115,0.9872691755883927,0.9854650287855115,0.9999999999999996,0.9999999999999996,0.9883736378704451,0.9914925317413271,0.9907989959261553,0.9877672981919179,0.9900167225456277,0.9889492820619236,0.9917627841300303,0.9914251810786335,0.9901594950410583
dwe,0.9917996008796395,0.9873203015170315,0.9880926745251162,0.9898442125988451,0.9898442125988451,0.9888132720126056,0.9880926745251162,0.9898442125988451,0.9777165211433546,0.972693182638647,0.9854650287855115,0.9872691755883927,0.9854650287855115,0.9999999999999996,0.9999999999999996,0.9883736378704451,0.9914925317413271,0.9907989959261553,0.9877672981919179,0.9900167225456277,0.9889492820619236,0.9917627841300303,0.9914251810786335,0.9901594950410583
dèt genyen,0.9913828556381757,0.9876418584286192,0.9895886230265414,0.9914945822788718,0.9914945822788718,0.9887180179171741,0.9895886230265414,0.9914945822788718,0.9807443422655067,0.9747415243087401,0.9872136496430772,0.9872770107167552,0.9872136496430772,0.9883736378704451,0.9883736378704451,0.9999999999999992,0.9915280736543787,0.9917450678784034,0.9874609558551436,0.9900567102896619,0.9893402519825493,0.9913839727800232,0.9900023371768703,0.990261217292972
ekskizab,0.9960295813075604,0.9916707644499482,0.9942643456225656,0.9951319099136471,0.9951319099136471,0.9931444919842766,0.9942643456225656,0.9951319099136471,0.9840088187682825,0.976529137571821,0.9879158999214555,0.9910936848838843,0.9879158999214555,0.9914925317413271,0.9914925317413271,0.9915280736543787,0.9999999999999992,0.9984380305446849,0.9916244814641234,0.9942491453229693,0.9918363826184068,0.9954149910583798,0.9942405864944988,0.9931947679173114
ekskize,0.99579319020275,0.9908508530196964,0.993994400243947,0.9947330982794818,0.9947330982794818,0.9936994400752662,0.993994400243947,0.9947330982794818,0.9837904767849155,0.9782151875490991,0.9868765305355895,0.990362577422509,0.9868765305355895,0.9907989959261553,0.9907989959261553,0.9917450678784034,0.9984380305446849,0.9999999999999998,0.9915319765840911,0.9940134584781796,0.9908372833753785,0.9951801936457961,0.9938284749659575,0.9926541589024658
ekskiz,0.9878179320720554,0.9884812149267639,0.9859724402887197,0.9881668765818381,0.9881668765818381,0.985724767465119,0.9859724402887197,0.9881668765818381,0.9732560403972791,0.9673271604022324,0.9867065819643156,0.9812114869677616,0.9867065819643156,0.9877672981919179,0.9877672981919179,0.9874609558551436,0.9916244814641234,0.9915319765840911,0.9999999999999999,0.986662137673082,0.9881702029688783,0.9885756953179672,0.9864064956640461,0.9859625353700456
regre,0.9941967906930939,0.9891933493868498,0.9928442473839539,0.993585760682877,0.993585760682877,0.9940429484196223,0.9928442473839539,0.993585760682877,0.9823953188066247,0.9779214178279613,0.984307209325179,0.9898974418904863,0.984307209325179,0.9900167225456277,0.9900167225456277,0.9900567102896619,0.9942491453229693,0.9940134584781796,0.986662137673082,0.9999999999999996,0.9896443882990296,0.9928271105170083,0.9928433929852022,0.9932163028739639
padon,0.9909278325226857,0.991099221012437,0.9922967767442443,0.990615262374945,0.990615262374945,0.9887146797274342,0.9922967767442443,0.990615262374945,0.978082937031726,0.9721872233339254,0.9879016906196847,0.9854865663578362,0.9879016906196847,0.9889492820619236,0.9889492820619236,0.9893402519825493,0.9918363826184068,0.9908372833753785,0.9881702029688783,0.9896443882990296,0.9999999999999996,0.991477472594334,0.9879587661050191,0.9918763938238391
eskiz yo,0.9959740684882034,0.9916824582994396,0.9925610091068523,0.9934120327422149,0.9934120327422149,0.9930616432158671,0.9925610091068523,0.9934120327422149,0.980596541853586,0.9778792216183765,0.9886720084183892,0.9900853347045457,0.9886720084183892,0.9917627841300303,0.9917627841300303,0.9913839727800232,0.9954149910583798,0.9951801936457961,0.9885756953179672,0.9928271105170083,0.991477472594334,0.9999999999999997,0.9942248641219703,0.9935041660256357
eskize m,0.993794371330743,0.9880175046004219,0.991702635073367,0.9923269231491598,0.9923269231491598,0.991573213623347,0.991702635073367,0.9923269231491598,0.9846215186841434,0.9760466239612083,0.9839527122456069,0.9903128431959349,0.9839527122456069,0.9914251810786335,0.9914251810786335,0.9900023371768703,0.9942405864944988,0.9938284749659575,0.9864064956640461,0.9928433929852022,0.9879587661050191,0.9942248641219703,0.9999999999999994,0.9952138188537254
padonnen m,0.9940730768674619,0.9886621347647989,0.9930951868743816,0.9918359791977703,0.9918359791977703,0.9922583639578747,0.9930951868743816,0.9918359791977703,0.983527862443224,0.9763772365796084,0.984763301442132,0.9895117285653029,0.984763301442132,0.9901594950410583,0.9901594950410583,0.990261217292972,0.9931947679173114,0.9926541589024658,0.9859625353700456,0.9932163028739639,0.9918763938238391,0.9935041660256357,0.9952138188537254,0.9999999999999996
